Time,infections_by_new_infectives
0,0
0.25,20.753
0.5,34.2349
0.75,104.345
1,52.2072
1.25,114.058
1.5,29.8168
1.75,7.12911
2,35.6075
2.25,44.9435
2.5,1.44825
2.75,13.1638
3,23.9314
3.25,7.77248
3.5,41.9468
3.75,10.6198
4,25.134
4.25,9.46087
4.5,0.428371
4.75,21.8873
5,12.7235
5.25,14.7859
5.5,13.2977
5.75,15.6435
6,35.4618
6.25,12.6679
6.5,7.15222
6.75,7.78692
7,22.0094
7.25,36.8162
7.5,12.7084
7.75,28.1218
8,1.65032
8.25,1.14708
8.5,38.4808
8.75,0.363304
9,18.699
9.25,9.50509
9.5,56.3946
9.75,25.9804
10,0.4273
10.25,9.62548
10.5,13.4877
10.75,39.1487
11,20.5032
11.25,17.3548
11.5,3.89839
11.75,16.7903
12,16.9686
12.25,25.7658
12.5,13.116
12.75,44.1109
13,5.99563
13.25,22.1462
13.5,8.38691
13.75,46.4827
14,34.9866
14.25,17.3296
14.5,26.5124
14.75,44.2252
15,31.2657
15.25,37.7521
15.5,18.4245
15.75,0
16,46.0053
16.25,57.467
16.5,17.7599
16.75,115.061
17,21.8145
17.25,57.3253
17.5,19.6584
17.75,6.71474
18,25.8122
18.25,30.1416
18.5,21.386
18.75,44.6578
19,60.9025
19.25,20.3776
19.5,46.0189
19.75,44.8803
20,55.8302
20.25,11.5922
20.5,53.1461
20.75,25.6741
21,74.0427
21.25,4.07446
21.5,13.2966
21.75,38.1205
22,54.386
22.25,14.9167
22.5,99.3909
22.75,43.3349
23,43.6981
23.25,32.8758
23.5,10.1334
23.75,43.5755
24,55.5624
24.25,7.1191
24.5,78.9129
24.75,52.3219
25,48.4588
25.25,35.4921
25.5,18.1342
25.75,92.6195
26,96.9512
26.25,60.564
26.5,60.9251
26.75,164.566
27,8.08085
27.25,65.6954
27.5,53.0991
27.75,14.446
28,75.3914
28.25,83.2011
28.5,37.055
28.75,97.1536
29,48.6276
29.25,31.7338
29.5,22.0813
29.75,68.8329
30,48.891
30.25,42.2042
30.5,55.2033
30.75,13.84
31,74.2293
31.25,126.751
31.5,98.8853
31.75,119.493
32,93.1796
32.25,165.547
32.5,60.6155
32.75,60.6596
33,70.9631
33.25,44.3125
33.5,86.3829
33.75,43.485
34,40.8097
34.25,42.5811
34.5,110.575
34.75,58.6701
35,103.688
35.25,51.3802
35.5,114.399
35.75,53.985
36,88.2507
36.25,63.6122
36.5,123.235
36.75,161.121
37,26.2493
37.25,178.79
37.5,103.19
37.75,74.3448
38,103.427
38.25,121.395
38.5,72.4895
38.75,171.36
39,58.1143
39.25,91.0288
39.5,103.346
39.75,111.272
40,120.446
40.25,61.7813
40.5,52.1482
40.75,173.305
41,72.6159
41.25,154.642
41.5,79.579
41.75,101.287
42,65.1173
42.25,239.696
42.5,148.093
42.75,147.841
43,119.697
43.25,138.648
43.5,124.793
43.75,95.184
44,93.5267
44.25,119.359
44.5,74.9786
44.75,232.57
45,82.0474
45.25,38.162
45.5,129.786
45.75,156.753
46,54.6275
46.25,91.1207
46.5,113.291
46.75,106.203
47,56.0857
47.25,85.8374
47.5,134.698
47.75,121.501
48,172.339
48.25,96.709
48.5,172.713
48.75,131.966
49,172.404
49.25,154.034
49.5,135.022
49.75,126.475
50,152.254
50.25,203.637
50.5,148.063
50.75,116.176
51,73.6788
51.25,154.341
51.5,230.238
51.75,268.425
52,220.578
52.25,131.171
52.5,170.164
52.75,126.434
53,166.515
53.25,138.008
53.5,88.4847
53.75,207.587
54,188.082
54.25,195.647
54.5,178.881
54.75,231.088
55,182.567
55.25,288.713
55.5,192.957
55.75,294.133
56,318.013
56.25,206.688
56.5,205.091
56.75,254.179
57,266.371
57.25,276.785
57.5,299.459
57.75,298.295
58,415.525
58.25,222.564
58.5,191.246
58.75,446.371
59,243.854
59.25,254.998
59.5,360.332
59.75,232.916
60,305.135
60.25,313.915
60.5,263.685
60.75,421.551
61,161.314
61.25,364.553
61.5,360.438
61.75,255.559
62,301.391
62.25,412.228
62.5,373.115
62.75,376.156
63,435.031
63.25,385.752
63.5,347.579
63.75,322.84
64,445.067
64.25,455.418
64.5,458.108
64.75,348.906
65,389.879
65.25,354.158
65.5,350.264
65.75,320.704
66,330.412
66.25,241.815
66.5,330.332
66.75,364.525
67,351.237
67.25,311.18
67.5,425.372
67.75,318.13
68,333.589
68.25,403.913
68.5,410.117
68.75,447.711
69,385.82
69.25,308.838
69.5,307.239
69.75,307.628
70,293.692
70.25,385.279
70.5,304.249
70.75,322.339
71,377.224
71.25,376.235
71.5,405.047
71.75,400.721
72,347.03
72.25,385.873
72.5,390.767
72.75,343.734
73,397.192
73.25,355.829
73.5,359.7
73.75,308.429
74,297.103
74.25,324.949
74.5,379.988
74.75,265.132
75,315.629
75.25,238.634
75.5,277.562
75.75,257.437
76,295.208
76.25,354.475
76.5,302.108
76.75,253.834
77,277.911
77.25,253.558
77.5,303.91
77.75,261.414
78,259.184
78.25,322.987
78.5,253.416
78.75,340.238
79,274.156
79.25,258.014
79.5,301.343
79.75,343.176
80,264.408
80.25,277.713
80.5,276.787
80.75,260.08
81,313.515
81.25,214.968
81.5,354.205
81.75,279.837
82,237.045
82.25,376.827
82.5,205.411
82.75,238.983
83,239.241
83.25,291.447
83.5,236.832
83.75,383.731
84,290.093
84.25,396.404
84.5,242.879
84.75,302.815
85,247.186
85.25,257.73
85.5,280.221
85.75,348.846
86,271.469
86.25,224.444
86.5,318.17
86.75,270.459
87,245.485
87.25,250.008
87.5,250.431
87.75,274.886
88,255.138
88.25,309.916
88.5,270.492
88.75,249.228
89,347.017
89.25,263.959
89.5,312.293
89.75,242.205
90,366.016
90.25,258.586
90.5,208.996
90.75,201.383
91,162.568
91.25,197.687
91.5,239.229
91.75,299.517
92,237.836
92.25,247.89
92.5,274.365
92.75,239.585
93,273.451
93.25,304.29
93.5,264.684
93.75,313.963
94,237.547
94.25,243.416
94.5,277.316
94.75,226.667
95,338.499
95.25,331.508
95.5,215.407
95.75,309.302
96,309.009
96.25,313.544
96.5,231.464
96.75,143.022
97,298.693
97.25,264.059
97.5,320.169
97.75,301.413
98,267.358
98.25,439.269
98.5,297.284
98.75,220.801
99,271.035
99.25,243.528
99.5,294.048
99.75,258.554
100,298.73
