Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,1
3.75,1
4,1
4.25,1
4.5,1
4.75,1
5,1
5.25,1
5.5,1
5.75,1
6,1
6.25,1
6.5,1
6.75,2
7,2
7.25,2
7.5,3
7.75,3
8,3
8.25,3
8.5,3
8.75,3
9,3
9.25,3
9.5,3
9.75,4
10,4
10.25,4
10.5,4
10.75,4
11,4
11.25,4
11.5,4
11.75,4
12,4
12.25,4
12.5,4
12.75,4
13,4
13.25,4
13.5,4
13.75,4
14,4
14.25,4
14.5,5
14.75,5
15,5
15.25,5
15.5,5
15.75,5
16,5
16.25,5
16.5,6
16.75,6
17,6
17.25,6
17.5,6
17.75,6
18,6
18.25,6
18.5,6
18.75,6
19,6
19.25,6
19.5,6
19.75,6
20,6
20.25,6
20.5,6
20.75,6
21,7
21.25,7
21.5,8
21.75,8
22,8
22.25,8
22.5,9
22.75,9
23,9
23.25,9
23.5,9
23.75,9
24,9
24.25,9
24.5,10
24.75,10
25,11
25.25,11
25.5,11
25.75,11
26,12
26.25,12
26.5,12
26.75,12
27,12
27.25,12
27.5,12
27.75,12
28,12
28.25,13
28.5,14
28.75,14
29,14
29.25,14
29.5,15
29.75,15
30,16
30.25,16
30.5,16
30.75,17
31,17
31.25,18
31.5,18
31.75,19
32,19
32.25,19
32.5,19
32.75,19
33,19
33.25,19
33.5,19
33.75,19
34,19
34.25,20
34.5,20
34.75,20
35,20
35.25,20
35.5,20
35.75,21
36,22
36.25,22
36.5,22
36.75,22
37,25
37.25,25
37.5,25
37.75,25
38,25
38.25,25
38.5,25
38.75,26
39,26
39.25,27
39.5,27
39.75,29
40,29
40.25,29
40.5,29
40.75,29
41,29
41.25,30
41.5,30
41.75,30
42,30
42.25,30
42.5,31
42.75,34
43,34
43.25,34
43.5,35
43.75,36
44,37
44.25,38
44.5,39
44.75,39
45,40
45.25,40
45.5,40
45.75,40
46,40
46.25,41
46.5,41
46.75,41
47,42
47.25,43
47.5,43
47.75,43
48,43
48.25,43
48.5,43
48.75,43
49,43
49.25,44
49.5,47
49.75,47
50,49
50.25,50
50.5,50
50.75,53
51,53
51.25,53
51.5,53
51.75,53
52,54
52.25,54
52.5,55
52.75,56
53,56
53.25,56
53.5,57
53.75,57
54,57
54.25,57
54.5,58
54.75,58
55,59
55.25,59
55.5,61
55.75,61
56,63
56.25,64
56.5,64
56.75,65
57,69
57.25,71
57.5,71
57.75,72
58,72
58.25,74
58.5,74
58.75,75
59,76
59.25,76
59.5,78
59.75,80
60,81
60.25,83
60.5,83
60.75,85
61,86
61.25,87
61.5,90
61.75,90
62,92
62.25,95
62.5,95
62.75,95
63,98
63.25,99
63.5,100
63.75,100
64,102
64.25,102
64.5,103
64.75,105
65,108
65.25,111
65.5,113
65.75,114
66,117
66.25,119
66.5,119
66.75,122
67,123
67.25,124
67.5,127
67.75,130
68,134
68.25,135
68.5,137
68.75,138
69,141
69.25,144
69.5,147
69.75,149
70,149
70.25,150
70.5,153
70.75,154
71,155
71.25,157
71.5,160
71.75,160
72,161
72.25,164
72.5,167
72.75,171
73,177
73.25,180
73.5,183
73.75,183
74,189
74.25,192
74.5,193
74.75,197
75,200
75.25,206
75.5,209
75.75,210
76,212
76.25,217
76.5,221
76.75,224
77,224
77.25,224
77.5,228
77.75,232
78,235
78.25,236
78.5,237
78.75,239
79,243
79.25,245
79.5,247
79.75,250
80,257
80.25,259
80.5,261
80.75,262
81,262
81.25,263
81.5,267
81.75,269
82,269
82.25,271
82.5,276
82.75,278
83,281
83.25,283
83.5,285
83.75,290
84,293
84.25,295
84.5,298
84.75,302
85,305
85.25,305
85.5,308
85.75,313
86,316
86.25,320
86.5,323
86.75,324
87,325
87.25,326
87.5,331
87.75,333
88,336
88.25,338
88.5,339
88.75,343
89,346
89.25,348
89.5,348
89.75,348
90,353
90.25,355
90.5,356
90.75,359
91,364
91.25,367
91.5,368
91.75,368
92,369
92.25,372
92.5,374
92.75,376
93,377
93.25,379
93.5,381
93.75,383
94,386
94.25,390
