Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,7,8,1,1,0,0
2,1,6,1,1,0,0
3,2,4,1,1,0,0
4,6,6,2,2,0,0
5,4,7,3,3,0,0
6,6,6,3,3,0,0
7,5,5,4,4,0,0
8,4,7,4,4,0,0
9,6,7,3,4,0,0
10,3,3,3,4,0,0
11,11,12,3,4,0,0
12,8,9,3,5,1,0
13,6,8,2,5,1,0
14,9,9,3,6,1,0
15,8,10,2,6,1,0
16,6,7,2,6,1,0
17,15,18,2,6,1,0
18,7,8,3,7,1,0
19,9,10,4,8,1,0
20,12,18,4,9,0,1
21,11,13,4,9,0,1
22,11,13,5,11,0,1
23,10,12,6,12,0,1
24,11,14,6,12,0,1
25,7,13,6,12,0,1
26,16,18,7,14,0,1
27,11,13,8,16,0,1
28,14,19,8,17,0,1
29,15,21,10,19,0,1
30,29,36,8,19,0,1
31,18,22,7,19,0,1
32,16,23,8,20,0,1
33,25,27,10,22,0,1
34,19,26,11,25,1,1
35,26,29,9,25,2,1
36,36,44,9,26,2,1
37,24,29,10,29,4,1
38,20,28,10,29,4,1
39,31,39,11,30,4,1
40,31,39,14,34,4,1
41,34,42,15,37,4,1
42,32,37,15,40,4,1
43,25,33,15,40,3,2
44,30,39,16,42,3,2
45,31,39,14,43,3,4
46,42,50,14,43,3,4
47,39,47,19,49,3,4
48,39,51,19,53,5,4
49,41,54,17,54,7,4
50,47,63,16,56,7,5
51,40,46,17,57,7,5
52,38,49,17,59,9,5
53,53,65,20,63,7,6
54,54,70,26,69,7,6
55,64,76,23,72,7,6
56,59,77,23,76,6,7
57,61,85,27,81,4,8
58,84,107,30,86,4,9
59,71,94,35,92,4,9
60,93,123,39,98,2,10
61,91,115,39,102,2,10
62,95,123,39,108,4,10
63,111,139,45,117,4,10
64,103,125,47,123,4,11
65,110,130,53,134,5,11
66,96,125,55,141,6,11
67,155,184,57,149,7,11
68,126,160,57,155,7,11
69,159,196,59,161,9,11
70,145,183,68,177,9,12
71,141,176,71,189,11,12
72,130,162,77,200,12,12
73,134,168,78,212,13,13
74,134,169,83,224,12,14
75,119,151,86,235,11,14
76,127,160,88,243,13,14
77,128,154,95,257,13,15
78,123,147,85,262,16,16
79,134,163,80,269,21,17
80,103,131,81,281,19,18
81,118,144,81,293,20,19
82,112,132,81,305,20,20
83,109,140,81,316,24,20
84,115,138,82,325,24,21
85,111,134,78,336,25,23
86,125,151,84,346,20,27
87,129,153,84,353,14,31
88,116,141,83,364,14,31
89,97,128,76,369,15,32
90,108,132,72,377,14,32
91,104,124,69,386,13,34
92,142,170,69,395,12,35
93,117,151,67,403,13,36
94,105,139,67,413,15,36
95,119,140,67,420,17,37
96,119,154,69,433,19,37
97,103,131,78,447,17,38
98,127,154,78,455,20,38
99,127,154,81,467,18,39
100,101,129,77,472,20,39
101,120,138,75,478,18,41
102,124,152,70,483,17,43
