num_symptomatic,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities,num_cases,new_symptomatics,num_tested,num_positive,Day
0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,11,11,8,5,1
21,0,0,0,0,26,15,11,7,2
31,0,0,0,0,39,13,10,10,3
32,1,1,0,0,49,10,9,8,4
35,1,1,0,0,57,8,8,7,5
36,1,1,0,0,64,7,5,2,6
38,2,2,0,0,72,8,6,6,7
38,3,3,0,0,81,9,9,6,8
36,3,3,0,0,89,8,6,5,9
39,4,4,0,0,96,7,4,2,10
45,4,4,0,0,106,10,10,6,11
46,3,4,0,0,114,8,8,5,12
40,3,4,0,0,118,4,1,0,13
44,3,4,0,0,134,16,13,11,14
41,3,5,1,0,144,10,6,2,15
46,2,5,1,0,154,10,7,6,16
52,3,6,1,0,168,14,5,4,17
56,2,6,1,0,182,14,10,8,18
57,2,6,1,0,191,9,6,6,19
68,2,6,1,0,212,21,15,11,20
73,3,7,1,0,227,15,13,11,21
74,4,8,1,0,244,17,15,11,22
74,4,9,0,1,265,21,16,12,23
82,4,9,0,1,283,18,15,12,24
82,5,11,0,1,298,15,11,9,25
81,6,12,0,1,311,13,7,5,26
88,6,12,0,1,331,20,15,14,27
94,6,12,0,1,352,21,16,12,28
94,7,14,0,1,375,23,23,19,29
91,8,16,0,1,393,18,13,11,30
94,8,17,0,1,420,27,20,15,31
104,10,19,0,1,448,28,23,18,32
122,8,19,0,1,490,42,31,22,33
126,7,19,0,1,518,28,23,19,34
133,8,20,0,1,544,26,18,14,35
148,10,22,0,1,581,37,26,21,36
142,11,25,1,1,612,31,21,18,37
152,9,25,2,1,646,34,24,20,38
153,9,26,2,1,699,53,37,28,39
162,10,29,4,1,737,38,31,22,40
173,10,29,4,1,776,39,29,20,41
193,11,30,4,1,830,54,42,32,42
198,14,34,4,1,878,48,35,32,43
212,15,37,4,1,937,59,45,31,44
213,15,40,4,1,984,47,36,30,45
226,15,40,3,2,1029,45,31,26,46
225,16,42,3,2,1081,52,37,34,47
230,14,43,3,4,1128,47,37,31,48
242,14,43,3,4,1193,65,50,41,49
256,19,49,3,4,1261,68,56,44,50
257,19,53,5,4,1328,67,50,37,51
270,17,54,7,4,1397,69,53,42,52
294,16,56,7,5,1473,76,58,41,53
296,17,57,7,5,1531,58,38,28,54
293,17,59,9,5,1590,59,41,36,55
316,20,63,7,6,1677,87,65,55,56
353,26,69,7,6,1770,93,74,61,57
394,23,72,7,6,1874,104,82,67,58
409,23,76,6,7,1979,105,82,67,59
434,27,81,4,8,2091,112,78,64,60
468,30,86,4,9,2218,127,96,80,61
506,35,92,4,9,2339,121,99,77,62
539,39,98,2,10,2491,152,110,84,63
600,39,102,2,10,2650,159,123,101,64
648,39,108,4,10,2819,169,133,106,65
690,45,117,4,10,3006,187,149,122,66
700,47,123,4,11,3169,163,131,104,67
724,53,134,5,11,3338,169,140,119,68
757,55,141,6,11,3514,176,137,106,69
839,57,149,7,11,3750,236,176,136,70
882,57,155,7,11,3973,223,173,138,71
939,59,161,9,11,4221,248,205,165,72
991,68,177,9,12,4457,236,184,145,73
1027,71,189,11,12,4684,227,164,128,74
1041,77,200,12,12,4903,219,169,139,75
1030,78,212,13,13,5119,216,175,136,76
1020,83,224,12,14,5337,218,171,144,77
1036,86,235,11,14,5531,194,152,117,78
1016,88,243,13,14,5724,193,139,114,79
1000,95,257,13,15,5917,193,146,112,80
991,85,262,16,16,6107,190,145,110,81
1019,80,269,21,17,6314,207,152,120,82
982,81,281,19,18,6491,177,138,110,83
962,81,293,20,19,6667,176,145,126,84
944,81,305,20,20,6852,185,155,125,85
929,81,316,24,20,7031,179,145,111,86
929,82,325,24,21,7209,178,139,117,87
919,78,336,25,23,7388,179,146,121,88
942,84,346,20,27,7580,192,153,127,89
930,84,353,14,31,7778,198,153,116,90
891,83,364,14,31,7963,185,149,129,91
875,76,369,15,32,8133,170,135,117,92
890,72,377,14,32,8307,174,125,107,93
897,69,386,13,34,8478,171,127,101,94
914,69,395,12,35,8674,196,154,116,95
922,67,403,13,36,8869,195,141,120,96
910,67,413,15,36,9044,175,135,108,97
919,67,420,17,37,9228,184,137,103,98
897,69,433,19,37,9421,193,158,127,99
888,78,447,17,38,9596,175,129,109,100
894,78,455,20,38,9787,191,142,116,101
915,81,467,18,39,9981,194,161,130,102
917,77,472,20,39,10154,173,130,106,103
919,75,478,18,41,10336,182,137,108,104
925,70,483,17,43,10520,184,141,113,105
918,70,491,16,44,10703,183,129,109,106
916,70,503,14,44,10888,185,143,123,107
938,63,511,14,44,11092,204,164,124,108
929,71,526,12,45,11268,176,135,106,109
917,71,538,13,45,11460,192,153,116,110
898,75,547,12,48,11631,171,138,119,111
876,76,554,13,49,11801,170,131,106,112
876,77,560,13,49,11982,181,134,110,113
879,79,570,11,50,12161,179,128,103,114
858,74,577,13,50,12337,176,131,98,115
884,76,588,12,51,12526,189,142,112,116
878,72,598,12,51,12704,178,137,113,117
904,69,607,11,52,12897,193,148,119,118
882,72,619,12,54,13075,178,137,114,119
880,75,629,9,56,13262,187,140,108,120
876,78,638,11,56,13449,187,149,122,121
879,77,647,14,56,13623,174,124,97,122
929,88,665,15,57,13845,222,181,146,123
937,88,676,17,58,14029,184,140,119,124
911,94,692,19,59,14200,171,139,116,125
935,95,702,21,60,14420,220,169,136,126
937,95,714,20,61,14607,187,146,114,127
936,90,719,20,61,14792,185,149,115,128
950,88,726,20,63,14985,193,140,119,129
