Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,8,1,1,0,0
2,7,1,1,0,0
3,2,1,1,0,0
4,6,2,2,0,0
5,6,3,3,0,0
6,5,3,3,0,0
7,2,4,4,0,0
8,6,4,4,0,0
9,5,3,4,0,0
10,0,3,4,0,0
11,11,3,4,0,0
12,2,3,5,1,0
13,6,2,5,1,0
14,4,3,6,1,0
15,8,2,6,1,0
16,6,2,6,1,0
17,11,2,6,1,0
18,11,3,7,1,0
19,11,4,8,1,0
20,12,4,9,0,1
21,12,4,9,0,1
22,9,5,11,0,1
23,5,6,12,0,1
24,14,6,12,0,1
25,12,6,12,0,1
26,19,7,14,0,1
27,11,8,16,0,1
28,15,8,17,0,1
29,18,10,19,0,1
30,22,8,19,0,1
31,19,7,19,0,1
32,14,8,20,0,1
33,21,10,22,0,1
34,18,11,25,1,1
35,20,9,25,2,1
36,28,9,26,2,1
37,22,10,29,4,1
38,20,10,29,4,1
39,32,11,30,4,1
40,32,14,34,4,1
41,31,15,37,4,1
42,30,15,40,4,1
43,26,15,40,3,2
44,34,16,42,3,2
45,31,14,43,3,4
46,41,14,43,3,4
47,44,19,49,3,4
48,37,19,53,5,4
49,42,17,54,7,4
50,41,16,56,7,5
51,28,17,57,7,5
52,36,17,59,9,5
53,55,20,63,7,6
54,61,26,69,7,6
55,67,23,72,7,6
56,67,23,76,6,7
57,64,27,81,4,8
58,80,30,86,4,9
59,77,35,92,4,9
60,84,39,98,2,10
61,101,39,102,2,10
62,106,39,108,4,10
63,122,45,117,4,10
64,104,47,123,4,11
65,119,53,134,5,11
66,106,55,141,6,11
67,136,57,149,7,11
68,138,57,155,7,11
69,165,59,161,9,11
70,145,68,177,9,12
71,128,71,189,11,12
72,139,77,200,12,12
73,136,78,212,13,13
74,144,83,224,12,14
75,117,86,235,11,14
76,114,88,243,13,14
77,112,95,257,13,15
78,110,85,262,16,16
79,120,80,269,21,17
80,110,81,281,19,18
81,126,81,293,20,19
82,125,81,305,20,20
83,111,81,316,24,20
84,117,82,325,24,21
85,121,78,336,25,23
86,127,84,346,20,27
87,116,84,353,14,31
88,129,83,364,14,31
89,117,76,369,15,32
90,107,72,377,14,32
91,101,69,386,13,34
92,116,69,395,12,35
93,120,67,403,13,36
94,108,67,413,15,36
95,103,67,420,17,37
