Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,5.46949e-06
1.5,0.500003
1.75,0.500003
2,0.166704
2.25,0.14289
2.5,0.0909315
2.75,0.125202
3,0.210719
3.25,0.217561
3.5,0.185342
3.75,0.161533
4,0.171756
4.25,0.166985
4.5,0.143216
4.75,0.149296
5,0.157216
5.25,0.161044
5.5,0.161613
5.75,0.164603
6,0.169415
6.25,0.171453
6.5,0.167058
6.75,0.169045
7,0.17287
7.25,0.167157
7.5,0.16889
7.75,0.170448
8,0.163958
8.25,0.162397
8.5,0.164134
8.75,0.168627
9,0.162866
9.25,0.156227
9.5,0.167144
9.75,0.168413
10,0.163427
10.25,0.157697
10.5,0.161382
10.75,0.160263
11,0.16608
11.25,0.164987
11.5,0.167169
11.75,0.166203
12,0.166256
12.25,0.165358
12.5,0.161698
12.75,0.156486
13,0.153205
13.25,0.156006
13.5,0.150587
13.75,0.1518
14,0.146103
14.25,0.144745
14.5,0.139554
14.75,0.138484
15,0.13789
15.25,0.135564
15.5,0.134437
15.75,0.134136
16,0.130441
16.25,0.135128
16.5,0.1349
16.75,0.130998
17,0.129131
17.25,0.133419
17.5,0.132748
17.75,0.133486
18,0.134579
18.25,0.136511
18.5,0.135199
18.75,0.134347
19,0.137652
19.25,0.13861
19.5,0.138685
19.75,0.136262
20,0.136006
20.25,0.137809
20.5,0.134442
20.75,0.131943
21,0.13338
21.25,0.134939
21.5,0.132905
21.75,0.134582
22,0.131974
22.25,0.133612
22.5,0.131749
22.75,0.131931
23,0.134383
23.25,0.132293
23.5,0.134247
23.75,0.133663
24,0.134675
24.25,0.135099
24.5,0.137689
24.75,0.143021
25,0.140835
25.25,0.140314
25.5,0.140662
25.75,0.140492
26,0.140042
26.25,0.142461
26.5,0.144539
26.75,0.14502
27,0.144496
27.25,0.145485
27.5,0.145494
27.75,0.144348
28,0.14437
28.25,0.14328
28.5,0.14398
28.75,0.145055
29,0.143405
29.25,0.146084
29.5,0.146027
29.75,0.144841
30,0.144644
30.25,0.143374
30.5,0.140993
30.75,0.139213
31,0.139902
31.25,0.142961
31.5,0.145078
31.75,0.146459
32,0.146637
32.25,0.151895
32.5,0.152835
32.75,0.153391
33,0.153285
33.25,0.15385
33.5,0.155104
33.75,0.157118
34,0.155699
34.25,0.15485
34.5,0.156383
34.75,0.157907
35,0.15734
35.25,0.156294
35.5,0.157143
35.75,0.15777
36,0.158589
36.25,0.165417
36.5,0.165939
36.75,0.170545
37,0.169891
37.25,0.172909
37.5,0.1729
37.75,0.174067
38,0.176727
38.25,0.175779
38.5,0.176984
38.75,0.178501
39,0.176501
39.25,0.1769
39.5,0.179559
39.75,0.178654
40,0.179935
40.25,0.182882
40.5,0.184061
40.75,0.184011
41,0.183979
41.25,0.183746
41.5,0.185181
41.75,0.184998
42,0.183683
42.25,0.184748
42.5,0.185035
42.75,0.184607
43,0.184221
43.25,0.183832
43.5,0.183251
43.75,0.18203
44,0.181312
44.25,0.181543
44.5,0.18151
44.75,0.181062
45,0.18086
45.25,0.179353
45.5,0.179471
45.75,0.180612
46,0.181302
46.25,0.180657
46.5,0.180936
46.75,0.180971
47,0.180686
47.25,0.180282
47.5,0.17923
47.75,0.178682
48,0.179354
48.25,0.178219
48.5,0.177723
48.75,0.177731
49,0.17743
49.25,0.177094
49.5,0.175681
49.75,0.175173
50,0.172855
50.25,0.171352
50.5,0.170224
50.75,0.170597
51,0.171597
51.25,0.170121
51.5,0.170254
51.75,0.170427
52,0.169035
52.25,0.169006
52.5,0.168491
52.75,0.167984
53,0.167442
53.25,0.167693
53.5,0.167866
53.75,0.167637
54,0.167415
54.25,0.166452
54.5,0.165595
54.75,0.165277
55,0.164869
55.25,0.16379
55.5,0.162583
55.75,0.161473
56,0.160317
56.25,0.160471
56.5,0.160189
56.75,0.160509
57,0.16083
57.25,0.160631
57.5,0.160838
57.75,0.160147
58,0.158573
58.25,0.158141
58.5,0.157439
58.75,0.157087
59,0.156618
59.25,0.156639
59.5,0.156823
59.75,0.15667
60,0.154992
60.25,0.155053
60.5,0.155018
60.75,0.153966
61,0.153288
61.25,0.152505
