Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0.333301
2.25,0.285686
2.5,0.1818
2.75,0.249802
3,0.262968
3.25,0.260702
3.5,0.296142
3.75,0.322341
4,0.342532
4.25,0.333017
4.5,0.404405
4.75,0.425174
5,0.450629
5.25,0.428244
5.5,0.435164
5.75,0.432414
6,0.408052
6.25,0.420655
6.5,0.435509
6.75,0.433368
7,0.436328
7.25,0.432846
7.5,0.431114
7.75,0.419556
8,0.441814
8.25,0.437607
8.5,0.454052
8.75,0.450846
9,0.452523
9.25,0.466729
9.5,0.467781
9.75,0.472813
10,0.473614
10.25,0.492308
10.5,0.48198
10.75,0.485575
11,0.476309
11.25,0.473175
11.5,0.467451
11.75,0.465703
12,0.466885
12.25,0.465329
12.5,0.47164
12.75,0.467175
13,0.467852
13.25,0.465761
13.5,0.469418
13.75,0.472595
14,0.48301
14.25,0.487819
14.5,0.492739
14.75,0.503763
15,0.501601
15.25,0.510011
15.5,0.514103
15.75,0.513643
16,0.507373
16.25,0.507198
16.5,0.510645
16.75,0.517575
17,0.517319
17.25,0.516951
17.5,0.51812
17.75,0.52102
18,0.522304
18.25,0.520467
18.5,0.515462
18.75,0.518539
19,0.516572
19.25,0.514784
19.5,0.511034
19.75,0.516698
20,0.519212
20.25,0.515866
20.5,0.516827
20.75,0.517843
21,0.521217
21.25,0.522329
21.5,0.524506
21.75,0.52636
22,0.533123
22.25,0.532313
22.5,0.531861
22.75,0.530229
23,0.526339
23.25,0.527038
23.5,0.525228
23.75,0.522978
24,0.524926
24.25,0.528848
24.5,0.527021
24.75,0.524433
25,0.527938
25.25,0.526461
25.5,0.521055
25.75,0.523225
26,0.52738
26.25,0.528523
26.5,0.530426
26.75,0.527587
27,0.525141
27.25,0.524655
27.5,0.521875
27.75,0.524615
28,0.525098
28.25,0.524665
28.5,0.524967
28.75,0.521343
29,0.523983
29.25,0.524182
29.5,0.525114
29.75,0.525376
30,0.526866
30.25,0.531615
30.5,0.533344
30.75,0.534182
31,0.533346
31.25,0.531025
31.5,0.532509
31.75,0.53015
32,0.530216
32.25,0.524368
32.5,0.525264
32.75,0.5261
33,0.527877
33.25,0.527677
33.5,0.526231
33.75,0.523643
34,0.525616
34.25,0.525243
34.5,0.524944
34.75,0.524532
35,0.523271
35.25,0.528628
35.5,0.527106
35.75,0.526636
36,0.527145
36.25,0.523216
36.5,0.523178
36.75,0.52134
37,0.522202
37.25,0.52128
37.5,0.520428
37.75,0.518677
38,0.518913
38.25,0.520108
38.5,0.517415
38.75,0.517446
39,0.517984
39.25,0.517669
39.5,0.516314
39.75,0.517774
40,0.516336
40.25,0.514035
40.5,0.513379
40.75,0.512725
41,0.515068
41.25,0.514581
41.5,0.515843
41.75,0.513578
42,0.513398
42.25,0.51343
42.5,0.512049
42.75,0.512495
43,0.514426
43.25,0.516632
43.5,0.519212
43.75,0.519924
44,0.516916
44.25,0.517749
44.5,0.51563
44.75,0.513925
45,0.512839
45.25,0.513956
45.5,0.513986
45.75,0.513513
46,0.513314
46.25,0.515473
46.5,0.515233
46.75,0.514715
47,0.517009
47.25,0.518217
47.5,0.519146
47.75,0.519898
48,0.518069
48.25,0.518537
48.5,0.519022
48.75,0.519002
49,0.520068
49.25,0.520035
49.5,0.520535
49.75,0.519802
50,0.521747
50.25,0.521264
50.5,0.521863
50.75,0.520712
51,0.519379
51.25,0.520718
51.5,0.520272
51.75,0.518126
52,0.519024
52.25,0.520455
52.5,0.519913
52.75,0.519708
53,0.521797
53.25,0.521941
53.5,0.521217
53.75,0.522364
54,0.521766
54.25,0.52264
54.5,0.522965
54.75,0.523167
55,0.523127
55.25,0.52428
55.5,0.523906
55.75,0.52694
56,0.526829
56.25,0.52616
56.5,0.526533
56.75,0.527403
57,0.525599
57.25,0.525325
57.5,0.526035
57.75,0.526089
58,0.528639
58.25,0.529692
58.5,0.529984
58.75,0.530488
59,0.531204
59.25,0.530419
59.5,0.532563
59.75,0.532148
60,0.53308
60.25,0.532814
60.5,0.533843
60.75,0.535509
61,0.536757
61.25,0.537656
61.5,0.539604
