Time,num_cumulative_infective
0,0
0.25,8
0.5,18
0.75,27
1,35
1.25,42
1.5,47
1.75,49
2,53
2.25,59
2.5,60
2.75,63
3,67
3.25,72
3.5,76
3.75,77
4,81
4.25,85
4.5,86
4.75,89
5,92
5.25,96
5.5,97
5.75,100
6,104
6.25,107
6.5,111
6.75,115
7,120
7.25,124
7.5,125
7.75,131
8,133
8.25,134
8.5,139
8.75,140
9,144
9.25,149
9.5,154
9.75,159
10,160
10.25,163
10.5,166
10.75,170
11,173
11.25,179
11.5,181
11.75,183
12,185
12.25,190
12.5,195
12.75,198
13,204
13.25,208
13.5,210
13.75,215
14,220
14.25,222
14.5,225
14.75,229
15,237
15.25,243
15.5,246
15.75,246
16,250
16.25,257
16.5,261
16.75,268
17,273
17.25,279
17.5,281
17.75,285
18,294
18.25,300
18.5,303
18.75,309
19,314
19.25,320
19.5,325
19.75,331
20,339
20.25,346
20.5,356
20.75,362
21,370
21.25,374
21.5,378
21.75,382
22,390
22.25,395
22.5,408
22.75,415
23,423
23.25,430
23.5,434
23.75,441
24,448
24.25,450
24.5,458
24.75,466
25,472
25.25,478
25.5,483
25.75,491
26,500
26.25,509
26.5,515
26.75,522
27,525
27.25,537
27.5,544
27.75,551
28,562
28.25,572
28.5,577
28.75,586
29,595
29.25,603
29.5,606
29.75,615
30,629
30.25,636
30.5,650
30.75,656
31,663
31.25,674
31.5,686
31.75,698
32,711
32.25,729
32.5,740
32.75,751
33,762
33.25,772
33.5,784
33.75,792
34,801
34.25,809
34.5,820
34.75,831
35,842
35.25,856
35.5,875
35.75,887
36,898
36.25,911
36.5,928
36.75,945
37,956
37.25,978
37.5,992
37.75,1003
38,1022
38.25,1038
38.5,1055
38.75,1079
39,1094
39.25,1112
39.5,1127
39.75,1144
40,1159
40.25,1175
40.5,1187
40.75,1209
41,1227
41.25,1252
41.5,1269
41.75,1287
42,1302
42.25,1325
42.5,1348
42.75,1369
43,1388
43.25,1413
43.5,1432
43.75,1446
44,1466
44.25,1479
44.5,1499
44.75,1519
45,1545
45.25,1563
45.5,1578
45.75,1606
46,1627
46.25,1646
46.5,1665
46.75,1693
47,1709
47.25,1730
47.5,1747
47.75,1766
48,1794
48.25,1810
48.5,1838
48.75,1860
49,1887
49.25,1914
49.5,1937
49.75,1959
50,1978
50.25,2006
50.5,2032
50.75,2055
51,2079
51.25,2107
51.5,2130
51.75,2165
52,2194
52.25,2213
52.5,2237
52.75,2253
53,2282
53.25,2306
53.5,2325
53.75,2348
54,2373
54.25,2400
54.5,2427
54.75,2460
55,2483
55.25,2521
55.5,2556
55.75,2586
56,2619
56.25,2652
56.5,2687
56.75,2716
57,2750
57.25,2784
57.5,2828
57.75,2869
58,2916
58.25,2959
58.5,2986
58.75,3034
59,3070
59.25,3111
59.5,3151
59.75,3191
60,3242
60.25,3281
60.5,3324
60.75,3374
61,3412
61.25,3464
61.5,3516
61.75,3572
62,3627
62.25,3687
62.5,3745
62.75,3799
63,3856
63.25,3921
63.5,3978
63.75,4031
64,4100
64.25,4174
64.5,4248
64.75,4305
65,4368
65.25,4436
65.5,4508
65.75,4571
66,4624
66.25,4672
66.5,4736
66.75,4806
67,4874
67.25,4932
67.5,5001
67.75,5063
68,5129
68.25,5210
68.5,5289
68.75,5375
69,5455
69.25,5534
69.5,5611
69.75,5702
70,5790
70.25,5872
70.5,5953
70.75,6035
71,6132
71.25,6220
71.5,6304
71.75,6393
72,6475
72.25,6563
72.5,6634
72.75,6718
73,6790
73.25,6873
73.5,6948
73.75,7030
74,7101
74.25,7159
74.5,7249
74.75,7315
75,7378
75.25,7436
75.5,7498
75.75,7556
76,7630
76.25,7695
76.5,7776
76.75,7831
77,7906
77.25,7973
77.5,8037
77.75,8091
78,8147
78.25,8207
78.5,8253
78.75,8312
79,8376
79.25,8427
79.5,8492
79.75,8545
80,8603
80.25,8653
80.5,8703
80.75,8746
81,8799
81.25,8832
81.5,8879
81.75,8929
82,8981
82.25,9026
82.5,9068
82.75,9105
83,9145
83.25,9178
83.5,9218
83.75,9260
84,9301
84.25,9336
84.5,9377
84.75,9414
85,9458
85.25,9486
85.5,9517
85.75,9546
86,9580
86.25,9609
86.5,9633
86.75,9659
87,9688
87.25,9719
87.5,9749
87.75,9782
88,9814
88.25,9843
88.5,9875
88.75,9911
89,9934
89.25,9963
89.5,9986
89.75,10012
90,10037
90.25,10062
90.5,10092
90.75,10119
91,10146
91.25,10170
91.5,10191
91.75,10231
92,10258
92.25,10288
92.5,10309
92.75,10328
93,10353
93.25,10372
93.5,10395
93.75,10412
94,10443
94.25,10457
94.5,10473
94.75,10486
95,10504
95.25,10524
95.5,10548
95.75,10568
96,10582
96.25,10604
96.5,10617
96.75,10629
97,10648
97.25,10662
97.5,10681
97.75,10701
98,10721
98.25,10737
98.5,10761
98.75,10773
99,10784
99.25,10798
99.5,10812
99.75,10828
100,10841
100.25,10856
100.5,10873
100.75,10890
101,10911
101.25,10921
