Time,num_recovered
0,0
0.25,0
0.5,2
0.75,4
1,7
1.25,10
1.5,14
1.75,18
2,19
2.25,25
2.5,27
2.75,28
3,29
3.25,32
3.5,34
3.75,36
4,41
4.25,44
4.5,48
4.75,49
5,51
5.25,56
5.5,57
5.75,58
6,60
6.25,63
6.5,64
6.75,69
7,70
7.25,74
7.5,78
7.75,82
8,83
8.25,86
8.5,89
8.75,91
9,99
9.25,102
9.5,106
9.75,106
10,106
10.25,109
10.5,113
10.75,117
11,117
11.25,120
11.5,125
11.75,129
12,130
12.25,134
12.5,141
12.75,144
13,148
13.25,153
13.5,159
13.75,163
14,165
14.25,174
14.5,176
14.75,178
15,181
15.25,187
15.5,192
15.75,192
16,193
16.25,195
16.5,196
16.75,200
17,205
17.25,209
17.5,214
17.75,217
18,221
18.25,230
18.5,234
18.75,235
19,238
19.25,241
19.5,245
19.75,249
20,255
20.25,259
20.5,264
20.75,270
21,275
21.25,280
21.5,285
21.75,295
22,299
22.25,307
22.5,313
22.75,323
23,331
23.25,335
23.5,340
23.75,346
24,348
24.25,354
24.5,359
24.75,362
25,367
25.25,369
25.5,380
25.75,385
26,392
26.25,395
26.5,401
26.75,408
27,415
27.25,423
27.5,428
27.75,434
28,440
28.25,454
28.5,459
28.75,468
29,474
29.25,480
29.5,488
29.75,494
30,502
30.25,519
30.5,529
30.75,538
31,541
31.25,553
31.5,560
31.75,562
32,568
32.25,579
32.5,586
32.75,595
33,608
33.25,618
33.5,630
33.75,639
34,646
34.25,655
34.5,666
34.75,674
35,680
35.25,686
35.5,695
35.75,704
36,715
36.25,728
36.5,744
36.75,756
37,770
37.25,786
37.5,800
37.75,811
38,821
38.25,840
38.5,857
38.75,876
39,891
39.25,904
39.5,917
39.75,927
40,943
40.25,957
40.5,973
40.75,985
41,997
41.25,1014
41.5,1025
41.75,1041
42,1058
42.25,1073
42.5,1086
42.75,1103
43,1118
43.25,1134
43.5,1147
43.75,1177
44,1195
44.25,1217
44.5,1230
44.75,1245
45,1261
45.25,1277
45.5,1295
45.75,1313
46,1332
46.25,1355
46.5,1368
46.75,1394
47,1418
47.25,1432
47.5,1454
47.75,1470
48,1489
48.25,1507
48.5,1527
48.75,1551
49,1569
49.25,1586
49.5,1604
49.75,1625
50,1647
50.25,1667
50.5,1691
50.75,1717
51,1738
51.25,1767
51.5,1784
51.75,1810
52,1825
52.25,1850
52.5,1868
52.75,1890
53,1908
53.25,1929
53.5,1952
53.75,1964
54,1993
54.25,2018
54.5,2038
54.75,2068
55,2092
55.25,2116
55.5,2139
55.75,2168
56,2197
56.25,2212
56.5,2243
56.75,2262
57,2282
57.25,2310
57.5,2335
57.75,2362
58,2398
58.25,2433
58.5,2464
58.75,2497
59,2536
59.25,2570
59.5,2603
59.75,2638
60,2677
60.25,2710
60.5,2746
60.75,2779
61,2820
61.25,2860
61.5,2893
61.75,2925
62,2963
62.25,3002
62.5,3054
62.75,3102
63,3141
63.25,3186
63.5,3232
63.75,3275
64,3313
64.25,3353
64.5,3409
64.75,3465
65,3518
65.25,3580
65.5,3632
65.75,3694
66,3748
66.25,3803
66.5,3861
66.75,3922
67,3975
67.25,4025
67.5,4087
67.75,4144
68,4187
68.25,4248
68.5,4320
68.75,4379
69,4431
69.25,4495
69.5,4563
69.75,4626
70,4690
70.25,4766
70.5,4824
70.75,4900
71,4966
71.25,5050
71.5,5126
71.75,5196
72,5259
72.25,5344
72.5,5409
72.75,5486
73,5564
73.25,5640
73.5,5718
73.75,5783
74,5858
74.25,5920
74.5,5988
74.75,6056
75,6132
75.25,6208
75.5,6277
75.75,6349
76,6424
76.25,6487
76.5,6556
76.75,6638
77,6706
77.25,6778
77.5,6844
77.75,6906
78,6956
78.25,7032
78.5,7113
78.75,7165
79,7233
79.25,7294
79.5,7353
79.75,7418
80,7480
80.25,7556
80.5,7621
80.75,7681
81,7736
81.25,7795
81.5,7846
81.75,7884
82,7947
82.25,7996
82.5,8044
82.75,8106
83,8165
83.25,8210
83.5,8259
83.75,8317
84,8361
84.25,8415
84.5,8459
84.75,8515
85,8552
85.25,8594
85.5,8651
85.75,8696
86,8736
86.25,8780
86.5,8821
