Day,num_positive,num_tested,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,6,7,1,1,0,0
2,5,6,1,1,0,0
3,5,6,1,1,0,0
4,6,6,2,2,0,0
5,4,7,3,3,0,0
6,5,5,3,3,0,0
7,4,5,4,4,0,0
8,5,7,4,4,0,0
9,4,4,3,4,0,0
10,4,4,3,4,0,0
11,9,11,3,4,0,0
12,6,7,3,5,1,0
13,7,9,2,5,1,0
14,10,12,3,6,1,0
15,9,10,2,6,1,0
16,3,5,2,6,1,0
17,13,17,2,6,1,0
18,9,12,3,7,1,0
19,16,17,4,8,1,0
20,13,14,4,9,0,1
21,12,15,4,9,0,1
22,8,13,5,11,0,1
23,9,11,6,12,0,1
24,12,16,6,12,0,1
25,13,17,6,12,0,1
26,17,19,7,14,0,1
27,11,13,8,16,0,1
28,19,20,8,17,0,1
29,19,22,10,19,0,1
30,26,30,8,19,0,1
31,11,13,7,19,0,1
32,16,25,8,20,0,1
33,24,28,10,22,0,1
34,23,27,11,25,1,1
35,20,25,9,25,2,1
36,27,40,9,26,2,1
37,26,32,10,29,4,1
38,30,32,10,29,4,1
39,47,50,11,30,4,1
40,32,41,14,34,4,1
41,30,44,15,37,4,1
42,32,39,15,40,4,1
43,28,36,15,40,3,2
44,27,38,16,42,3,2
45,26,33,14,43,3,4
46,37,47,14,43,3,4
47,40,47,19,49,3,4
48,45,52,19,53,5,4
49,42,48,17,54,7,4
50,48,58,16,56,7,5
51,40,48,17,57,7,5
52,37,48,17,59,9,5
53,46,59,20,63,7,6
54,57,65,26,69,7,6
55,71,92,23,72,7,6
56,61,81,23,76,6,7
57,76,91,27,81,4,8
58,84,99,30,86,4,9
59,79,97,35,92,4,9
60,92,115,39,98,2,10
61,93,116,39,102,2,10
62,113,133,39,108,4,10
63,114,141,45,117,4,10
64,97,120,47,123,4,11
65,95,129,53,134,5,11
66,121,146,55,141,6,11
67,151,186,57,149,7,11
68,132,173,58,156,7,11
69,148,187,66,168,8,11
70,118,149,73,182,8,11
71,123,153,74,192,12,11
72,108,140,78,201,13,12
73,96,128,80,214,16,13
74,103,130,84,225,16,14
75,97,114,86,235,16,14
76,91,114,86,242,18,14
77,74,87,83,251,18,15
78,80,91,82,264,18,17
79,53,68,84,276,20,18
80,56,71,82,283,19,19
81,32,43,72,287,18,22
82,41,51,67,292,17,23
83,38,44,66,301,19,23
84,24,29,62,304,18,25
85,30,36,57,308,19,26
86,30,38,47,311,18,27
87,24,27,40,316,17,31
88,18,21,39,322,17,31
89,23,23,37,324,15,34
90,18,22,35,327,14,35
91,16,16,28,329,12,36
92,17,18,27,332,12,37
93,11,15,27,335,12,37
94,8,9,25,336,12,38
95,3,7,21,337,8,39
96,10,12,15,337,10,39
97,8,10,16,340,9,40
98,8,11,14,341,11,40
99,8,8,14,343,10,41
100,7,8,11,343,11,42
101,2,2,9,344,11,43
102,7,8,8,344,10,43
103,3,5,7,344,10,43
104,3,5,7,344,7,46
105,7,8,5,345,8,46
106,0,1,4,345,6,48
107,2,2,2,345,6,48
108,2,4,4,347,4,48
109,2,2,3,347,2,50
110,3,3,4,348,2,50
111,1,1,4,348,1,50
112,2,2,4,348,1,50
113,2,2,3,348,1,50
114,0,0,3,348,1,50
115,5,5,3,349,1,50
116,1,2,2,349,2,50
117,2,2,2,349,2,50
118,0,0,1,349,2,50
119,2,2,1,349,2,50
120,1,1,2,350,2,50
121,0,0,2,350,1,51
122,1,1,2,350,1,51
123,0,0,1,350,1,51
124,0,0,1,350,0,51
125,0,0,1,350,0,51
126,0,0,1,350,0,51
127,0,0,1,350,0,51
128,1,1,0,350,0,51
129,0,0,0,350,0,51
130,0,0,0,350,0,51
131,0,0,0,350,0,51
132,0,0,0,350,0,51
133,1,1,0,350,0,51
134,0,0,0,350,0,51
135,1,1,0,350,0,51
136,0,0,0,350,0,51
137,0,0,0,350,0,51
138,0,0,0,350,0,51
139,0,0,0,350,0,51
140,0,0,0,350,0,51
141,0,0,0,350,0,51
142,0,0,0,350,0,51
143,0,0,0,350,0,51
144,0,0,0,350,0,51
145,0,0,0,350,0,51
146,0,0,0,350,0,51
147,0,0,0,350,0,51
148,0,0,0,350,0,51
149,0,0,0,350,0,51
150,0,0,0,350,0,51
151,0,0,0,350,0,51
152,0,0,0,350,0,51
153,0,0,0,350,0,51
154,0,0,0,350,0,51
155,0,0,0,350,0,51
156,0,0,0,350,0,51
157,0,0,0,350,0,51
158,0,0,0,350,0,51
159,0,0,0,350,0,51
160,0,0,0,350,0,51
161,0,0,0,350,0,51
162,0,0,0,350,0,51
163,0,0,0,350,0,51
164,0,0,0,350,0,51
165,0,0,0,350,0,51
166,0,0,0,350,0,51
167,0,0,0,350,0,51
168,0,0,0,350,0,51
169,0,0,0,350,0,51
170,0,0,0,350,0,51
171,0,0,0,350,0,51
172,0,0,0,350,0,51
173,0,0,0,350,0,51
174,0,0,0,350,0,51
175,0,0,0,350,0,51
176,0,0,0,350,0,51
177,0,0,0,350,0,51
178,0,0,0,350,0,51
179,0,0,0,350,0,51
180,0,0,0,350,0,51
181,0,0,0,350,0,51
182,0,0,0,350,0,51
183,0,0,0,350,0,51
184,0,0,0,350,0,51
185,0,0,0,350,0,51
186,0,0,0,350,0,51
187,0,0,0,350,0,51
188,0,0,0,350,0,51
189,0,0,0,350,0,51
190,0,0,0,350,0,51
191,0,0,0,350,0,51
192,0,0,0,350,0,51
193,0,0,0,350,0,51
194,0,0,0,350,0,51
195,0,0,0,350,0,51
196,0,0,0,350,0,51
197,0,0,0,350,0,51
198,0,0,0,350,0,51
199,0,0,0,350,0,51
200,0,0,0,350,0,51
201,0,0,0,350,0,51
202,0,0,0,350,0,51
203,0,0,0,350,0,51
204,0,0,0,350,0,51
205,0,0,0,350,0,51
206,0,0,0,350,0,51
207,0,0,0,350,0,51
208,0,0,0,350,0,51
209,0,0,0,350,0,51
210,0,0,0,350,0,51
211,0,0,0,350,0,51
212,0,0,0,350,0,51
213,0,0,0,350,0,51
214,0,0,0,350,0,51
215,0,0,0,350,0,51
216,0,0,0,350,0,51
217,0,0,0,350,0,51
218,0,0,0,350,0,51
219,0,0,0,350,0,51
220,0,0,0,350,0,51
221,0,0,0,350,0,51
222,0,0,0,350,0,51
223,0,0,0,350,0,51
224,0,0,0,350,0,51
225,0,0,0,350,0,51
226,0,0,0,350,0,51
227,0,0,0,350,0,51
228,0,0,0,350,0,51
229,0,0,0,350,0,51
230,0,0,0,350,0,51
231,0,0,0,350,0,51
232,0,0,0,350,0,51
233,0,0,0,350,0,51
234,0,0,0,350,0,51
235,0,0,0,350,0,51
236,0,0,0,350,0,51
237,0,0,0,350,0,51
238,0,0,0,350,0,51
239,0,0,0,350,0,51
240,0,0,0,350,0,51
241,0,0,0,350,0,51
242,0,0,0,350,0,51
243,0,0,0,350,0,51
244,0,0,0,350,0,51
245,0,0,0,350,0,51
246,0,0,0,350,0,51
247,0,0,0,350,0,51
248,0,0,0,350,0,51
249,0,0,0,350,0,51
250,0,0,0,350,0,51
