Time,normal_interactions,curtailed_interactions
0,659983,659983
0.25,659979,659979
0.5,659973,659973
0.75,659967,659967
1,659964,659964
1.25,659961,659961
1.5,659960,659960
1.75,659962,659962
2,659961,659961
2.25,659960,659960
2.5,659961,659961
2.75,659960,659960
3,659958,659958
3.25,659958,659958
3.5,659956,659956
3.75,659956,659956
4,659956,659956
4.25,659955,659955
4.5,659957,659957
4.75,659956,659956
5,659956,659956
5.25,659957,659957
5.5,659957,659957
5.75,659955,659955
6,659954,659954
6.25,659954,659954
6.5,659952,659952
6.75,659953,659953
7,659949,659949
7.25,659950,659950
7.5,659952,659952
7.75,659951,659951
8,659951,659951
8.25,659951,659951
8.5,659950,659950
8.75,659951,659951
9,659952,659952
9.25,659951,659951
9.5,659950,659950
9.75,659945,659945
10,659944,659944
10.25,659945,659945
10.5,659946,659946
10.75,659946,659946
11,659944,659944
11.25,659942,659942
11.5,659945,659945
11.75,659946,659946
12,659945,659945
12.25,659945,659945
12.5,659945,659945
12.75,659946,659946
13,659944,659944
13.25,659945,659945
13.5,659948,659948
13.75,659948,659948
14,659945,659945
14.25,659950,659950
14.5,659949,659949
14.75,659948,659948
15,659945,659945
15.25,659944,659944
15.5,659945,659945
15.75,659945,659945
16,659943,659943
16.25,659939,659939
16.5,659937,659937
16.75,659934,659934
17,659935,659935
17.25,659933,659933
17.5,659935,659935
17.75,659934,659934
18,659930,659930
18.25,659932,659932
18.5,659933,659933
18.75,659929,659929
19,659928,659928
19.25,659926,659926
19.5,659925,659925
19.75,659923,659923
20,659921,659921
20.25,659919,659919
20.5,659915,659915
20.75,659915,659915
21,659914,659914
21.25,659914,659914
21.5,659916,659916
21.75,659920,659920
22,659918,659918
22.25,659921,659921
22.5,659915,659915
22.75,659917,659917
23,659917,659917
23.25,659915,659915
23.5,659915,659915
23.75,659916,659916
24,659911,659911
24.25,659915,659915
24.5,659912,659912
24.75,659908,659908
25,659907,659907
25.25,659905,659905
25.5,659909,659909
25.75,659907,659907
26,659905,659905
26.25,659900,659900
26.5,659900,659900
26.75,659900,659900
27,659904,659904
27.25,659901,659901
27.5,659899,659899
27.75,659899,659899
28,659894,659894
28.25,659898,659898
28.5,659899,659899
28.75,659898,659898
29,659896,659896
29.25,659896,659896
29.5,659899,659899
29.75,659896,659896
30,659892,659892
30.25,659900,659900
30.5,659896,659896
30.75,659899,659899
31,659896,659896
31.25,659896,659896
31.5,659891,659891
31.75,659883,659883
32,659877,659877
32.25,659873,659873
32.5,659870,659870
32.75,659869,659869
33,659871,659871
33.25,659870,659870
33.5,659868,659868
33.75,659869,659869
34,659868,659868
34.25,659869,659869
34.5,659869,659869
34.75,659866,659866
35,659863,659863
35.25,659858,659858
35.5,659849,659849
35.75,659846,659846
36,659846,659846
36.25,659846,659846
36.5,659845,659845
36.75,659841,659841
37,659844,659844
37.25,659842,659842
37.5,659842,659842
37.75,659843,659843
38,659836,659836
38.25,659838,659838
38.5,659839,659839
38.75,659836,659836
39,659837,659837
39.25,659833,659833
39.5,659832,659832
39.75,659827,659827
40,659827,659827
40.25,659826,659826
40.5,659829,659829
40.75,659821,659821
41,659818,659818
41.25,659812,659812
41.5,659809,659809
41.75,659808,659808
42,659809,659809
42.25,659804,659804
42.5,659798,659798
42.75,659795,659795
43,659793,659793
43.25,659787,659787
43.5,659783,659783
43.75,659794,659794
44,659793,659793
44.25,659798,659798
44.5,659793,659793
44.75,659790,659790
45,659785,659785
45.25,659783,659783
45.5,659785,659785
45.75,659777,659777
46,659777,659777
46.25,659780,659780
46.5,659776,659776
46.75,659775,659775
47,659782,659782
47.25,659777,659777
47.5,659781,659781
47.75,659778,659778
48,659772,659772
48.25,659772,659772
48.5,659766,659766
48.75,659769,659769
49,659763,659763
49.25,659756,659756
49.5,659753,659753
49.75,659752,659752
50,659754,659754
50.25,659749,659749
50.5,659750,659750
50.75,659750,659750
51,659747,659747
51.25,659748,659748
51.5,659745,659745
51.75,659739,659739
52,659727,659727
52.25,659731,659731
52.5,659726,659726
52.75,659730,659730
53,659721,659721
53.25,659719,659719
53.5,659722,659722
53.75,659713,659713
54,659717,659717
54.25,659715,659715
54.5,659711,659711
54.75,659709,659709
55,659711,659711
55.25,659700,659700
55.5,659690,659690
55.75,659688,659688
56,659682,659682
56.25,659669,659669
56.5,659665,659665
56.75,659657,659657
57,659648,659648
57.25,659642,659642
57.5,659629,659629
57.75,659620,659620
58,659613,659613
58.25,659607,659607
58.5,659609,659609
58.75,659598,659598
59,659600,659600
59.25,659593,659593
59.5,659589,659589
59.75,659585,659585
60,659576,659576
60.25,659572,659572
60.5,659569,659569
60.75,659556,659556
61,659559,659559
61.25,659550,659550
61.5,659534,659534
61.75,659515,659515
62,659505,659505
62.25,659490,659490
62.5,659485,659485
62.75,659482,659482
63,659470,659470
63.25,659453,659453
63.5,659446,659446
63.75,659437,659437
64,659414,659414
64.25,659391,659391
64.5,659377,659377
64.75,659380,659380
65,659375,659375
65.25,659367,659367
65.5,659353,659353
65.75,659351,659351
66,659352,659352
66.25,659356,659356
66.5,659351,659351
66.75,659345,659345
67,659335,659335
67.25,659329,659329
67.5,659328,659328
67.75,659323,659323
68,659307,659307
68.25,659294,659294
68.5,659289,659289
68.75,659267,659267
69,659246,659246
69.25,659233,659233
69.5,659225,659225
69.75,659207,659207
70,659191,659191
70.25,659188,659188
70.5,659179,659179
70.75,659175,659175
71,659140,659140
71.25,659132,659132
71.5,659112,659112
71.75,659102,659102
72,659078,659078
72.25,659071,659071
72.5,659054,659054
72.75,659037,659037
73,659034,659034
73.25,659026,659026
73.5,659016,659016
73.75,658987,658987
74,658970,658970
74.25,658970,658970
74.5,658946,658946
74.75,658954,658954
75,658940,658940
75.25,658919,658919
75.5,658913,658913
75.75,658896,658896
76,658895,658895
76.25,658869,658869
76.5,658848,658848
76.75,658843,658843
77,658818,658818
77.25,658807,658807
77.5,658800,658800
77.75,658792,658792
78,658774,658774
78.25,658758,658758
78.5,658744,658744
78.75,658723,658723
79,658697,658697
79.25,658676,658676
79.5,658682,658682
79.75,658664,658664
80,658638,658638
80.25,658624,658624
80.5,658604,658604
80.75,658594,658594
81,658585,658585
81.25,658563,658563
81.5,658532,658532
81.75,658520,658520
82,658504,658504
82.25,658474,658474
82.5,658452,658452
82.75,658426,658426
83,658400,658400
83.25,658388,658388
83.5,658364,658364
83.75,658323,658323
84,658308,658308
84.25,658291,658291
84.5,658284,658284
84.75,658241,658241
85,658206,658206
85.25,658185,658185
85.5,658160,658160
85.75,658125,658125
86,658118,658118
86.25,658073,658073
86.5,658047,658047
86.75,658002,658002
87,657976,657976
87.25,657958,657958
87.5,657930,657930
87.75,657918,657918
88,657871,657871
88.25,657810,657810
88.5,657779,657779
88.75,657752,657752
89,657741,657741
89.25,657679,657679
89.5,657649,657649
89.75,657632,657632
90,657585,657585
90.25,657529,657529
90.5,657527,657527
90.75,657495,657495
91,657468,657468
91.25,657420,657420
91.5,657371,657371
91.75,657325,657325
92,657286,657286
92.25,657256,657256
92.5,657212,657212
92.75,657165,657165
93,657110,657110
93.25,657085,657085
93.5,657036,657036
93.75,657008,657008
94,656989,656989
94.25,656913,656913
94.5,656883,656883
94.75,656828,656828
95,656786,656786
95.25,656755,656755
95.5,656720,656720
95.75,656676,656676
96,656644,656644
96.25,656619,656619
96.5,656578,656578
96.75,656527,656527
97,656452,656452
97.25,656399,656399
97.5,656349,656349
97.75,656301,656301
98,656208,656208
98.25,656164,656164
98.5,656124,656124
98.75,656072,656072
99,656023,656023
99.25,655971,655971
99.5,655877,655877
99.75,655827,655827
100,655747,655747
100.25,655686,655686
100.5,655633,655633
100.75,655574,655574
101,655549,655549
101.25,655518,655518
101.5,655503,655503
101.75,655461,655461
102,655398,655398
102.25,655303,655303
102.5,655237,655237
102.75,655159,655159
103,655103,655103
103.25,655025,655025
103.5,654963,654963
103.75,654934,654934
104,654852,654852
104.25,654773,654773
104.5,654734,654734
104.75,654639,654639
105,654556,654556
105.25,654488,654488
105.5,654417,654417
105.75,654346,654346
106,654249,654249
106.25,654154,654154
106.5,654073,654073
106.75,653943,653943
107,653855,653855
107.25,653764,653764
107.5,653609,653609
107.75,653527,653527
108,653403,653403
108.25,653385,653385
108.5,653318,653318
108.75,653179,653179
109,653110,653110
109.25,653073,653073
109.5,652921,652921
109.75,652820,652820
110,652768,652768
110.25,652741,652741
110.5,652624,652624
110.75,652516,652516
111,652404,652404
111.25,652354,652354
111.5,652248,652248
111.75,652168,652168
112,652016,652016
112.25,651889,651889
112.5,651763,651763
112.75,651665,651665
113,651585,651585
113.25,651503,651503
113.5,651371,651371
113.75,651236,651236
114,651172,651172
114.25,651064,651064
114.5,650960,650960
114.75,650874,650874
115,650760,650760
115.25,650669,650669
115.5,650527,650527
115.75,650434,650434
116,650347,650347
116.25,650255,650255
116.5,650182,650182
116.75,650093,650093
117,650012,650012
117.25,649936,649936
117.5,649794,649794
117.75,649640,649640
118,649476,649476
118.25,649402,649402
118.5,649326,649326
118.75,649244,649244
119,649064,649064
119.25,649028,649028
119.5,648881,648881
119.75,648806,648806
120,648743,648743
120.25,648583,648583
120.5,648521,648521
120.75,648412,648412
121,648296,648296
121.25,648116,648116
121.5,647920,647920
121.75,647770,647770
122,647607,647607
122.25,647537,647537
122.5,647424,647424
122.75,647378,647378
123,647262,647262
123.25,647167,647167
123.5,647088,647088
123.75,646933,646933
124,646806,646806
124.25,646721,646721
124.5,646594,646594
124.75,646453,646453
125,646346,646346
125.25,646155,646155
125.5,646038,646038
125.75,645828,645828
126,645699,645699
126.25,645574,645574
126.5,645395,645395
126.75,645285,645285
127,645116,645116
127.25,644964,644964
127.5,644879,644879
127.75,644770,644770
128,644598,644598
128.25,644484,644484
128.5,644375,644375
128.75,644200,644200
129,644092,644092
129.25,644071,644071
129.5,643982,643982
129.75,643736,643736
130,643568,643568
130.25,643397,643397
130.5,643235,643235
130.75,643082,643082
131,642962,642962
131.25,642814,642814
131.5,642725,642725
131.75,642586,642586
132,642431,642431
132.25,642273,642273
132.5,642205,642205
132.75,642055,642055
133,641927,641927
133.25,641766,641766
133.5,641630,641630
133.75,641479,641479
134,641303,641303
134.25,641140,641140
134.5,640975,640975
134.75,640798,640798
135,640730,640730
135.25,640557,640557
135.5,640426,640426
135.75,640296,640296
136,640143,640143
136.25,640012,640012
136.5,640001,640001
136.75,639875,639875
137,639745,639745
137.25,639563,639563
137.5,639377,639377
