Time,infections_by_new_infectives
0,0
0.25,20.753
0.5,34.2349
0.75,104.345
1,52.2072
1.25,114.058
1.5,29.8168
1.75,7.12911
2,35.6075
2.25,44.9435
2.5,1.44825
2.75,13.1638
3,23.9314
3.25,7.77248
3.5,41.9468
3.75,10.6198
4,25.134
4.25,9.46087
4.5,0.428371
4.75,21.8873
5,12.7235
5.25,14.7859
5.5,13.2977
5.75,15.6435
6,35.4618
6.25,12.6679
6.5,7.15222
6.75,7.78692
7,22.0094
7.25,36.8162
7.5,12.7084
7.75,28.1218
8,1.65032
8.25,1.14708
8.5,38.4808
8.75,0.363304
9,18.699
9.25,9.50509
9.5,56.3946
9.75,25.9804
10,0.4273
10.25,9.62548
10.5,13.4877
10.75,39.1487
11,20.5032
11.25,17.3548
11.5,3.89839
11.75,16.7903
12,16.9686
12.25,25.7658
12.5,13.116
12.75,44.1109
13,5.99563
13.25,22.1462
13.5,8.38691
13.75,46.4827
14,34.9866
14.25,17.3296
14.5,26.5124
14.75,44.2252
15,31.2657
15.25,37.7521
15.5,18.4245
15.75,0
16,46.0053
16.25,57.467
16.5,17.7599
16.75,115.061
17,21.8145
17.25,57.3253
17.5,19.6584
17.75,6.71474
18,25.8122
18.25,30.1416
18.5,21.386
18.75,44.6578
19,60.9025
19.25,20.3776
19.5,46.0189
19.75,44.8803
20,55.8302
20.25,11.5922
20.5,53.1461
20.75,25.6741
21,74.0427
21.25,4.07446
21.5,13.2966
21.75,38.1205
22,54.386
22.25,14.9167
22.5,99.3909
22.75,43.3349
23,43.6981
23.25,32.8758
23.5,10.1334
23.75,43.5755
24,55.5624
24.25,7.1191
24.5,78.9129
24.75,52.3219
25,48.4588
25.25,35.4921
25.5,18.1342
25.75,92.6195
26,96.9512
26.25,60.564
26.5,60.9251
26.75,164.566
27,8.08085
27.25,65.6954
27.5,53.0991
27.75,14.446
28,75.3914
28.25,83.2011
28.5,37.055
28.75,97.1536
29,48.6276
29.25,31.7338
29.5,22.0813
29.75,68.8329
30,48.891
30.25,42.2042
30.5,55.2033
30.75,13.84
31,74.2293
31.25,126.751
31.5,98.8853
31.75,119.493
32,93.1796
32.25,165.547
32.5,60.6155
32.75,60.6596
33,70.9631
33.25,44.3125
33.5,86.3829
33.75,43.485
34,40.8097
34.25,42.5811
34.5,110.575
34.75,58.6701
35,103.688
35.25,51.3802
35.5,114.399
35.75,53.985
36,88.2507
36.25,63.6122
36.5,123.235
36.75,161.121
37,26.2493
37.25,178.79
37.5,103.19
37.75,74.3448
38,103.427
38.25,121.395
38.5,72.4895
38.75,171.36
39,58.1143
39.25,91.0288
39.5,103.346
39.75,111.272
40,120.446
40.25,61.7813
40.5,52.1482
40.75,179.955
41,72.6159
41.25,154.642
41.5,79.579
41.75,101.287
42,65.1173
42.25,239.696
42.5,148.093
42.75,147.841
43,119.697
43.25,138.648
43.5,124.793
43.75,95.184
44,93.5267
44.25,119.359
44.5,74.9786
44.75,232.57
45,82.0474
45.25,38.162
45.5,129.786
45.75,156.753
46,54.6275
46.25,91.1207
46.5,113.291
46.75,106.203
47,56.0857
47.25,85.8374
47.5,144.339
47.75,121.501
48,172.339
48.25,96.709
48.5,172.713
48.75,131.966
49,172.404
49.25,154.034
49.5,140.458
49.75,126.475
50,154.821
50.25,211.005
50.5,155.208
50.75,116.176
51,73.6788
51.25,157.656
51.5,230.238
51.75,268.425
52,223.893
52.25,131.171
52.5,170.164
52.75,130.311
53,166.515
53.25,138.008
53.5,88.4847
53.75,218.636
54,193.282
54.25,206.411
54.5,185.662
54.75,233.663
55,191.865
55.25,291.887
55.5,197.553
55.75,296.833
56,320.902
56.25,210.747
56.5,206.156
56.75,255.676
57,285.411
57.25,279.957
57.5,307.7
57.75,299.645
58,441.499
58.25,227.071
58.5,192.311
58.75,481.164
59,248.963
59.25,260.396
59.5,377.023
59.75,245.01
60,308.76
60.25,340.918
60.5,265.947
60.75,468.81
61,171.571
61.25,381.382
61.5,400.732
61.75,266.664
62,315.635
62.25,446.983
62.5,410.311
62.75,392.735
63,528.554
63.25,414.196
63.5,382.006
63.75,354.724
64,481.343
64.25,522.606
64.5,524.143
64.75,390.054
65,447.585
65.25,399.414
65.5,400.946
65.75,365.821
66,375.982
66.25,290.463
66.5,385.385
66.75,427.768
67,415.107
67.25,385.019
67.5,558.779
67.75,406.849
68,429.071
68.25,525.142
68.5,553.339
68.75,615.685
69,567.293
69.25,423.931
69.5,444.432
69.75,477.204
70,487.341
70.25,624.127
70.5,525.144
70.75,546.51
71,545.281
71.25,632.287
71.5,567.007
71.75,608.504
72,667.893
72.25,670.375
72.5,569.195
72.75,747.468
73,647.335
73.25,483.719
73.5,825.066
73.75,820.058
74,622.81
74.25,715.539
74.5,744.244
74.75,512.45
75,754.955
75.25,941.413
75.5,664.942
75.75,722.376
76,777.625
76.25,870.666
76.5,749.776
76.75,604.92
77,949.338
77.25,848.899
77.5,543.501
77.75,911.259
78,663.12
78.25,784.26
78.5,992.556
78.75,1083.51
79,1005.46
79.25,984.915
79.5,956.893
79.75,1002.62
80,1129.39
80.25,838.805
80.5,968.64
80.75,753.441
81,1152.76
81.25,1188.85
81.5,1256.14
81.75,926.011
82,1135.46
82.25,1033.03
82.5,971.916
82.75,1012.64
83,1155.02
83.25,1054.94
83.5,1177.64
83.75,1169.07
84,1119.9
84.25,1311.6
84.5,1206.99
84.75,1535.42
85,1331.51
85.25,1235.24
85.5,1434.21
85.75,1278.36
86,1443.99
86.25,1392.85
86.5,1214.05
86.75,1352.13
87,1571.59
87.25,1472.49
87.5,1415.7
87.75,1322.64
88,1632.22
88.25,1912.72
88.5,1395.48
88.75,1686.46
89,1532.02
89.25,1660.37
89.5,1570.95
89.75,1698.65
90,2055.5
90.25,1688.97
90.5,1500.49
90.75,1784.85
91,1607.17
91.25,1633.39
91.5,1839.31
91.75,1689.28
92,1781.94
92.25,2170.41
92.5,1968.26
92.75,1736.07
93,2091.06
93.25,2010.56
93.5,2351.13
93.75,1990.11
94,1967.49
94.25,2141.8
94.5,2326.32
94.75,2274.37
95,2079.87
95.25,2322
95.5,2209.48
95.75,2502.61
96,2222.66
96.25,2166.46
96.5,2250.56
96.75,2412.59
97,2408.31
97.25,2617.35
97.5,2663.34
