Time,num_affected
0,96
0.25,96
0.5,96
0.75,96
1,96
1.25,97
1.5,98
1.75,98
2,102
2.25,103
2.5,107
2.75,112
3,115
3.25,119
3.5,123
3.75,127
4,131
4.25,132
4.5,138
4.75,143
5,147
5.25,152
5.5,158
5.75,163
6,167
6.25,172
6.5,174
6.75,179
7,183
7.25,186
7.5,191
7.75,196
8,200
8.25,201
8.5,206
8.75,209
9,213
9.25,218
9.5,222
9.75,227
10,231
10.25,236
10.5,239
10.75,240
11,247
11.25,248
11.5,252
11.75,259
12,265
12.25,272
12.5,276
12.75,282
13,286
13.25,289
13.5,296
13.75,301
14,309
14.25,311
14.5,319
14.75,328
15,329
15.25,333
15.5,335
15.75,343
16,350
16.25,356
16.5,364
16.75,372
17,376
17.25,382
17.5,391
17.75,397
18,402
18.25,405
18.5,408
18.75,410
19,417
19.25,422
19.5,430
19.75,436
20,444
20.25,454
20.5,463
20.75,470
21,481
21.25,484
21.5,490
21.75,500
22,508
22.25,518
22.5,524
22.75,531
23,538
23.25,545
23.5,554
23.75,556
24,560
24.25,566
24.5,579
24.75,589
25,597
25.25,606
25.5,619
25.75,634
26,643
26.25,655
26.5,668
26.75,673
27,689
27.25,699
27.5,706
27.75,718
28,725
28.25,737
28.5,748
28.75,764
29,772
29.25,787
29.5,801
29.75,814
30,829
30.25,843
30.5,863
30.75,873
31,891
31.25,902
31.5,911
31.75,924
32,937
32.25,954
32.5,962
32.75,972
33,986
33.25,1009
33.5,1021
33.75,1035
34,1046
34.25,1058
34.5,1068
34.75,1084
35,1094
35.25,1114
35.5,1134
35.75,1150
36,1164
36.25,1190
36.5,1211
36.75,1234
37,1251
37.25,1272
37.5,1285
37.75,1312
38,1340
38.25,1364
38.5,1384
38.75,1407
39,1440
39.25,1460
39.5,1479
39.75,1498
40,1517
40.25,1533
40.5,1552
40.75,1575
41,1593
41.25,1606
41.5,1633
41.75,1657
42,1685
42.25,1703
42.5,1717
42.75,1727
43,1742
43.25,1762
43.5,1790
43.75,1824
44,1859
44.25,1885
44.5,1902
44.75,1912
45,1937
45.25,1964
45.5,1991
45.75,2018
46,2044
46.25,2057
46.5,2077
46.75,2110
47,2130
47.25,2152
47.5,2181
47.75,2199
48,2224
48.25,2249
48.5,2272
48.75,2295
49,2327
49.25,2354
49.5,2390
49.75,2420
50,2463
50.25,2490
50.5,2521
50.75,2557
51,2577
51.25,2605
51.5,2628
51.75,2655
52,2683
52.25,2714
52.5,2734
52.75,2760
53,2799
53.25,2825
53.5,2865
53.75,2899
54,2939
54.25,2980
54.5,3020
54.75,3051
55,3097
55.25,3149
55.5,3191
55.75,3239
56,3287
56.25,3336
56.5,3388
56.75,3439
57,3495
57.25,3544
57.5,3586
57.75,3633
58,3676
58.25,3737
58.5,3793
58.75,3846
59,3897
59.25,3958
59.5,4032
59.75,4089
60,4166
60.25,4232
60.5,4287
60.75,4350
61,4403
61.25,4453
61.5,4516
61.75,4583
62,4647
62.25,4715
62.5,4784
62.75,4857
63,4940
63.25,5010
63.5,5088
63.75,5158
64,5237
64.25,5318
64.5,5400
64.75,5492
65,5580
65.25,5660
65.5,5749
65.75,5831
66,5912
66.25,6007
66.5,6076
66.75,6166
67,6250
67.25,6334
67.5,6415
67.75,6513
68,6612
68.25,6724
68.5,6820
68.75,6914
69,7036
69.25,7158
69.5,7269
69.75,7373
70,7462
70.25,7551
70.5,7655
70.75,7760
71,7867
71.25,7977
71.5,8102
71.75,8208
72,8328
72.25,8462
72.5,8577
72.75,8720
73,8851
73.25,8982
73.5,9096
73.75,9204
74,9340
74.25,9465
74.5,9594
74.75,9711
75,9858
75.25,10001
75.5,10147
75.75,10271
76,10406
76.25,10541
76.5,10675
76.75,10832
77,10968
77.25,11140
77.5,11300
77.75,11448
78,11583
78.25,11730
78.5,11890
78.75,12068
79,12236
79.25,12429
79.5,12621
79.75,12795
80,12956
80.25,13119
80.5,13349
80.75,13540
81,13736
81.25,13945
81.5,14135
81.75,14328
82,14542
82.25,14764
82.5,14973
82.75,15191
83,15408
83.25,15607
83.5,15811
83.75,16045
84,16288
84.25,16543
84.5,16787
84.75,17051
85,17278
85.25,17519
85.5,17768
85.75,18030
86,18254
86.25,18534
86.5,18844
86.75,19105
87,19362
87.25,19605
87.5,19871
87.75,20143
88,20453
88.25,20762
88.5,21045
88.75,21339
89,21665
89.25,21955
89.5,22284
89.75,22630
90,22974
90.25,23313
90.5,23678
