Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,6,1,1,0,0
2,4,1,1,0,0
3,6,1,1,0,0
4,4,2,2,0,0
5,4,3,3,0,0
6,3,3,3,0,0
7,4,4,4,0,0
8,5,4,4,0,0
9,4,3,4,0,0
10,2,3,4,0,0
11,9,3,4,0,0
12,6,3,5,1,0
13,8,2,5,1,0
14,10,3,6,1,0
15,11,2,6,1,0
16,8,2,6,1,0
17,11,2,6,1,0
18,8,3,7,1,0
19,9,4,8,1,0
20,14,4,9,0,1
21,14,4,9,0,1
22,12,5,11,0,1
23,8,6,12,0,1
24,8,6,12,0,1
25,13,6,12,0,1
26,14,7,14,0,1
27,11,8,16,0,1
28,14,8,17,0,1
29,15,10,19,0,1
30,28,8,19,0,1
31,14,7,19,0,1
32,11,8,20,0,1
33,18,10,22,0,1
34,20,11,25,1,1
35,22,9,25,2,1
36,30,9,26,2,1
37,27,10,29,4,1
38,26,10,29,4,1
39,34,11,30,4,1
40,27,14,34,4,1
41,38,15,37,4,1
42,31,15,40,4,1
43,25,15,40,3,2
44,30,16,42,3,2
45,23,14,43,3,4
46,40,14,43,3,4
47,41,19,49,3,4
48,41,19,53,5,4
49,42,17,54,7,4
50,47,16,56,7,5
51,36,17,57,7,5
52,40,17,59,9,5
53,55,20,63,7,6
54,56,26,69,7,6
55,65,23,72,7,6
56,63,23,76,6,7
57,66,27,81,4,8
58,69,30,86,4,9
59,72,35,92,4,9
60,86,39,98,2,10
61,88,39,102,2,10
62,105,39,108,4,10
63,111,45,117,4,10
64,102,47,123,4,11
65,107,53,134,5,11
66,111,55,141,6,11
67,135,57,149,7,11
68,135,58,156,8,11
69,149,75,177,11,11
70,160,83,192,9,11
71,155,82,200,13,11
72,158,90,213,12,12
73,200,93,227,13,13
74,170,96,237,12,13
75,204,99,248,13,13
76,226,104,261,12,14
77,220,99,276,12,16
78,219,99,291,14,16
79,262,108,308,12,18
80,252,105,319,12,18
81,301,111,340,14,20
82,290,125,362,17,21
83,331,144,392,17,23
84,316,164,425,21,23
85,334,174,450,20,24
86,375,179,470,19,25
87,389,184,492,20,26
88,395,197,516,23,26
89,436,197,538,24,27
90,477,201,563,25,29
91,544,201,593,30,29
92,512,205,630,32,32
93,527,221,671,36,33
94,547,238,709,39,33
95,651,242,734,40,36
96,641,262,779,43,37
97,642,286,825,42,39
98,709,307,870,42,42
99,694,329,922,38,45
100,810,354,985,43,47
101,808,358,1029,43,52
102,892,369,1078,46,53
103,919,399,1133,45,55
104,983,421,1200,48,58
105,1069,448,1273,55,59
106,1072,477,1347,60,62
107,1090,492,1415,71,65
108,1154,508,1493,76,73
109,1289,541,1571,84,76
110,1284,581,1660,89,79
111,1355,610,1743,98,82
112,1362,638,1838,98,87
113,1509,650,1925,100,93
114,1547,676,2024,104,101
115,1546,723,2139,97,109
116,1666,777,2271,95,115
117,1792,819,2390,99,123
118,1768,846,2508,106,129
119,1979,891,2634,106,135
120,2004,900,2738,116,141
121,2014,960,2885,119,146
122,2076,1021,3045,120,156
123,2146,1052,3192,140,159
124,2283,1094,3369,148,165
125,2245,1115,3508,152,174
126,2448,1157,3670,160,187
127,2515,1211,3845,174,193
128,2621,1281,4022,171,202
129,2712,1312,4199,188,209
130,2749,1332,4378,215,216
131,2812,1402,4595,216,229
132,2817,1424,4794,231,238
133,2865,1500,5010,245,251
134,2946,1558,5229,254,266
135,3073,1624,5473,267,281
136,3112,1654,5681,286,288
137,3207,1710,5913,290,305
138,3282,1769,6153,289,324
139,3162,1804,6400,306,337
140,3246,1838,6634,318,352
141,3340,1860,6876,329,373
142,3400,1912,7141,337,391
143,3352,1941,7416,357,411
144,3335,2001,7683,367,431
145,3403,2027,7941,380,451
146,3406,2059,8217,385,472
147,3330,2052,8455,381,497
148,3379,2095,8731,384,511
149,3351,2130,9007,398,536
150,3275,2139,9281,409,559
151,3380,2148,9570,400,590
152,3259,2154,9838,415,614
153,3249,2147,10093,411,641
154,3218,2137,10358,434,666
155,3056,2168,10625,451,690
156,3134,2152,10886,469,721
157,3111,2147,11155,476,751
158,3044,2162,11443,488,774
159,2913,2158,11729,500,794
160,2942,2135,11975,503,827
161,2779,2122,12217,510,855
162,2808,2096,12457,500,892
163,2813,2070,12696,493,926
164,2702,2066,12955,490,959
165,2573,2070,13225,487,995
166,2536,1994,13438,507,1028
167,2427,1947,13679,517,1059
168,2315,1928,13904,509,1101
169,2237,1901,14118,517,1133
170,2135,1887,14345,515,1165
171,2140,1865,14564,511,1190
172,1984,1808,14766,516,1227
173,1896,1754,14981,517,1262
174,1788,1756,15197,495,1305
175,1761,1706,15385,471,1342
176,1789,1638,15544,474,1369
177,1614,1601,15720,471,1396
178,1411,1524,15870,481,1419
179,1461,1486,16051,498,1437
180,1446,1454,16220,477,1477
181,1397,1383,16366,469,1514
182,1245,1336,16534,454,1544
183,1254,1284,16669,456,1564
184,1131,1257,16803,430,1590
185,1079,1203,16923,419,1623
186,1099,1173,17046,381,1660
187,1004,1115,17168,372,1688
188,1003,1056,17278,353,1719
189,838,1015,17382,334,1753
190,890,972,17506,326,1774
191,815,932,17603,323,1802
192,832,890,17694,321,1818
193,796,849,17774,307,1841
194,704,818,17864,308,1855
195,681,773,17942,287,1890
196,652,746,18024,283,1906
197,622,729,18111,269,1922
198,565,685,18193,259,1945
199,551,653,18257,230,1969
200,492,634,18328,217,1988
201,514,609,18385,212,2007
202,486,587,18451,208,2020
203,438,565,18507,186,2036
204,407,533,18558,181,2048
205,411,500,18612,179,2057
206,411,460,18653,170,2069
207,373,434,18691,162,2076
208,352,401,18730,158,2085
209,324,382,18767,150,2103
210,325,357,18808,134,2117
211,272,332,18839,135,2122
212,297,304,18862,124,2138
213,266,282,18894,118,2147
214,250,254,18908,112,2157
215,254,250,18942,115,2161
216,234,249,18979,110,2169
217,240,223,18990,97,2175
218,231,203,19011,96,2179
219,207,192,19031,93,2187
220,196,197,19060,85,2196
221,193,187,19081,77,2204
222,176,202,19110,62,2215
223,161,189,19131,62,2220
224,172,174,19153,63,2224
