num_symptomatic,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities,num_cases,new_symptomatics,num_tested,num_positive,Day
0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,11,11,10,5,1
21,0,0,0,0,26,15,12,11,2
31,0,0,0,0,39,13,12,10,3
32,1,1,0,0,49,10,6,6,4
35,1,1,0,0,57,8,5,5,5
36,1,1,0,0,64,7,6,6,6
38,2,2,0,0,72,8,7,4,7
38,3,3,0,0,81,9,6,6,8
36,3,3,0,0,89,8,5,5,9
39,4,4,0,0,96,7,5,5,10
45,4,4,0,0,106,10,7,4,11
46,3,4,0,0,114,8,8,8,12
40,3,4,0,0,118,4,4,4,13
44,3,4,0,0,134,16,14,10,14
41,3,5,1,0,144,10,7,7,15
46,2,5,1,0,154,10,7,5,16
52,3,6,1,0,168,14,9,8,17
56,2,6,1,0,182,14,12,8,18
57,2,6,1,0,191,9,7,3,19
68,2,6,1,0,212,21,15,8,20
73,3,7,1,0,227,15,12,9,21
74,4,8,1,0,244,17,12,9,22
74,4,9,0,1,265,21,14,10,23
82,4,9,0,1,283,18,9,8,24
82,5,11,0,1,298,15,12,10,25
81,6,12,0,1,311,13,10,5,26
88,6,12,0,1,331,20,12,11,27
94,6,12,0,1,352,21,11,9,28
94,7,14,0,1,375,23,20,18,29
91,8,16,0,1,393,18,15,14,30
94,8,17,0,1,420,27,22,19,31
104,10,19,0,1,448,28,20,17,32
122,8,19,0,1,490,42,35,29,33
126,7,19,0,1,518,28,18,14,34
133,8,20,0,1,544,26,19,12,35
148,10,22,0,1,581,37,30,24,36
142,11,25,1,1,612,31,21,14,37
152,9,25,2,1,646,34,26,19,38
153,9,26,2,1,699,53,38,35,39
162,10,29,4,1,737,38,33,29,40
173,10,29,4,1,776,39,32,26,41
193,11,30,4,1,830,54,35,26,42
198,14,34,4,1,878,48,41,35,43
212,15,37,4,1,937,59,44,39,44
213,15,40,4,1,984,47,35,29,45
226,15,40,3,2,1029,45,32,26,46
225,16,42,3,2,1081,52,42,36,47
230,14,43,3,4,1128,47,31,25,48
242,14,43,3,4,1193,65,50,39,49
256,19,49,3,4,1261,68,49,43,50
257,19,53,5,4,1328,67,54,42,51
270,17,54,7,4,1397,69,51,40,52
294,16,56,7,5,1473,76,59,49,53
296,17,57,7,5,1531,58,43,34,54
293,17,59,9,5,1590,59,44,37,55
316,20,63,7,6,1677,87,73,62,56
353,26,69,7,6,1770,93,75,55,57
394,23,72,7,6,1874,104,78,63,58
409,23,76,6,7,1979,105,77,64,59
434,27,81,4,8,2091,112,84,73,60
468,30,86,4,9,2218,127,101,84,61
506,35,92,4,9,2339,121,83,69,62
539,39,98,2,10,2491,152,117,96,63
600,39,102,2,10,2650,159,113,88,64
648,39,108,4,10,2819,169,125,101,65
690,45,117,4,10,3006,187,151,115,66
700,47,123,4,11,3169,163,126,105,67
724,53,134,5,11,3338,169,129,101,68
757,55,141,6,11,3514,176,136,116,69
839,57,149,7,11,3750,236,183,150,70
890,58,156,8,11,3976,226,160,128,71
951,75,177,11,11,4230,254,199,158,72
1012,83,192,9,11,4491,261,204,173,73
1070,82,200,13,11,4745,254,193,146,74
1104,90,213,12,12,5011,266,207,157,75
1171,93,227,13,13,5316,305,232,188,76
1220,96,237,12,13,5596,280,219,173,77
1294,99,248,13,13,5918,322,252,205,78
1351,104,261,12,14,6258,340,254,210,79
1421,99,276,12,16,6643,385,294,227,80
1491,99,291,14,16,7015,372,289,228,81
1577,108,308,12,18,7432,417,306,251,82
1679,105,319,12,18,7855,423,329,263,83
1782,111,340,14,20,8330,475,372,307,84
1854,125,362,17,21,8798,468,365,306,85
2021,144,392,17,23,9343,545,411,336,86
2145,164,425,21,23,9869,526,410,317,87
2221,174,450,20,24,10428,559,433,352,88
2405,179,470,19,25,11075,647,484,373,89
2545,184,492,20,26,11697,622,478,382,90
2688,197,516,23,26,12386,689,513,400,91
2839,197,538,24,27,13098,712,533,427,92
3028,201,563,25,29,13899,801,606,486,93
3220,201,593,30,29,14771,872,668,535,94
3430,205,630,32,32,15657,886,682,545,95
3569,221,671,36,33,16520,863,659,535,96
3749,238,709,39,33,17433,913,698,573,97
4035,242,734,40,36,18463,1030,785,614,98
4279,262,779,43,37,19529,1066,834,674,99
4488,286,825,42,39,20601,1072,845,669,100
4709,307,870,42,42,21791,1190,899,724,101
4888,329,922,38,45,22971,1180,898,727,102
5182,354,985,43,47,24264,1293,986,781,103
5462,358,1029,43,52,25624,1360,1044,861,104
5717,369,1078,46,53,27056,1432,1078,855,105
6099,399,1133,45,55,28621,1565,1212,972,106
6526,421,1200,48,58,30261,1640,1256,1004,107
6983,448,1273,55,59,32006,1745,1314,1064,108
7301,477,1347,60,62,33804,1798,1346,1056,109
7661,492,1415,71,65,35630,1826,1402,1123,110
7994,508,1493,76,73,37547,1917,1515,1235,111
8433,541,1571,84,76,39648,2101,1627,1324,112
8904,581,1660,89,79,41823,2175,1672,1332,113
9420,610,1743,98,82,44116,2293,1755,1428,114
9797,638,1838,98,87,46426,2310,1793,1453,115
