Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,6,1,1,0,0
2,5,1,1,0,0
3,6,1,1,0,0
4,4,2,2,0,0
5,6,3,3,0,0
6,5,3,3,0,0
7,5,4,4,0,0
8,4,4,4,0,0
9,8,3,4,0,0
10,4,3,4,0,0
11,10,3,4,0,0
12,7,3,5,1,0
13,5,2,5,1,0
14,8,3,6,1,0
15,8,2,6,1,0
16,3,2,6,1,0
17,8,2,6,1,0
18,9,3,7,1,0
19,9,4,8,1,0
20,10,4,9,0,1
21,8,4,9,0,1
22,10,5,11,0,1
23,5,6,12,0,1
24,11,6,12,0,1
25,9,6,12,0,1
26,18,7,14,0,1
27,14,8,16,0,1
28,19,8,17,0,1
29,17,10,19,0,1
30,29,8,19,0,1
31,14,7,19,0,1
32,12,8,20,0,1
33,24,10,22,0,1
34,14,11,25,1,1
35,19,9,25,2,1
36,35,9,26,2,1
37,29,10,29,4,1
38,26,10,29,4,1
39,26,11,30,4,1
40,35,14,34,4,1
41,39,15,37,4,1
42,29,15,40,4,1
43,26,15,40,3,2
44,36,16,42,3,2
45,25,14,43,3,4
46,39,14,43,3,4
47,43,19,49,3,4
48,42,19,53,5,4
49,40,17,54,7,4
50,49,16,56,7,5
51,34,17,57,7,5
52,37,17,59,9,5
53,62,20,63,7,6
54,55,26,69,7,6
55,63,23,72,7,6
56,64,23,76,6,7
57,73,27,81,4,8
58,84,30,86,4,9
59,69,35,92,4,9
60,96,39,98,2,10
61,88,39,102,2,10
62,101,39,108,4,10
63,115,45,117,4,10
64,105,47,123,4,11
65,101,53,134,5,11
66,116,55,141,6,11
67,150,57,149,7,11
68,128,58,156,8,11
69,158,75,177,11,11
70,173,83,192,9,11
71,146,82,200,13,11
72,157,90,213,12,12
73,188,93,227,13,13
74,173,96,237,12,13
75,205,99,248,13,13
76,210,104,261,12,14
77,227,99,276,12,16
78,228,99,291,14,16
79,251,108,308,12,18
80,263,105,319,12,18
81,307,111,340,14,20
82,306,125,362,17,21
83,336,144,392,17,23
84,317,164,425,21,23
85,352,174,450,20,24
86,373,179,470,19,25
87,382,184,492,20,26
88,400,197,516,23,26
89,427,197,538,24,27
90,486,201,563,25,29
91,535,201,593,30,29
92,545,205,630,32,32
93,535,221,671,36,33
94,573,238,709,39,33
95,614,242,734,40,36
96,674,262,779,43,37
97,669,286,825,42,39
98,724,307,870,42,42
99,727,329,922,38,45
100,781,354,985,43,47
101,861,358,1029,43,52
102,855,369,1078,46,53
103,972,399,1133,45,55
104,1004,421,1200,48,58
105,1064,448,1273,55,59
106,1056,477,1347,60,62
107,1123,492,1415,71,65
108,1235,508,1493,76,73
109,1324,541,1571,84,76
110,1332,581,1660,89,79
111,1428,610,1743,98,82
112,1453,638,1838,98,87
113,1569,650,1925,100,93
114,1543,676,2024,104,101
115,1595,723,2139,97,109
116,1771,777,2271,95,115
117,1794,819,2390,99,123
118,1821,846,2508,106,129
119,1983,891,2634,106,135
120,2010,900,2738,116,141
121,2016,960,2885,119,146
122,2129,1021,3045,120,156
123,2186,1052,3192,140,159
124,2310,1094,3369,148,165
125,2311,1115,3508,152,174
126,2450,1157,3670,160,187
127,2510,1211,3845,174,193
128,2737,1281,4022,171,202
129,2737,1312,4199,188,209
130,2752,1332,4378,215,216
131,2922,1402,4595,216,229
132,2856,1424,4794,231,238
133,2921,1500,5010,245,251
134,3072,1558,5229,254,266
135,3125,1624,5473,267,281
136,3194,1654,5681,286,288
137,3316,1710,5913,290,305
138,3262,1769,6153,289,324
139,3276,1804,6400,306,337
140,3367,1838,6634,318,352
141,3424,1860,6876,329,373
142,3448,1912,7141,337,391
143,3443,1941,7416,357,411
144,3391,2001,7683,367,431
145,3478,2027,7941,380,451
146,3528,2059,8217,385,472
147,3486,2052,8455,381,497
148,3403,2095,8731,384,511
149,3513,2130,9007,398,536
150,3343,2139,9281,409,559
151,3517,2148,9570,400,590
152,3310,2154,9838,415,614
153,3324,2147,10093,411,641
154,3347,2137,10358,434,666
155,3129,2168,10625,451,690
156,3286,2152,10886,469,721
157,3114,2147,11155,476,751
158,3141,2162,11443,488,774
159,3035,2158,11729,500,794
160,3087,2135,11975,503,827
161,2953,2122,12217,510,855
162,2838,2096,12457,500,892
163,2829,2070,12696,493,926
164,2795,2066,12955,490,959
165,2734,2070,13225,487,995
166,2535,1994,13438,507,1028
167,2505,1947,13679,517,1059
168,2425,1928,13904,509,1101
169,2414,1901,14118,517,1133
170,2231,1887,14345,515,1165
171,2256,1865,14564,511,1190
172,2084,1808,14766,516,1227
173,2043,1754,14981,517,1262
174,1906,1756,15197,495,1305
175,1830,1706,15385,471,1342
176,1788,1638,15544,474,1369
177,1776,1601,15720,471,1396
178,1541,1524,15870,481,1419
179,1554,1486,16051,498,1437
180,1527,1454,16220,477,1477
181,1417,1383,16366,469,1514
182,1313,1336,16534,454,1544
183,1277,1284,16669,456,1564
184,1237,1257,16803,430,1590
185,1176,1203,16923,419,1623
186,1126,1173,17046,381,1660
187,1068,1115,17168,372,1688
188,1020,1056,17278,353,1719
189,910,1015,17382,334,1753
190,981,972,17506,326,1774
191,854,932,17603,323,1802
192,884,890,17694,321,1818
193,816,849,17774,307,1841
194,747,818,17864,308,1855
195,718,773,17942,287,1890
196,712,746,18024,283,1906
197,632,729,18111,269,1922
198,599,685,18193,259,1945
199,598,653,18257,230,1969
200,552,634,18328,217,1988
201,518,609,18385,212,2007
202,515,587,18451,208,2020
203,470,565,18507,186,2036
204,437,533,18558,181,2048
205,431,500,18612,179,2057
206,419,460,18653,170,2069
207,380,434,18691,162,2076
208,337,401,18730,158,2085
209,349,382,18767,150,2103
210,338,357,18808,134,2117
211,293,332,18839,135,2122
212,289,304,18862,124,2138
213,286,282,18894,118,2147
214,270,254,18908,112,2157
215,257,250,18942,115,2161
216,269,249,18979,110,2169
217,241,223,18990,97,2175
218,240,203,19011,96,2179
219,244,192,19031,93,2187
220,216,197,19060,85,2196
221,216,187,19081,77,2204
222,178,202,19110,62,2215
223,171,189,19131,62,2220
224,154,174,19153,63,2224
225,149,173,19163,58,2227
226,158,173,19184,56,2230
227,135,170,19201,51,2236
228,146,160,19220,55,2237
229,133,156,19237,52,2241
230,130,142,19252,56,2241
231,133,133,19264,52,2248
232,103,126,19279,50,2252
233,117,125,19289,53,2252
234,104,110,19294,50,2256
235,101,106,19307,49,2258
236,75,97,19317,46,2262
237,85,99,19336,42,2264
238,96,91,19343,38,2265
239,72,85,19349,31,2269
240,81,75,19355,27,2272
241,57,76,19365,23,2274
242,60,81,19375,19,2276
243,72,73,19380,16,2278
244,61,70,19387,14,2283
245,53,55,19391,14,2283
246,58,54,19397,13,2284
247,49,56,19405,13,2284
248,44,53,19408,11,2285
249,38,46,19411,13,2286
250,52,45,19420,14,2286
251,45,43,19423,16,2287
252,43,42,19429,16,2288
253,35,40,19431,15,2289
254,42,35,19432,15,2290
255,40,33,19438,15,2291
256,30,32,19440,15,2291
257,26,32,19444,12,2293
258,35,27,19447,14,2294
259,29,25,19448,12,2295
260,29,21,19450,10,2298
261,28,22,19453,11,2298
262,20,27,19459,10,2299
263,22,26,19464,9,2301
264,19,26,19466,9,2302
265,11,25,19469,9,2302
266,8,23,19470,6,2304
267,14,24,19472,6,2305
268,10,22,19472,5,2305
269,10,20,19473,4,2305
270,16,17,19476,5,2305
271,9,16,19480,4,2305
272,16,18,19484,3,2305
273,8,15,19484,3,2305
274,6,15,19485,4,2305
275,7,14,19486,4,2305
276,9,14,19486,4,2305
277,10,15,19488,3,2306
278,5,12,19488,3,2306
279,10,9,19489,5,2306
280,6,5,19489,6,2306
281,5,5,19489,6,2306
282,9,4,19489,5,2306
283,8,4,19490,5,2306
284,5,5,19491,5,2306
285,6,3,19491,5,2306
286,4,3,19491,4,2307
287,4,2,19491,2,2307
288,2,3,19492,1,2308
289,3,3,19492,1,2308
290,5,4,19493,1,2308
291,1,3,19493,0,2308
292,3,2,19493,1,2308
293,3,2,19493,1,2308
294,2,2,19493,1,2308
295,5,2,19493,1,2308
296,2,1,19493,1,2308
297,1,2,19494,1,2308
298,0,1,19494,1,2308
299,2,1,19494,1,2308
300,0,1,19494,0,2308
301,1,1,19494,0,2308
302,0,1,19494,0,2308
303,0,1,19494,0,2308
304,2,1,19494,0,2308
305,0,0,19494,1,2308
306,0,0,19494,1,2308
307,0,1,19495,1,2308
308,0,1,19495,1,2308
309,0,1,19495,1,2308
310,2,1,19495,1,2308
311,1,1,19495,1,2308
312,0,1,19495,1,2308
313,0,1,19495,0,2309
314,2,1,19495,0,2309
315,1,0,19495,0,2309
316,0,0,19495,0,2309
317,0,0,19495,0,2309
318,0,0,19495,0,2309
319,0,0,19495,0,2309
320,0,0,19495,0,2309
321,0,0,19495,0,2309
322,1,0,19495,0,2309
323,0,0,19495,0,2309
324,1,0,19495,0,2309
325,0,0,19495,0,2309
326,0,0,19495,0,2309
327,0,0,19495,0,2309
328,0,0,19495,0,2309
329,0,0,19495,0,2309
330,0,0,19495,0,2309
331,0,0,19495,0,2309
332,0,0,19495,0,2309
333,0,0,19495,0,2309
