Time,cumulative_mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,6.07721e-06
1.5,0.500003
1.75,0.500003
2,0.166703
2.25,0.100055
2.5,0.0528275
2.75,0.0724693
3,0.115167
3.25,0.132421
3.5,0.122763
3.75,0.107172
4,0.123227
4.25,0.120762
4.5,0.111881
4.75,0.109847
5,0.134042
5.25,0.154503
5.5,0.160617
5.75,0.157484
6,0.161746
6.25,0.157034
6.5,0.149269
6.75,0.152544
7,0.157289
7.25,0.155933
7.5,0.157759
7.75,0.154582
8,0.151106
8.25,0.157876
8.5,0.166236
8.75,0.171673
9,0.16644
9.25,0.159826
9.5,0.162881
9.75,0.163866
10,0.158878
10.25,0.153406
10.5,0.153058
10.75,0.150203
11,0.154145
11.25,0.147677
11.5,0.154447
11.75,0.155019
12,0.148746
12.25,0.15415
12.5,0.146833
12.75,0.141078
13,0.137612
13.25,0.139504
13.5,0.134645
13.75,0.139409
14,0.137605
14.25,0.132979
14.5,0.129212
14.75,0.131128
15,0.12548
15.25,0.120701
15.5,0.120019
15.75,0.123245
16,0.123072
16.25,0.125023
16.5,0.123815
16.75,0.122996
17,0.126473
17.25,0.133936
17.5,0.133653
17.75,0.132188
18,0.129183
18.25,0.132104
18.5,0.134658
18.75,0.133814
19,0.134673
19.25,0.137781
19.5,0.144387
19.75,0.144513
20,0.143543
20.25,0.144515
20.5,0.146165
20.75,0.143355
21,0.142382
21.25,0.140093
21.5,0.140155
21.75,0.139214
22,0.140333
22.25,0.138061
22.5,0.139685
22.75,0.141781
23,0.142305
23.25,0.141205
23.5,0.14515
23.75,0.143919
24,0.145392
24.25,0.146867
24.5,0.148448
24.75,0.150135
25,0.148927
25.25,0.149972
25.5,0.147979
25.75,0.147775
26,0.147789
26.25,0.147923
26.5,0.146783
26.75,0.145571
27,0.144601
27.25,0.146944
27.5,0.146421
27.75,0.147848
28,0.146063
28.25,0.146499
28.5,0.147493
28.75,0.147327
29,0.148454
29.25,0.150237
29.5,0.152034
29.75,0.151756
30,0.153741
30.25,0.156309
30.5,0.15538
30.75,0.155953
31,0.157207
31.25,0.158829
31.5,0.161369
31.75,0.163039
32,0.162776
32.25,0.164374
32.5,0.165586
32.75,0.166217
33,0.165655
33.25,0.165988
33.5,0.167033
33.75,0.167762
34,0.167672
34.25,0.167949
34.5,0.16952
34.75,0.169763
35,0.170311
35.25,0.169912
35.5,0.170285
35.75,0.169723
36,0.168439
36.25,0.168585
36.5,0.169331
36.75,0.170343
37,0.170215
37.25,0.170916
37.5,0.170666
37.75,0.17034
38,0.172063
38.25,0.171685
38.5,0.172226
38.75,0.17127
39,0.169327
39.25,0.168082
39.5,0.167834
39.75,0.168081
40,0.167951
40.25,0.167736
40.5,0.168205
40.75,0.166794
41,0.165877
41.25,0.164356
41.5,0.164495
41.75,0.163858
42,0.162557
42.25,0.162166
42.5,0.162731
42.75,0.1617
43,0.161734
43.25,0.16251
43.5,0.161779
43.75,0.162239
44,0.161854
44.25,0.162065
44.5,0.161982
44.75,0.161352
45,0.161005
45.25,0.160887
45.5,0.161349
45.75,0.161969
46,0.161921
46.25,0.162057
46.5,0.160863
46.75,0.160272
47,0.160495
47.25,0.159855
47.5,0.159869
47.75,0.159931
48,0.159668
48.25,0.160016
48.5,0.159118
48.75,0.158968
49,0.15828
49.25,0.159102
49.5,0.158618
49.75,0.158115
50,0.158436
50.25,0.158424
50.5,0.158654
50.75,0.159091
51,0.158812
51.25,0.159253
51.5,0.15865
51.75,0.158951
52,0.159421
52.25,0.159858
52.5,0.159584
52.75,0.15955
53,0.159696
53.25,0.159976
53.5,0.159818
53.75,0.159444
54,0.159625
54.25,0.160143
54.5,0.16071
54.75,0.160653
55,0.161077
55.25,0.161026
55.5,0.160457
55.75,0.160226
56,0.159704
56.25,0.15928
56.5,0.159854
56.75,0.159827
57,0.159958
57.25,0.160246
57.5,0.160037
57.75,0.159499
58,0.159256
58.25,0.160008
58.5,0.159479
58.75,0.159523
59,0.159286
59.25,0.159231
59.5,0.158935
59.75,0.158761
60,0.158498
60.25,0.157615
60.5,0.157602
60.75,0.15737
61,0.156938
