Time,cumulative_mean_fraction_lambda_H
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0.999994
1.5,0.499997
1.75,0.499997
2,0.499995
2.25,0.499994
2.5,0.473678
2.75,0.428556
3,0.399987
3.25,0.394725
3.5,0.414623
3.75,0.425521
4,0.408153
4.25,0.41999
4.5,0.407398
4.75,0.418173
5,0.399991
5.25,0.384607
5.5,0.38666
5.75,0.396449
6,0.389715
6.25,0.363596
6.5,0.375299
6.75,0.356296
7,0.355697
7.25,0.361251
7.5,0.354588
7.75,0.345424
8,0.337632
8.25,0.327893
8.5,0.33038
8.75,0.303197
9,0.30713
9.25,0.317639
9.5,0.302186
9.75,0.294234
10,0.290329
10.25,0.290169
10.5,0.290021
10.75,0.289272
11,0.289054
11.25,0.289514
11.5,0.283013
11.75,0.281483
12,0.284779
12.25,0.27818
12.5,0.28534
12.75,0.300294
13,0.301776
13.25,0.298701
13.5,0.288251
13.75,0.282972
14,0.284596
14.25,0.277584
14.5,0.27938
14.75,0.275221
15,0.280873
15.25,0.282878
15.5,0.282553
15.75,0.27923
16,0.279721
16.25,0.276907
16.5,0.27674
16.75,0.275805
17,0.270001
17.25,0.266277
17.5,0.26097
17.75,0.260964
18,0.262665
18.25,0.261176
18.5,0.256641
18.75,0.256462
19,0.264993
19.25,0.263541
19.5,0.260287
19.75,0.255581
20,0.257918
20.25,0.255086
20.5,0.251971
20.75,0.25495
21,0.263003
21.25,0.262854
21.5,0.262364
21.75,0.265451
22,0.265301
22.25,0.264536
22.5,0.268299
22.75,0.265924
23,0.264087
23.25,0.268581
23.5,0.268942
23.75,0.268483
24,0.267921
24.25,0.265051
24.5,0.262895
24.75,0.263546
25,0.26325
25.25,0.265733
25.5,0.26617
25.75,0.268419
26,0.267475
26.25,0.268703
26.5,0.270145
26.75,0.27405
27,0.272492
27.25,0.273112
27.5,0.276708
27.75,0.27766
28,0.281242
28.25,0.281688
28.5,0.281263
28.75,0.283036
29,0.282381
29.25,0.284018
29.5,0.286057
29.75,0.287592
30,0.284903
30.25,0.285602
30.5,0.286706
30.75,0.288652
31,0.286642
31.25,0.28445
31.5,0.283147
31.75,0.279434
32,0.281467
32.25,0.280964
32.5,0.280293
32.75,0.28153
33,0.283218
33.25,0.283748
33.5,0.283883
33.75,0.283475
34,0.284796
34.25,0.286258
34.5,0.285604
34.75,0.2875
35,0.287692
35.25,0.289491
35.5,0.289726
35.75,0.29099
36,0.293023
36.25,0.293259
36.5,0.293179
36.75,0.292785
37,0.293686
37.25,0.291337
37.5,0.290792
37.75,0.290883
38,0.289454
38.25,0.287909
38.5,0.287952
38.75,0.287489
39,0.287341
39.25,0.28685
39.5,0.28558
39.75,0.284874
40,0.285031
40.25,0.2843
40.5,0.284831
40.75,0.286535
41,0.286879
41.25,0.287721
41.5,0.286557
41.75,0.286034
42,0.28587
42.25,0.284939
42.5,0.285059
42.75,0.284456
43,0.28285
43.25,0.280418
43.5,0.28062
43.75,0.280497
44,0.281735
44.25,0.281956
44.5,0.282214
44.75,0.281556
45,0.281013
45.25,0.28094
45.5,0.281138
45.75,0.280337
46,0.280648
46.25,0.279852
46.5,0.281145
46.75,0.280003
47,0.280067
47.25,0.280786
47.5,0.28242
47.75,0.283038
48,0.281733
48.25,0.280866
48.5,0.280952
48.75,0.280406
49,0.279828
49.25,0.278711
49.5,0.27784
49.75,0.27856
50,0.278236
50.25,0.277308
50.5,0.27753
50.75,0.277168
51,0.277085
51.25,0.276643
51.5,0.276575
51.75,0.274846
52,0.27499
52.25,0.275533
52.5,0.275234
52.75,0.274215
53,0.274182
53.25,0.274601
53.5,0.274868
53.75,0.274546
54,0.274069
54.25,0.272878
54.5,0.272472
54.75,0.273135
55,0.272963
55.25,0.273034
55.5,0.272617
55.75,0.273139
56,0.273561
56.25,0.273962
56.5,0.273734
56.75,0.273286
57,0.273174
57.25,0.272574
57.5,0.272115
57.75,0.272573
58,0.272682
58.25,0.272016
58.5,0.271877
58.75,0.27204
59,0.273066
59.25,0.272739
59.5,0.27306
59.75,0.273506
60,0.273681
60.25,0.274482
60.5,0.27446
60.75,0.274561
61,0.275091
61.25,0.275077
