Time,cumulative_mean_fraction_lambda_W
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0.333302
2.25,0.399951
2.5,0.473495
2.75,0.498975
3,0.484846
3.25,0.472854
3.5,0.462614
3.75,0.467307
4,0.46862
4.25,0.459248
4.5,0.480721
4.75,0.47198
5,0.465967
5.25,0.46089
5.5,0.452724
5.75,0.446067
6,0.448538
6.25,0.479371
6.5,0.475433
6.75,0.49116
7,0.487014
7.25,0.482816
7.5,0.487653
7.75,0.499994
8,0.511261
8.25,0.514231
8.5,0.503384
8.75,0.525131
9,0.52643
9.25,0.522535
9.5,0.534932
9.75,0.5419
10,0.550793
10.25,0.556424
10.5,0.556922
10.75,0.560524
11,0.556801
11.25,0.562809
11.5,0.56254
11.75,0.563498
12,0.566475
12.25,0.56767
12.5,0.567827
12.75,0.558628
13,0.560613
13.25,0.561796
13.5,0.577104
13.75,0.577619
14,0.577798
14.25,0.589437
14.5,0.591408
14.75,0.593652
15,0.593647
15.25,0.596421
15.5,0.597429
15.75,0.597525
16,0.597207
16.25,0.59807
16.5,0.599445
16.75,0.601199
17,0.603527
17.25,0.599787
17.5,0.605377
17.75,0.606848
18,0.608153
18.25,0.60672
18.5,0.6087
18.75,0.609724
19,0.600334
19.25,0.598679
19.5,0.595326
19.75,0.599906
20,0.598539
20.25,0.600399
20.5,0.601864
20.75,0.601695
21,0.594615
21.25,0.597053
21.5,0.597482
21.75,0.595336
22,0.594366
22.25,0.597404
22.5,0.592015
22.75,0.592295
23,0.593608
23.25,0.590214
23.5,0.585907
23.75,0.587598
24,0.586687
24.25,0.588082
24.5,0.588657
24.75,0.586319
25,0.587823
25.25,0.584295
25.5,0.585852
25.75,0.583807
26,0.584735
26.25,0.583374
26.5,0.583072
26.75,0.580379
27,0.582908
27.25,0.579944
27.5,0.57687
27.75,0.574492
28,0.572695
28.25,0.571813
28.5,0.571244
28.75,0.569638
29,0.569165
29.25,0.565745
29.5,0.561909
29.75,0.560651
30,0.561356
30.25,0.558089
30.5,0.557913
30.75,0.555395
31,0.556151
31.25,0.556721
31.5,0.555484
31.75,0.557527
32,0.555757
32.25,0.554662
32.5,0.554122
32.75,0.552254
33,0.551127
33.25,0.550264
33.5,0.549084
33.75,0.548764
34,0.547533
34.25,0.545793
34.5,0.544877
34.75,0.542737
35,0.541997
35.25,0.540597
35.5,0.53999
35.75,0.539287
36,0.538538
36.25,0.538156
36.5,0.53749
36.75,0.536872
37,0.536099
37.25,0.537747
37.5,0.538542
37.75,0.538778
38,0.538484
38.25,0.540406
38.5,0.539822
38.75,0.541241
39,0.543331
39.25,0.545068
39.5,0.546585
39.75,0.547045
40,0.547019
40.25,0.547964
40.5,0.546964
40.75,0.546672
41,0.547243
41.25,0.547922
41.5,0.548948
41.75,0.550108
42,0.551573
42.25,0.552895
42.5,0.55221
42.75,0.553843
43,0.555416
43.25,0.557072
43.5,0.557601
43.75,0.557264
44,0.556411
44.25,0.555979
44.5,0.555804
44.75,0.557093
45,0.557982
45.25,0.558173
45.5,0.557513
45.75,0.557694
46,0.557431
46.25,0.558091
46.5,0.557993
46.75,0.559725
47,0.559439
47.25,0.559359
47.5,0.557711
47.75,0.557031
48,0.558599
48.25,0.559118
48.5,0.55993
48.75,0.560625
49,0.561893
49.25,0.562186
49.5,0.563542
49.75,0.563325
50,0.563328
50.25,0.564268
50.5,0.563816
50.75,0.56374
51,0.564103
51.25,0.564105
51.5,0.564775
51.75,0.566202
52,0.565589
52.25,0.564609
52.5,0.565182
52.75,0.566235
53,0.566121
53.25,0.565423
53.5,0.565314
53.75,0.56601
54,0.566306
54.25,0.566979
54.5,0.566818
54.75,0.566213
55,0.56596
55.25,0.56594
55.5,0.566926
55.75,0.566634
56,0.566735
56.25,0.566757
56.5,0.566412
56.75,0.566888
57,0.566868
57.25,0.56718
57.5,0.567849
57.75,0.567928
58,0.568062
58.25,0.567976
58.5,0.568644
58.75,0.568436
59,0.567648
59.25,0.56803
59.5,0.568005
59.75,0.567732
60,0.567821
60.25,0.567903
60.5,0.567938
60.75,0.568068
61,0.567971
61.25,0.56832
61.5,0.568248
