Time,normal_interactions,curtailed_interactions
0,775646,775646
0.25,775641,775641
0.5,775634,775634
0.75,775628,775628
1,775624,775624
1.25,775620,775620
1.5,775619,775619
1.75,775621,775621
2,775620,775620
2.25,775619,775619
2.5,775620,775620
2.75,775620,775620
3,775617,775617
3.25,775616,775616
3.5,775616,775616
3.75,775617,775617
4,775618,775618
4.25,775617,775617
4.5,775621,775621
4.75,775619,775619
5,775615,775615
5.25,775616,775616
5.5,775616,775616
5.75,775616,775616
6,775615,775615
6.25,775613,775613
6.5,775612,775612
6.75,775611,775611
7,775609,775609
7.25,775606,775606
7.5,775606,775606
7.75,775602,775602
8,775602,775602
8.25,775606,775606
8.5,775606,775606
8.75,775603,775603
9,775601,775601
9.25,775601,775601
9.5,775596,775596
9.75,775594,775594
10,775598,775598
10.25,775590,775590
10.5,775589,775589
10.75,775585,775585
11,775583,775583
11.25,775583,775583
11.5,775575,775575
11.75,775575,775575
12,775577,775577
12.25,775578,775578
12.5,775578,775578
12.75,775577,775577
13,775572,775572
13.25,775572,775572
13.5,775570,775570
13.75,775570,775570
14,775574,775574
14.25,775577,775577
14.5,775573,775573
14.75,775562,775562
15,775559,775559
15.25,775557,775557
15.5,775555,775555
15.75,775553,775553
16,775546,775546
16.25,775540,775540
16.5,775540,775540
16.75,775535,775535
17,775534,775534
17.25,775524,775524
17.5,775527,775527
17.75,775523,775523
18,775509,775509
18.25,775499,775499
18.5,775503,775503
18.75,775506,775506
19,775505,775505
19.25,775491,775491
19.5,775482,775482
19.75,775478,775478
20,775473,775473
20.25,775477,775477
20.5,775466,775466
20.75,775459,775459
21,775452,775452
21.25,775443,775443
21.5,775447,775447
21.75,775439,775439
22,775431,775431
22.25,775421,775421
22.5,775420,775420
22.75,775411,775411
23,775400,775400
23.25,775401,775401
23.5,775390,775390
23.75,775382,775382
24,775385,775385
24.25,775381,775381
24.5,775374,775374
24.75,775362,775362
25,775356,775356
25.25,775344,775344
25.5,775345,775345
25.75,775343,775343
26,775338,775338
26.25,775333,775333
26.5,775329,775329
26.75,775318,775318
27,775311,775311
27.25,775298,775298
27.5,775293,775293
27.75,775280,775280
28,775268,775268
28.25,775256,775256
28.5,775248,775248
28.75,775265,775265
29,775251,775251
29.25,775243,775243
29.5,775240,775240
29.75,775245,775245
30,775248,775248
30.25,775241,775241
30.5,775240,775240
30.75,775223,775223
31,775216,775216
31.25,775216,775216
31.5,775213,775213
31.75,775213,775213
32,775204,775204
32.25,775207,775207
32.5,775203,775203
32.75,775198,775198
33,775208,775208
33.25,775206,775206
33.5,775195,775195
33.75,775194,775194
34,775183,775183
34.25,775192,775192
34.5,775178,775178
34.75,775170,775170
35,775169,775169
35.25,775151,775151
35.5,775143,775143
35.75,775131,775131
36,775115,775115
36.25,775121,775121
36.5,775111,775111
36.75,775108,775108
37,775110,775110
37.25,775078,775078
37.5,775073,775073
37.75,775058,775058
38,775032,775032
38.25,774998,774998
38.5,774999,774999
38.75,774988,774988
39,774977,774977
39.25,774986,774986
39.5,774968,774968
39.75,774955,774955
40,774944,774944
40.25,774922,774922
40.5,774894,774894
40.75,774880,774880
41,774860,774860
41.25,774830,774830
41.5,774830,774830
41.75,774820,774820
42,774802,774802
42.25,774806,774806
42.5,774794,774794
42.75,774786,774786
43,774776,774776
43.25,774784,774784
43.5,774778,774778
43.75,774742,774742
44,774730,774730
44.25,774706,774706
44.5,774689,774689
44.75,774668,774668
45,774633,774633
45.25,774594,774594
45.5,774584,774584
45.75,774578,774578
46,774541,774541
46.25,774516,774516
46.5,774495,774495
46.75,774473,774473
47,774450,774450
47.25,774416,774416
47.5,774397,774397
47.75,774366,774366
48,774354,774354
48.25,774324,774324
48.5,774294,774294
48.75,774284,774284
49,774246,774246
49.25,774208,774208
49.5,774172,774172
49.75,774159,774159
50,774125,774125
50.25,774097,774097
50.5,774056,774056
50.75,774030,774030
51,773979,773979
51.25,773954,773954
51.5,773911,773911
51.75,773894,773894
52,773855,773855
52.25,773813,773813
52.5,773789,773789
52.75,773733,773733
53,773674,773674
53.25,773616,773616
53.5,773589,773589
53.75,773555,773555
54,773516,773516
54.25,773476,773476
54.5,773431,773431
54.75,773420,773420
55,773338,773338
55.25,773293,773293
55.5,773212,773212
55.75,773152,773152
56,773126,773126
56.25,773062,773062
56.5,773027,773027
56.75,772972,772972
57,772901,772901
57.25,772877,772877
57.5,772819,772819
57.75,772792,772792
58,772745,772745
58.25,772656,772656
58.5,772561,772561
58.75,772502,772502
59,772452,772452
59.25,772372,772372
59.5,772303,772303
59.75,772217,772217
60,772148,772148
60.25,772063,772063
60.5,772006,772006
60.75,771946,771946
61,771871,771871
61.25,771779,771779
61.5,771682,771682
61.75,771598,771598
62,771532,771532
62.25,771494,771494
62.5,771424,771424
62.75,771335,771335
63,771258,771258
63.25,771192,771192
63.5,771079,771079
63.75,770979,770979
64,770932,770932
64.25,770852,770852
64.5,770731,770731
64.75,770634,770634
65,770546,770546
65.25,770490,770490
65.5,770369,770369
65.75,770250,770250
