Time,infections_by_new_infectives
0,0
0.25,26.8488
0.5,45.2613
0.75,142.409
1,66.2852
1.25,135.188
1.5,41.4155
1.75,9.195
2,9.53937
2.25,69.2124
2.5,2.17222
2.75,16.9934
3,15.5596
3.25,17.8704
3.5,4.08722
3.75,13.8067
4,12.4158
4.25,14.4024
4.5,5.01188
4.75,29.9056
5,43.0184
5.25,31.1065
5.5,24.8664
5.75,1.48573
6,29.722
6.25,53.2471
6.5,13.6685
6.75,23.1528
7,36.4241
7.25,19.8453
7.5,34.2134
7.75,136.905
8,4.81224
8.25,0
8.5,108.529
8.75,32.8479
9,28.5872
9.25,32.7219
9.5,58.2037
9.75,85.9252
10,35.8989
10.25,97.201
10.5,68.259
10.75,96.7543
11,43.5867
11.25,93.0889
11.5,54.1176
11.75,49.3171
12,9.10312
12.25,59.6548
12.5,37.7079
12.75,52.121
13,124.387
13.25,69.641
13.5,47.2016
13.75,29.949
14,53.3664
14.25,51.7705
14.5,133.929
14.75,85.5831
15,95.9346
15.25,155.418
15.5,172.212
15.75,83.0918
16,86.3959
16.25,96.6668
16.5,81.8065
16.75,126.048
17,50.8966
17.25,213.347
17.5,137.129
17.75,103.196
18,214.859
18.25,101.823
18.5,57.1633
18.75,121.89
19,74.9237
19.25,156.511
19.5,163.605
19.75,152.226
20,79.2695
20.25,73.5579
20.5,100.566
20.75,240.93
21,199.279
21.25,120.651
21.5,179.698
21.75,184.999
22,217.065
22.25,103.959
22.5,130.699
22.75,97.5054
23,191.226
23.25,134.051
23.5,139.987
23.75,176.321
24,188.614
24.25,190.109
24.5,126.479
24.75,296.33
25,122.87
25.25,300.428
25.5,138.068
25.75,156.481
26,226.212
26.25,178.293
26.5,138.344
26.75,158.78
27,175.06
27.25,212.351
27.5,261.047
27.75,191.18
28,136.665
28.25,219.786
28.5,345.74
28.75,76.5586
29,219.813
29.25,325.03
29.5,271.598
29.75,120.574
30,297.638
30.25,132.76
30.5,219.427
30.75,319.566
31,238.945
31.25,202.686
31.5,353.791
31.75,180.376
32,287.236
32.25,306.309
32.5,326.74
32.75,279.317
33,265.553
33.25,232.929
33.5,324.76
33.75,373.511
34,409.127
34.25,394.173
34.5,333.176
34.75,275.895
35,403.174
35.25,429.889
35.5,269.571
35.75,343.799
36,299.91
36.25,336.776
36.5,429.381
36.75,315.325
37,418.96
37.25,675.933
37.5,299.815
37.75,455.087
38,667.365
38.25,649.678
38.5,327.402
38.75,548.991
39,544.82
39.25,558.568
39.5,290.919
39.75,403.435
40,543.897
40.25,601.685
40.5,595.788
40.75,436.896
41,772.449
41.25,521.663
41.5,634.433
41.75,587.138
42,661.816
42.25,503.198
42.5,560.685
42.75,767.133
43,447.937
43.25,609.941
43.5,614.269
43.75,826.606
44,817.618
44.25,656.577
44.5,863.394
44.75,740.343
45,805.58
45.25,1023.74
45.5,922.437
45.75,778.732
46,1184.5
46.25,1020.86
46.5,881.685
46.75,790.927
47,908.879
47.25,849.33
47.5,1078.58
47.75,966.766
48,948.224
48.25,931.321
48.5,1281.5
48.75,1154.68
49,1111.74
49.25,1483.52
49.5,1183.62
49.75,1063
50,1105.15
50.25,1300.09
50.5,1429.24
50.75,1195.89
51,1272.45
51.25,1264.58
51.5,1513.16
51.75,1391.12
52,1464.03
52.25,1432.29
52.5,1642.32
52.75,1378.68
53,1692.45
53.25,1600.89
53.5,1612.7
53.75,1486.77
54,1748.11
54.25,1711.27
54.5,1685.9
54.75,1692.45
55,1843.3
55.25,1644.01
55.5,1909.01
55.75,1923.96
56,1730.34
56.25,1960.47
56.5,1666.15
56.75,2310.21
57,2889.73
57.25,2119.62
57.5,2239.01
57.75,1848.63
58,1821.3
58.25,2885.43
58.5,2802.36
58.75,2315.51
59,2334.32
59.25,2484.42
59.5,2595.96
59.75,2580.2
60,2523.17
60.25,2752.83
60.5,2674.1
60.75,2636.85
61,3079.63
61.25,3360.77
61.5,3244.41
61.75,3056.71
62,3056.44
62.25,2934.22
62.5,2602.85
62.75,3033.02
63,3172.83
63.25,3337.14
63.5,3499.13
63.75,3688.83
64,3490.06
64.25,3312.14
64.5,3968.14
64.75,3567.16
65,4070.34
65.25,3658.24
65.5,3946.99
65.75,4078.88
66,3964.1
66.25,3687.3
66.5,4231.66
66.75,4853.96
67,4236.26
67.25,4204.44
67.5,4865.07
67.75,4757.39
68,4556.78
68.25,4719.44
68.5,4705.31
68.75,4763.76
69,5201.59
69.25,4760.07
69.5,5051.65
69.75,4833.33
70,5982.41
70.25,5045.12
70.5,5226.81
70.75,5483.52
71,5203.81
71.25,5745.35
71.5,5830.4
71.75,5567.79
72,5970.31
72.25,5662.1
72.5,5773.72
72.75,6179.18
73,5865
73.25,6571.47
73.5,5946.93
73.75,7352.43
74,6450.58
74.25,7087.78
74.5,7108.71
74.75,7303.3
75,6697.05
75.25,7038.96
75.5,7985.12
75.75,7708.65
76,7368.1
76.25,7822.1
76.5,7418.04
76.75,7994.94
77,7539.97
77.25,8008.72
77.5,8217.89
77.75,8699.03
78,8817.67
78.25,8724.39
78.5,8446.03
78.75,8932.93
79,8487.3
79.25,9487.94
79.5,9244.36
79.75,9647.14
80,9819.16
80.25,9376.35
80.5,10042.7
80.75,10279.6
81,9792.41
81.25,10083.6
81.5,9734.56
81.75,9764.11
82,10229.3
82.25,9804.49
82.5,10464.7
82.75,10337.4
83,10626.3
83.25,10325.9
83.5,11270
83.75,12149.8
84,11338.6
84.25,12076.9
84.5,10644.9
84.75,11325.2
85,11254.4
85.25,12466.6
85.5,12106.8
85.75,12245.9
86,11234.8
86.25,11388.5
86.5,12458.4
86.75,12124.8
87,12036.5
87.25,12210
87.5,12138.7
87.75,11951.3
88,12677.8
88.25,13191.6
88.5,13608.4
88.75,12497.5
89,13541.6
89.25,13318.4
89.5,13536.5
89.75,13994
90,13849.7
90.25,13484.5
90.5,13729.6
90.75,13457.3
91,13194.2
91.25,14086.5
91.5,14079.4
91.75,13894.1
92,15332.6
92.25,14671
92.5,13926.3
92.75,13183.7
93,14142.9
93.25,14126.7
93.5,14897.5
93.75,14125.6
94,14016.5
94.25,14462.1
94.5,14210.5
94.75,14445.2
95,14148.5
95.25,14703.7
95.5,14398
95.75,15083.7
96,14677.3
96.25,14391
96.5,14225.5
96.75,15125.8
97,15286.9
97.25,14939.1
97.5,15254.1
97.75,14322.5
98,14238.1
98.25,14706.7
98.5,14730.5
98.75,14242.7
99,14409.5
99.25,13973.8
99.5,14158.2
99.75,14750.4
100,13896.1
100.25,14401.3
100.5,14100.8
100.75,13492
101,13827.6
101.25,14000.9
101.5,13642.8
101.75,13244.6
102,13591.8
102.25,13551.6
102.5,13628.3
102.75,13517.9
103,13490
103.25,13107.7
103.5,12682.6
103.75,13511.6
104,13337.9
104.25,12983.7
104.5,13207.8
104.75,12478.8
105,12440.1
105.25,12368.6
105.5,12197.3
