Time,mean_fraction_lambda_C
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,6.07721e-06
1.5,1
1.75,0
2,5.27627e-05
2.25,8.35322e-05
2.5,0.000352259
2.75,0.113935
3,0.285957
3.25,0.333725
3.5,0.000426681
3.75,0.000631202
4,0.50052
4.25,4.32459e-07
4.5,0.000865975
4.75,6.75061e-06
5,0.400182
5.25,0.400037
5.5,0.200358
5.75,0.128113
6,0.25019
6.25,0.111478
6.5,0.000178507
6.75,0.182619
7,0.334428
7.25,8.81216e-06
7.5,0.200129
7.75,0.111863
8,0.000503632
8.25,0.286494
8.5,0.400331
8.75,0.232308
9,0.0912827
9.25,0.000147133
9.5,0.222631
9.75,0.200293
10,0.000935151
10.25,0.000194619
10.5,0.142949
10.75,0.000342952
11,0.214395
11.25,0.000207728
11.5,0.333464
11.75,0.16681
12,0.00103017
12.25,0.300076
12.5,0.000490252
12.75,7.77295e-05
13,0.0668972
13.25,0.200229
13.5,0.000642821
13.75,0.235516
14,0.083498
14.25,0.000593636
14.5,0.052877
14.75,0.176658
15,0.0374196
15.25,0.00174584
15.5,0.0911446
15.75,0.200193
16,0.118
16.25,0.187697
16.5,0.0947105
16.75,0.100409
17,0.250755
17.25,0.296469
17.5,0.126404
17.75,0.0697636
18,0.043736
18.25,0.218096
18.5,0.209154
18.75,0.103261
19,0.160221
19.25,0.226296
19.5,0.30373
19.75,0.148399
20,0.112804
20.25,0.168351
20.5,0.195068
20.75,0.00287015
21,0.119929
21.25,0.0654549
21.5,0.143203
21.75,0.104712
22,0.185618
22.25,0.0610044
22.5,0.228801
22.75,0.278343
23,0.162448
23.25,0.105841
23.5,0.322672
23.75,0.0943567
24,0.214833
24.25,0.195373
24.5,0.264007
24.75,0.226761
25,0.0945925
25.25,0.201224
25.5,0.0624843
25.75,0.140491
26,0.148622
26.25,0.156151
26.5,0.0886513
26.75,0.0804529
27,0.0961912
27.25,0.248297
27.5,0.124403
27.75,0.217704
28,0.0710626
28.25,0.169425
28.5,0.193128
28.75,0.139887
29,0.21728
29.25,0.239325
29.5,0.230239
29.75,0.141513
30,0.23918
30.25,0.300472
30.5,0.102316
30.75,0.186928
31,0.219071
31.25,0.259382
31.5,0.334639
31.75,0.24466
32,0.146833
32.25,0.235592
32.5,0.230948
32.75,0.203975
33,0.13718
33.25,0.187113
33.5,0.220915
33.75,0.204705
34,0.161888
34.25,0.182236
34.5,0.255112
34.75,0.183286
35,0.204959
35.25,0.147023
35.5,0.192028
35.75,0.147515
36,0.101095
36.25,0.175221
36.5,0.204179
36.75,0.216225
37,0.162692
37.25,0.206133
37.5,0.155191
37.75,0.155162
38,0.273151
38.25,0.154848
38.5,0.198326
38.75,0.129511
39,0.0807546
39.25,0.111838
39.5,0.154317
39.75,0.180981
40,0.160127
40.25,0.155838
40.5,0.195971
40.75,0.0941456
41,0.118781
41.25,0.0952134
41.5,0.171935
41.75,0.131097
42,0.100918
42.25,0.141201
42.5,0.194488
42.75,0.112526
43,0.163544
43.25,0.197262
43.5,0.117792
43.75,0.184149
44,0.138072
44.25,0.173545
44.5,0.158212
44.75,0.128437
45,0.14322
45.25,0.155383
45.5,0.185427
45.75,0.193785
46,0.159601
46.25,0.16924
46.5,0.0954481
46.75,0.135681
47,0.171124
47.25,0.129621
47.5,0.160478
47.75,0.162653
48,0.146777
48.25,0.173175
48.5,0.118416
48.75,0.151508
49,0.122207
49.25,0.197377
49.5,0.133958
49.75,0.131448
50,0.173572
50.25,0.157897
50.5,0.171114
50.75,0.181826
51,0.144331
51.25,0.181407
51.5,0.128306
51.75,0.173885
52,0.182931
52.25,0.181471
52.5,0.146383
52.75,0.15788
53,0.166721
53.25,0.172869
53.5,0.152115
53.75,0.141434
54,0.168255
54.25,0.190925
54.5,0.18664
54.75,0.157791
55,0.181638
55.25,0.158558
55.5,0.131321
55.75,0.149306
56,0.137366
56.25,0.140833
56.5,0.190603
56.75,0.158607
57,0.166153
57.25,0.174164
57.5,0.150748
57.75,0.134771
58,0.146962
58.25,0.198077
58.5,0.131884
58.75,0.162063
59,0.14789
59.25,0.156554
59.5,0.143065
59.75,0.148818
60,0.144241
