Time,num_affected
0,96
0.25,96
0.5,96
0.75,96
1,96
1.25,97
1.5,98
1.75,98
2,102
2.25,106
2.5,115
2.75,124
3,131
3.25,134
3.5,137
3.75,143
4,145
4.25,146
4.5,150
4.75,151
5,156
5.25,161
5.5,171
5.75,179
6,183
6.25,192
6.5,197
6.75,208
7,211
7.25,212
7.5,217
7.75,226
8,229
8.25,236
8.5,241
8.75,254
9,265
9.25,272
9.5,281
9.75,286
10,292
10.25,299
10.5,306
10.75,310
11,324
11.25,334
11.5,343
11.75,355
12,366
12.25,376
12.5,390
12.75,402
13,417
13.25,427
13.5,439
13.75,456
14,468
14.25,481
14.5,500
14.75,517
15,544
15.25,562
15.5,573
15.75,593
16,610
16.25,626
16.5,648
16.75,668
17,684
17.25,711
17.5,735
17.75,750
18,773
18.25,796
18.5,820
18.75,840
19,865
19.25,892
19.5,925
19.75,952
20,979
20.25,1015
20.5,1046
20.75,1065
21,1107
21.25,1138
21.5,1159
21.75,1188
22,1215
22.25,1248
22.5,1269
22.75,1287
23,1318
23.25,1356
23.5,1384
23.75,1416
24,1444
24.25,1485
24.5,1504
24.75,1535
25,1567
25.25,1597
25.5,1632
25.75,1675
26,1703
26.25,1729
26.5,1761
26.75,1792
27,1826
27.25,1866
27.5,1908
27.75,1945
28,1989
28.25,2025
28.5,2067
28.75,2111
29,2144
29.25,2185
29.5,2233
29.75,2291
30,2342
30.25,2382
30.5,2422
30.75,2465
31,2513
31.25,2552
31.5,2588
31.75,2639
32,2681
32.25,2739
32.5,2788
32.75,2833
33,2887
33.25,2931
33.5,2986
33.75,3043
34,3089
34.25,3147
34.5,3203
34.75,3259
35,3309
35.25,3365
35.5,3421
35.75,3505
36,3570
36.25,3646
36.5,3722
36.75,3802
37,3865
37.25,3940
37.5,4002
37.75,4086
38,4154
38.25,4245
38.5,4331
38.75,4428
39,4523
39.25,4621
39.5,4704
39.75,4792
40,4870
40.25,4956
40.5,5038
40.75,5134
41,5232
41.25,5345
41.5,5443
41.75,5547
42,5662
42.25,5766
42.5,5867
42.75,5988
43,6098
43.25,6232
43.5,6334
43.75,6465
44,6568
44.25,6687
44.5,6833
44.75,6962
45,7096
45.25,7245
45.5,7382
45.75,7524
46,7676
46.25,7819
46.5,7960
46.75,8149
47,8318
47.25,8492
47.5,8684
47.75,8880
48,9059
48.25,9296
48.5,9499
48.75,9688
49,9871
49.25,10081
49.5,10277
49.75,10469
50,10689
50.25,10927
50.5,11127
50.75,11339
51,11556
51.25,11784
51.5,12016
51.75,12256
52,12499
52.25,12750
52.5,13013
52.75,13273
53,13547
53.25,13839
53.5,14122
53.75,14413
54,14714
54.25,14960
54.5,15285
54.75,15591
55,15911
55.25,16242
55.5,16557
55.75,16905
56,17298
56.25,17693
56.5,18021
56.75,18419
57,18807
57.25,19195
57.5,19626
57.75,20051
58,20445
58.25,20847
58.5,21245
58.75,21617
59,22066
59.25,22513
59.5,22931
59.75,23330
60,23759
60.25,24251
60.5,24706
60.75,25194
61,25682
61.25,26189
61.5,26743
61.75,27283
62,27814
62.25,28365
62.5,28920
62.75,29477
63,30044
63.25,30634
63.5,31221
63.75,31818
64,32449
64.25,33020
64.5,33615
64.75,34290
65,34939
65.25,35667
65.5,36400
65.75,37113
66,37852
66.25,38662
66.5,39451
66.75,40215
67,41013
67.25,41817
67.5,42595
67.75,43418
68,44247
68.25,45096
68.5,46025
68.75,46905
69,47795
69.25,48691
69.5,49638
69.75,50536
70,51512
70.25,52500
70.5,53489
70.75,54548
71,55644
71.25,56706
71.5,57798
71.75,58958
72,60070
72.25,61173
72.5,62337
72.75,63521
73,64738
73.25,65914
73.5,67068
73.75,68284
74,69593
74.25,70928
74.5,72233
74.75,73537
75,74940
75.25,76417
75.5,77825
75.75,79214
76,80681
76.25,82132
76.5,83633
76.75,85119
77,86706
77.25,88286
77.5,89840
77.75,91342
78,92899
78.25,94548
78.5,96247
78.75,97990
79,99703
79.25,101539
79.5,103336
79.75,105121
80,106915
80.25,108771
80.5,110678
80.75,112647
81,114566
81.25,116543
81.5,118558
81.75,120595
82,122615
82.25,124618
82.5,126811
82.75,128884
83,130999
83.25,133168
83.5,135336
83.75,137437
84,139599
84.25,141847
84.5,144121
84.75,146451
85,148678
85.25,151053
85.5,153472
85.75,155851
86,158377
86.25,160850
86.5,163398
86.75,165989
87,168623
87.25,171231
87.5,173834
87.75,176478
88,179210
88.25,181911
88.5,184544
