Time,num_cases
0,0
0.25,0
0.5,3
0.75,5
1,11
1.25,14
1.5,21
1.75,23
2,26
2.25,29
2.5,34
2.75,35
3,38
3.25,41
3.5,43
3.75,43
4,44
4.25,44
4.5,45
4.75,46
5,50
5.25,53
5.5,56
5.75,56
6,58
6.25,59
6.5,62
6.75,62
7,63
7.25,65
7.5,68
7.75,71
8,80
8.25,82
8.5,85
8.75,87
9,89
9.25,90
9.5,95
9.75,98
10,102
10.25,103
10.5,109
10.75,114
11,119
11.25,125
11.5,132
11.75,134
12,140
12.25,142
12.5,147
12.75,151
13,153
13.25,159
13.5,162
13.75,165
14,170
14.25,171
14.5,175
14.75,177
15,185
15.25,192
15.5,196
15.75,205
16,213
16.25,224
16.5,228
16.75,234
17,241
17.25,244
17.5,258
17.75,262
18,269
18.25,286
18.5,299
18.75,307
19,315
19.25,322
19.5,331
19.75,346
20,357
20.25,364
20.5,376
20.75,386
21,396
21.25,412
21.5,421
21.75,432
22,450
22.25,464
22.5,479
22.75,497
23,507
23.25,521
23.5,536
23.75,556
24,578
24.25,595
24.5,612
24.75,621
25,641
25.25,658
25.5,679
25.75,697
26,713
26.25,736
26.5,749
26.75,770
27,791
27.25,816
27.5,838
27.75,861
28,881
28.25,900
28.5,918
28.75,940
29,955
29.25,976
29.5,1005
29.75,1031
30,1047
30.25,1072
30.5,1089
30.75,1108
31,1128
31.25,1159
31.5,1183
31.75,1213
32,1238
32.25,1258
32.5,1282
32.75,1309
33,1334
33.25,1367
33.5,1395
33.75,1411
34,1438
34.25,1473
34.5,1493
34.75,1529
35,1561
35.25,1590
35.5,1629
35.75,1662
36,1689
36.25,1722
36.5,1759
36.75,1790
37,1811
37.25,1844
37.5,1886
37.75,1918
38,1953
38.25,2010
38.5,2059
38.75,2103
39,2135
39.25,2181
39.5,2216
39.75,2262
40,2306
40.25,2340
40.5,2389
40.75,2430
41,2469
41.25,2529
41.5,2585
41.75,2635
42,2688
42.25,2746
42.5,2786
42.75,2840
43,2893
43.25,2945
43.5,2990
43.75,3039
44,3100
44.25,3158
44.5,3214
44.75,3283
45,3347
45.25,3406
45.5,3476
45.75,3540
46,3603
46.25,3676
46.5,3760
46.75,3851
47,3926
47.25,4021
47.5,4082
47.75,4169
48,4242
48.25,4321
48.5,4398
48.75,4479
49,4561
49.25,4639
49.5,4740
49.75,4838
50,4939
50.25,5041
50.5,5144
50.75,5239
51,5356
51.25,5451
51.5,5562
51.75,5683
52,5770
52.25,5897
52.5,6015
52.75,6132
53,6251
53.25,6379
53.5,6507
53.75,6651
54,6792
54.25,6932
54.5,7065
54.75,7219
55,7343
55.25,7493
55.5,7655
55.75,7807
56,7966
56.25,8110
56.5,8272
56.75,8413
57,8594
57.25,8794
57.5,8952
57.75,9142
58,9317
58.25,9483
58.5,9671
58.75,9885
59,10076
59.25,10295
59.5,10510
59.75,10723
60,10962
60.25,11213
60.5,11452
60.75,11687
61,11894
61.25,12133
61.5,12406
61.75,12646
62,12881
62.25,13146
62.5,13383
62.75,13632
63,13878
63.25,14151
63.5,14427
63.75,14722
64,15004
64.25,15286
64.5,15599
64.75,15912
65,16216
65.25,16518
65.5,16845
65.75,17186
66,17513
66.25,17868
66.5,18214
66.75,18576
67,18944
67.25,19327
67.5,19719
67.75,20126
68,20519
68.25,20892
68.5,21283
68.75,21724
69,22139
69.25,22591
69.5,23037
69.75,23503
70,23933
70.25,24416
70.5,24893
70.75,25376
71,25902
71.25,26434
71.5,26944
71.75,27452
72,27957
72.25,28517
72.5,29012
72.75,29563
73,30117
73.25,30705
73.5,31298
73.75,31869
74,32499
74.25,33127
74.5,33795
74.75,34426
75,35081
75.25,35718
75.5,36384
75.75,37123
76,37834
76.25,38541
76.5,39273
76.75,39989
77,40753
77.25,41521
77.5,42293
77.75,43059
78,43844
78.25,44696
78.5,45483
78.75,46318
79,47195
79.25,48079
79.5,48893
79.75,49807
80,50738
80.25,51683
80.5,52662
80.75,53639
81,54634
81.25,55621
81.5,56637
81.75,57727
82,58736
82.25,59717
82.5,60732
82.75,61878
83,62929
83.25,64019
83.5,65147
83.75,66280
84,67453
84.25,68591
84.5,69876
84.75,71088
