Time,num_cumulative_hospitalizations
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,1
9,1
9.25,1
9.5,1
9.75,1
10,1
10.25,1
10.5,1
10.75,1
11,2
11.25,2
11.5,2
11.75,2
12,2
12.25,2
12.5,2
12.75,2
13,2
13.25,2
13.5,2
13.75,2
14,2
14.25,2
14.5,2
14.75,2
15,2
15.25,2
15.5,3
15.75,3
16,4
16.25,4
16.5,4
16.75,5
17,6
17.25,6
17.5,7
17.75,7
18,8
18.25,8
18.5,9
18.75,9
19,9
19.25,9
19.5,9
19.75,9
20,9
20.25,10
20.5,10
20.75,10
21,10
21.25,10
21.5,10
21.75,10
22,10
22.25,10
22.5,10
22.75,11
23,12
23.25,14
23.5,15
23.75,15
24,15
24.25,15
24.5,17
24.75,17
25,17
25.25,17
25.5,18
25.75,18
26,18
26.25,19
26.5,19
26.75,19
27,19
27.25,20
27.5,20
27.75,22
28,23
28.25,24
28.5,24
28.75,24
29,24
29.25,25
29.5,26
29.75,28
30,28
30.25,28
30.5,28
30.75,28
31,30
31.25,31
31.5,32
31.75,32
32,34
32.25,34
32.5,35
32.75,36
33,37
33.25,39
33.5,40
33.75,41
34,41
34.25,41
34.5,42
34.75,42
35,42
35.25,44
35.5,44
35.75,45
36,46
36.25,46
36.5,46
36.75,47
37,48
37.25,51
37.5,52
37.75,53
38,54
38.25,54
38.5,56
38.75,57
39,57
39.25,59
39.5,61
39.75,64
40,68
40.25,69
40.5,69
40.75,70
41,72
41.25,73
41.5,73
41.75,73
42,74
42.25,76
42.5,77
42.75,80
43,83
43.25,87
43.5,91
43.75,92
44,94
44.25,98
44.5,101
44.75,103
45,106
45.25,107
45.5,107
45.75,108
46,112
46.25,116
46.5,120
46.75,123
47,124
47.25,125
47.5,125
47.75,129
48,131
48.25,132
48.5,133
48.75,135
49,137
49.25,138
49.5,143
49.75,148
50,150
50.25,151
50.5,152
50.75,155
51,159
51.25,161
51.5,165
51.75,167
52,168
52.25,169
52.5,172
52.75,179
53,182
53.25,185
53.5,191
53.75,195
54,204
54.25,204
54.5,208
54.75,214
55,221
55.25,227
55.5,230
55.75,237
56,247
56.25,251
56.5,260
56.75,269
57,275
57.25,286
57.5,291
57.75,297
58,305
58.25,313
58.5,323
58.75,331
59,341
59.25,346
59.5,354
59.75,362
60,372
60.25,382
60.5,388
60.75,397
61,407
61.25,416
61.5,423
61.75,428
62,435
62.25,447
62.5,453
62.75,463
63,476
63.25,488
63.5,497
63.75,501
64,509
64.25,517
64.5,527
64.75,530
65,541
65.25,552
65.5,561
65.75,578
66,588
66.25,599
66.5,616
66.75,627
67,639
67.25,653
67.5,659
67.75,677
68,689
68.25,694
68.5,713
68.75,727
69,740
69.25,761
69.5,773
69.75,791
70,799
70.25,819
70.5,841
70.75,859
71,880
71.25,895
71.5,918
71.75,932
72,949
72.25,964
72.5,987
72.75,1005
73,1028
73.25,1050
73.5,1068
73.75,1086
74,1106
74.25,1130
74.5,1153
74.75,1171
75,1197
75.25,1221
75.5,1243
75.75,1267
76,1297
76.25,1328
76.5,1360
76.75,1390
77,1412
77.25,1435
77.5,1464
77.75,1501
78,1539
78.25,1571
78.5,1597
78.75,1628
79,1654
79.25,1689
79.5,1712
79.75,1736
80,1773
80.25,1803
80.5,1838
80.75,1868
81,1912
81.25,1944
81.5,1983
81.75,2018
82,2066
82.25,2100
82.5,2141
82.75,2174
83,2213
83.25,2257
83.5,2297
83.75,2345
84,2384
84.25,2422
84.5,2455
84.75,2500
85,2540
85.25,2577
85.5,2628
85.75,2675
86,2718
86.25,2757
86.5,2808
86.75,2859
87,2905
87.25,2953
87.5,2996
87.75,3047
88,3109
88.25,3164
88.5,3217
88.75,3281
89,3346
89.25,3408
89.5,3466
89.75,3526
90,3591
90.25,3649
90.5,3696
90.75,3757
91,3825
