Time,num_cumulative_infective
0,0
0.25,8
0.5,18
0.75,27
1,35
1.25,42
1.5,47
1.75,49
2,53
2.25,59
2.5,60
2.75,63
3,67
3.25,73
3.5,77
3.75,78
4,80
4.25,83
4.5,84
4.75,88
5,95
5.25,98
5.5,101
5.75,103
6,106
6.25,109
6.5,110
6.75,114
7,121
7.25,127
7.5,132
7.75,141
8,145
8.25,145
8.5,148
8.75,152
9,158
9.25,164
9.5,173
9.75,181
10,184
10.25,194
10.5,199
10.75,204
11,209
11.25,215
11.5,223
11.75,227
12,228
12.25,232
12.5,239
12.75,244
13,252
13.25,256
13.5,263
13.75,270
14,274
14.25,281
14.5,289
14.75,299
15,313
15.25,327
15.5,339
15.75,349
16,361
16.25,370
16.5,378
16.75,391
17,400
17.25,423
17.5,433
17.75,444
18,465
18.25,483
18.5,494
18.75,507
19,517
19.25,538
19.5,554
19.75,572
20,588
20.25,600
20.5,622
20.75,643
21,660
21.25,679
21.5,694
21.75,719
22,740
22.25,760
22.5,779
22.75,799
23,827
23.25,846
23.5,875
23.75,910
24,934
24.25,958
24.5,984
24.75,1017
25,1040
25.25,1073
25.5,1098
25.75,1124
26,1156
26.25,1182
26.5,1205
26.75,1238
27,1270
27.25,1306
27.5,1337
27.75,1367
28,1397
28.25,1434
28.5,1464
28.75,1487
29,1518
29.25,1551
29.5,1585
29.75,1613
30,1643
30.25,1669
30.5,1701
30.75,1743
31,1782
31.25,1819
31.5,1859
31.75,1888
32,1925
32.25,1960
32.5,1999
32.75,2045
33,2082
33.25,2115
33.5,2157
33.75,2202
34,2249
34.25,2288
34.5,2327
34.75,2373
35,2414
35.25,2469
35.5,2507
35.75,2559
36,2615
36.25,2659
36.5,2703
36.75,2746
37,2787
37.25,2851
37.5,2898
37.75,2951
38,3030
38.25,3113
38.5,3167
38.75,3225
39,3287
39.25,3340
39.5,3393
39.75,3457
40,3514
40.25,3582
40.5,3661
40.75,3731
41,3812
41.25,3898
41.5,3962
41.75,4034
42,4105
42.25,4173
42.5,4256
42.75,4343
43,4420
43.25,4492
43.5,4567
43.75,4662
44,4744
44.25,4833
44.5,4934
44.75,5030
45,5138
45.25,5255
45.5,5363
45.75,5459
46,5577
46.25,5684
46.5,5797
46.75,5897
47,6013
47.25,6125
47.5,6245
47.75,6364
48,6482
48.25,6606
48.5,6741
48.75,6868
49,7005
49.25,7153
49.5,7304
49.75,7431
50,7583
50.25,7725
50.5,7888
50.75,8029
51,8201
51.25,8361
51.5,8522
51.75,8678
52,8848
52.25,9027
52.5,9200
52.75,9399
53,9606
53.25,9813
53.5,10012
53.75,10209
54,10414
54.25,10625
54.5,10835
54.75,11032
55,11278
55.25,11504
55.5,11741
55.75,12006
56,12224
56.25,12478
56.5,12716
56.75,12987
57,13290
57.25,13546
57.5,13826
57.75,14089
58,14352
58.25,14670
58.5,15017
58.75,15323
59,15628
59.25,15970
59.5,16302
59.75,16642
60,16978
60.25,17325
60.5,17673
60.75,18026
61,18395
61.25,18789
61.5,19171
61.75,19538
62,19931
62.25,20322
62.5,20692
62.75,21079
63,21491
63.25,21908
63.5,22349
63.75,22791
64,23209
64.25,23655
64.5,24129
64.75,24603
65,25090
65.25,25546
65.5,26074
65.75,26582
66,27109
66.25,27621
66.5,28181
66.75,28784
67,29338
67.25,29896
67.5,30503
67.75,31115
68,31744
68.25,32365
68.5,33022
68.75,33708
69,34397
69.25,35053
69.5,35756
69.75,36403
70,37163
70.25,37928
70.5,38673
70.75,39394
71,40169
71.25,40908
71.5,41693
71.75,42495
72,43331
72.25,44096
72.5,44928
72.75,45816
73,46701
73.25,47622
73.5,48506
73.75,49509
74,50453
74.25,51446
74.5,52467
74.75,53467
75,54408
75.25,55400
75.5,56492
75.75,57650
76,58726
76.25,59831
76.5,60920
76.75,62080
77,63242
77.25,64418
77.5,65617
77.75,66850
78,68132
78.25,69399
78.5,70673
78.75,72014
79,73307
79.25,74682
79.5,76055
79.75,77442
80,78845
80.25,80287
80.5,81737
80.75,83170
81,84659
81.25,86228
81.5,87749
81.75,89260
82,90872
82.25,92424
82.5,94048
82.75,95698
83,97415
83.25,99116
83.5,100910
83.75,102665
84,104454
84.25,106315
84.5,108062
84.75,109847
85,111693
85.25,113637
85.5,115590
85.75,117588
86,119557
86.25,121487
86.5,123493
86.75,125489
87,127521
87.25,129613
87.5,131638
87.75,133783
88,135968
88.25,138267
88.5,140583
88.75,142788
89,145124
89.25,147428
89.5,149769
89.75,152156
90,154545
90.25,156903
90.5,159359
90.75,161844
91,164326
91.25,166830
91.5,169370
91.75,171914
92,174635
92.25,177276
92.5,179952
92.75,182564
93,185297
93.25,187994
93.5,190792
93.75,193512
94,196299
94.25,199106
94.5,201919
94.75,204765
95,207640
95.25,210589
95.5,213573
95.75,216652
96,219636
96.25,222652
96.5,225684
96.75,228761
97,231869
97.25,234975
97.5,238176
97.75,241299
98,244474
98.25,247666
98.5,250944
98.75,254121
99,257393
99.25,260648
