Time,num_fatalities
0,0
0.25,0
0.5,0
0.75,0
1,0
1.25,0
1.5,0
1.75,0
2,0
2.25,0
2.5,0
2.75,0
3,0
3.25,0
3.5,0
3.75,0
4,0
4.25,0
4.5,0
4.75,0
5,0
5.25,0
5.5,0
5.75,0
6,0
6.25,0
6.5,0
6.75,0
7,0
7.25,0
7.5,0
7.75,0
8,0
8.25,0
8.5,0
8.75,0
9,0
9.25,0
9.5,0
9.75,0
10,0
10.25,0
10.5,0
10.75,0
11,0
11.25,0
11.5,0
11.75,0
12,0
12.25,0
12.5,0
12.75,0
13,0
13.25,0
13.5,0
13.75,0
14,0
14.25,0
14.5,0
14.75,0
15,0
15.25,0
15.5,0
15.75,0
16,0
16.25,0
16.5,0
16.75,0
17,0
17.25,0
17.5,0
17.75,0
18,0
18.25,0
18.5,0
18.75,0
19,0
19.25,0
19.5,0
19.75,0
20,0
20.25,0
20.5,0
20.75,0
21,0
21.25,0
21.5,0
21.75,0
22,0
22.25,0
22.5,0
22.75,0
23,0
23.25,0
23.5,0
23.75,0
24,0
24.25,0
24.5,0
24.75,0
25,0
25.25,0
25.5,0
25.75,0
26,0
26.25,0
26.5,0
26.75,0
27,0
27.25,0
27.5,0
27.75,0
28,0
28.25,0
28.5,0
28.75,0
29,0
29.25,0
29.5,0
29.75,0
30,0
30.25,0
30.5,0
30.75,0
31,0
31.25,0
31.5,0
31.75,0
32,0
32.25,0
32.5,0
32.75,0
33,0
33.25,0
33.5,0
33.75,0
34,0
34.25,0
34.5,1
34.75,1
35,1
35.25,1
35.5,1
35.75,1
36,1
36.25,1
36.5,1
36.75,1
37,1
37.25,1
37.5,1
37.75,1
38,1
38.25,1
38.5,1
38.75,1
39,2
39.25,3
39.5,4
39.75,4
40,4
40.25,4
40.5,4
40.75,4
41,4
41.25,4
41.5,4
41.75,4
42,4
42.25,4
42.5,4
42.75,4
43,4
43.25,4
43.5,4
43.75,4
44,4
44.25,4
44.5,4
44.75,4
45,4
45.25,4
45.5,4
45.75,4
46,4
46.25,4
46.5,4
46.75,4
47,5
47.25,5
47.5,5
47.75,5
48,5
48.25,5
48.5,5
48.75,5
49,5
49.25,6
49.5,7
49.75,7
50,7
50.25,7
50.5,7
50.75,7
51,7
51.25,7
51.5,7
51.75,7
52,7
52.25,7
52.5,8
52.75,8
53,8
53.25,8
53.5,8
53.75,8
54,8
54.25,8
54.5,8
54.75,8
55,8
55.25,9
55.5,9
55.75,9
56,11
56.25,12
56.5,12
56.75,12
57,13
57.25,13
57.5,13
57.75,13
58,13
58.25,13
58.5,13
58.75,13
59,14
59.25,14
59.5,14
59.75,15
60,15
60.25,15
60.5,15
60.75,15
61,15
61.25,15
61.5,15
61.75,15
62,15
62.25,16
62.5,16
62.75,16
63,16
63.25,16
63.5,16
63.75,17
64,17
64.25,17
64.5,17
64.75,17
65,18
65.25,18
65.5,18
65.75,19
66,20
66.25,20
66.5,20
66.75,20
67,20
67.25,20
67.5,20
67.75,20
68,20
68.25,20
68.5,20
68.75,21
69,22
69.25,22
69.5,23
69.75,23
70,24
70.25,24
70.5,24
70.75,25
71,25
71.25,26
71.5,28
71.75,28
72,30
72.25,30
72.5,31
72.75,32
73,34
73.25,35
73.5,36
73.75,36
74,37
74.25,37
74.5,37
74.75,37
75,38
75.25,38
75.5,39
75.75,39
76,39
76.25,39
76.5,40
76.75,41
77,41
77.25,41
77.5,41
77.75,41
78,41
78.25,41
78.5,41
78.75,42
79,43
79.25,44
79.5,46
79.75,46
80,46
80.25,46
80.5,47
80.75,47
81,51
81.25,51
81.5,51
81.75,53
82,53
82.25,54
82.5,58
82.75,61
83,63
83.25,66
83.5,66
83.75,68
84,68
84.25,68
84.5,69
84.75,71
85,74
85.25,76
85.5,78
85.75,79
86,79
86.25,81
86.5,85
86.75,87
87,89
87.25,91
87.5,92
87.75,95
88,100
88.25,105
88.5,105
88.75,108
89,108
89.25,114
89.5,118
89.75,118
90,119
90.25,122
90.5,126
90.75,127
91,128
91.25,129
91.5,129
91.75,132
92,134
92.25,139
92.5,141
92.75,144
93,147
93.25,149
93.5,152
93.75,154
94,156
94.25,162
94.5,165
94.75,169
