Time,num_recovered
0,0
0.25,0
0.5,2
0.75,4
1,7
1.25,10
1.5,14
1.75,18
2,19
2.25,25
2.5,27
2.75,30
3,30
3.25,35
3.5,38
3.75,42
4,46
4.25,48
4.5,53
4.75,54
5,57
5.25,61
5.5,64
5.75,67
6,68
6.25,69
6.5,69
6.75,71
7,76
7.25,80
7.5,85
7.75,89
8,92
8.25,97
8.5,99
8.75,101
9,106
9.25,111
9.5,114
9.75,119
10,128
10.25,129
10.5,132
10.75,134
11,135
11.25,140
11.5,143
11.75,148
12,151
12.25,156
12.5,163
12.75,167
13,170
13.25,174
13.5,179
13.75,187
14,194
14.25,204
14.5,208
14.75,209
15,220
15.25,230
15.5,239
15.75,246
16,252
16.25,257
16.5,265
16.75,273
17,279
17.25,291
17.5,302
17.75,308
18,315
18.25,322
18.5,335
18.75,350
19,360
19.25,371
19.5,376
19.75,390
20,403
20.25,417
20.5,427
20.75,444
21,454
21.25,463
21.5,481
21.75,496
22,508
22.25,518
22.5,536
22.75,545
23,560
23.25,580
23.5,596
23.75,619
24,646
24.25,663
24.5,680
24.75,700
25,718
25.25,737
25.5,765
25.75,787
26,815
26.25,835
26.5,852
26.75,872
27,898
27.25,920
27.5,945
27.75,960
28,980
28.25,1004
28.5,1025
28.75,1067
29,1084
29.25,1106
29.5,1138
29.75,1166
30,1202
30.25,1224
30.5,1254
30.75,1278
31,1305
31.25,1347
31.5,1382
31.75,1409
32,1434
32.25,1471
32.5,1505
32.75,1541
33,1585
33.25,1617
33.5,1645
33.75,1686
34,1721
34.25,1768
34.5,1796
34.75,1826
35,1865
35.25,1901
35.5,1930
35.75,1967
36,2006
36.25,2054
36.5,2089
36.75,2130
37,2175
37.25,2206
37.5,2247
37.75,2289
38,2337
38.25,2385
38.5,2438
38.75,2483
39,2530
39.25,2587
39.5,2623
39.75,2673
40,2719
40.25,2762
40.5,2807
40.75,2855
41,2913
41.25,2968
41.5,3033
41.75,3096
42,3143
42.25,3208
42.5,3273
42.75,3361
43,3424
43.25,3505
43.5,3573
43.75,3631
44,3696
44.25,3754
44.5,3830
44.75,3901
45,3967
45.25,4041
45.5,4136
45.75,4229
46,4306
46.25,4385
46.5,4475
46.75,4553
47,4643
47.25,4713
47.5,4810
47.75,4900
48,5002
48.25,5092
48.5,5184
48.75,5300
49,5394
49.25,5496
49.5,5611
49.75,5726
50,5837
50.25,5946
50.5,6062
50.75,6172
51,6283
51.25,6414
51.5,6525
51.75,6663
52,6785
52.25,6911
52.5,7059
52.75,7192
53,7331
53.25,7470
53.5,7643
53.75,7801
54,7953
54.25,8119
54.5,8276
54.75,8457
55,8612
55.25,8786
55.5,8936
55.75,9124
56,9321
56.25,9500
56.5,9698
56.75,9903
57,10108
57.25,10343
57.5,10551
57.75,10784
58,10998
58.25,11211
58.5,11448
58.75,11689
59,11935
59.25,12192
59.5,12438
59.75,12671
60,12930
60.25,13174
60.5,13453
60.75,13736
61,14031
61.25,14309
61.5,14587
61.75,14857
62,15174
62.25,15512
62.5,15800
62.75,16089
63,16415
63.25,16763
63.5,17066
63.75,17395
64,17760
64.25,18102
64.5,18439
64.75,18805
65,19175
65.25,19562
65.5,19953
65.75,20327
66,20710
66.25,21132
66.5,21543
66.75,21961
67,22400
67.25,22829
67.5,23295
67.75,23754
68,24197
68.25,24651
68.5,25148
68.75,25622
69,26160
69.25,26674
69.5,27231
69.75,27784
70,28319
70.25,28843
70.5,29415
70.75,30036
71,30639
71.25,31268
71.5,31879
71.75,32496
72,33149
72.25,33817
72.5,34468
72.75,35172
73,35854
73.25,36573
73.5,37286
73.75,38030
74,38740
74.25,39514
74.5,40305
74.75,41154
75,41994
75.25,42781
75.5,43618
75.75,44455
76,45354
76.25,46231
76.5,47140
76.75,48024
77,48935
77.25,49875
77.5,50798
77.75,51733
78,52748
78.25,53683
78.5,54727
78.75,55708
79,56764
79.25,57884
79.5,59008
79.75,60128
80,61161
80.25,62276
80.5,63424
80.75,64577
81,65777
81.25,66984
81.5,68191
81.75,69420
82,70679
82.25,71968
82.5,73225
82.75,74593
83,75936
83.25,77378
83.5,78739
83.75,80229
84,81647
84.25,83096
84.5,84595
