Time,num_symptomatic
0,0
0.25,0
0.5,3
0.75,5
1,10
1.25,12
1.5,18
1.75,18
2,21
2.25,22
2.5,27
2.75,27
3,30
3.25,30
3.5,30
3.75,29
4,28
4.25,28
4.5,26
4.75,27
5,30
5.25,29
5.5,32
5.75,31
6,33
6.25,33
6.5,36
6.75,35
7,34
7.25,34
7.5,33
7.75,34
8,41
8.25,42
8.5,44
8.75,43
9,40
9.25,40
9.5,42
9.75,43
10,42
10.25,42
10.5,48
10.75,53
11,57
11.25,59
11.5,64
11.75,61
12,67
12.25,66
12.5,64
12.75,65
13,66
13.25,70
13.5,70
13.75,69
14,70
14.25,64
14.5,65
14.75,66
15,67
15.25,68
15.5,69
15.75,74
16,78
16.25,88
16.5,89
16.75,91
17,96
17.25,93
17.5,101
17.75,101
18,103
18.25,117
18.5,126
18.75,124
19,127
19.25,127
19.5,133
19.75,142
20,146
20.25,145
20.5,151
20.75,153
21,160
21.25,169
21.5,165
21.75,167
22,176
22.25,184
22.5,192
22.75,205
23,207
23.25,207
23.5,213
23.75,221
24,226
24.25,236
24.5,241
24.75,238
25,248
25.25,255
25.5,259
25.75,264
26,268
26.25,281
26.5,283
26.75,292
27,296
27.25,307
27.5,313
27.75,323
28,328
28.25,332
28.5,340
28.75,333
29,338
29.25,344
29.5,351
29.75,357
30,353
30.25,364
30.5,360
30.75,360
31,362
31.25,365
31.5,367
31.75,381
32,382
32.25,376
32.5,383
32.75,380
33,380
33.25,393
33.5,402
33.75,388
34,397
34.25,406
34.5,406
34.75,422
35,432
35.25,435
35.5,457
35.75,465
36,468
36.25,481
36.5,491
36.75,492
37,484
37.25,491
37.5,513
37.75,521
38,527
38.25,550
38.5,567
38.75,583
39,584
39.25,599
39.5,610
39.75,620
40,633
40.25,641
40.5,666
40.75,679
41,684
41.25,710
41.5,730
41.75,736
42,756
42.25,770
42.5,777
42.75,769
43,779
43.25,783
43.5,778
43.75,796
44,823
44.25,839
44.5,839
44.75,866
45,888
45.25,908
45.5,923
45.75,928
46,944
46.25,968
46.5,993
46.75,1036
47,1056
47.25,1108
47.5,1114
47.75,1140
48,1154
48.25,1179
48.5,1205
48.75,1218
49,1250
49.25,1268
49.5,1292
49.75,1325
50,1348
50.25,1379
50.5,1417
50.75,1444
51,1491
51.25,1511
51.5,1557
51.75,1584
52,1596
52.25,1653
52.5,1684
52.75,1712
53,1753
53.25,1808
53.5,1825
53.75,1870
54,1911
54.25,1945
54.5,1980
54.75,2016
55,2037
55.25,2083
55.5,2152
55.75,2185
56,2223
56.25,2263
56.5,2300
56.75,2328
57,2387
57.25,2449
57.5,2483
57.75,2516
58,2564
58.25,2598
58.5,2651
58.75,2723
59,2782
59.25,2862
59.5,2936
59.75,3009
60,3101
60.25,3191
60.5,3265
60.75,3322
61,3346
61.25,3414
61.5,3528
61.75,3611
62,3661
62.25,3710
62.5,3776
62.75,3853
63,3897
63.25,3971
63.5,4051
63.75,4154
64,4224
64.25,4282
64.5,4394
64.75,4499
65,4572
65.25,4644
65.5,4737
65.75,4838
66,4931
66.25,5026
66.5,5121
66.75,5250
67,5355
67.25,5483
67.5,5596
67.75,5705
68,5830
68.25,5962
68.5,6059
68.75,6222
69,6331
69.25,6475
69.5,6585
69.75,6732
70,6824
70.25,6988
70.5,7140
70.75,7235
71,7389
71.25,7541
71.5,7665
71.75,7802
72,7892
72.25,8057
72.5,8141
72.75,8262
73,8377
73.25,8534
73.5,8691
73.75,8806
74,9024
74.25,9179
74.5,9365
74.75,9468
75,9619
75.25,9766
75.5,9912
75.75,10133
76,10289
76.25,10456
76.5,10661
76.75,10849
77,11058
77.25,11257
77.5,11483
77.75,11690
78,11848
78.25,12124
78.5,12277
78.75,12529
79,12766
79.25,12975
79.5,13096
79.75,13309
80,13587
80.25,13856
80.5,14119
80.75,14401
81,14637
81.25,14865
81.5,15129
81.75,15441
82,15669
82.25,15878
82.5,16102
82.75,16415
83,16621
83.25,16818
83.5,17113
83.75,17332
84,17617
84.25,17844
84.5,18209
84.75,18499
85,18744
85.25,19032
85.5,19403
85.75,19681
86,20033
86.25,20280
86.5,20551
86.75,20794
87,20996
87.25,21272
