num_symptomatic,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities,num_cases,new_symptomatics,num_tested,num_positive,Day
0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,11,11,10,8,1
21,0,0,0,0,26,15,13,12,2
30,0,0,0,0,38,12,9,6,3
28,0,0,0,0,44,6,3,2,4
30,0,0,0,0,50,6,6,5,5
33,0,0,0,0,58,8,8,8,6
34,0,0,0,0,63,5,4,3,7
41,0,0,0,0,80,17,10,8,8
40,1,1,0,0,89,9,8,7,9
42,1,1,0,0,102,13,9,8,10
57,2,2,0,0,119,17,12,8,11
67,2,2,0,0,140,21,13,10,12
66,2,2,0,0,153,13,11,9,13
70,2,2,0,0,170,17,13,11,14
67,2,2,0,0,185,15,12,11,15
78,4,4,0,0,213,28,22,20,16
96,5,6,0,0,241,28,23,18,17
103,7,8,0,0,269,28,22,18,18
127,7,9,0,0,315,46,38,33,19
146,7,9,0,0,357,42,31,26,20
160,8,10,0,0,396,39,31,24,21
176,8,10,0,0,450,54,43,33,22
207,10,12,0,0,507,57,43,36,23
226,11,15,1,0,578,71,45,38,24
248,11,17,2,0,641,63,53,45,25
268,10,18,3,0,713,72,58,50,26
296,10,19,4,0,791,78,60,47,27
328,14,23,4,0,881,90,73,63,28
338,14,24,5,0,955,74,61,54,29
353,18,28,5,0,1047,92,69,61,30
362,18,30,6,0,1128,81,66,49,31
382,19,34,7,0,1238,110,86,67,32
380,20,37,6,0,1334,96,68,54,33
397,23,41,5,0,1438,104,79,66,34
432,22,42,4,1,1561,123,81,66,35
468,23,46,4,1,1689,128,95,78,36
484,24,48,3,1,1811,122,103,80,37
527,26,54,3,1,1953,142,122,100,38
584,27,57,3,2,2135,182,141,112,39
633,34,68,1,4,2306,171,138,110,40
684,35,72,3,4,2469,163,131,104,41
756,33,74,5,4,2688,219,170,136,42
779,40,83,5,4,2893,205,153,129,43
823,48,94,5,4,3100,207,161,132,44
888,58,106,7,4,3347,247,187,154,45
944,58,112,8,4,3603,256,190,145,46
1056,66,124,7,5,3926,323,256,210,47
1154,63,131,13,5,4242,316,225,184,48
1250,65,137,13,5,4561,319,235,190,49
1348,76,150,11,7,4939,378,296,243,50
1491,76,159,15,7,5356,417,310,249,51
1596,74,168,18,7,5770,414,332,260,52
1753,76,182,18,8,6251,481,355,299,53
1911,92,204,19,8,6792,541,422,343,54
2037,97,221,25,8,7343,551,429,346,55
2223,116,247,21,11,7966,623,471,383,56
2387,138,275,21,13,8594,628,493,381,57
2564,155,305,24,13,9317,723,556,462,58
2782,182,341,20,14,10076,759,594,467,59
3101,204,372,18,15,10962,886,704,540,60
3346,225,407,20,15,11894,932,699,555,61
3661,231,435,22,15,12881,987,745,593,62
3897,254,476,19,16,13878,997,771,614,63
4224,262,509,23,17,15004,1126,838,685,64
4572,265,541,30,18,16216,1212,906,724,65
4931,282,588,33,20,17513,1297,979,783,66
5355,298,639,40,20,18944,1431,1098,884,67
5830,317,689,45,20,20519,1575,1196,957,68
6331,333,740,44,22,22139,1620,1272,1021,69
6824,364,799,43,24,23933,1794,1382,1110,70
7389,404,880,45,25,25902,1969,1533,1225,71
7892,439,949,45,30,27957,2055,1577,1235,72
8377,485,1028,45,34,30117,2160,1647,1333,73
9024,518,1106,46,37,32499,2382,1781,1453,74
9619,555,1197,55,38,35081,2582,1976,1590,75
10289,608,1297,57,39,37834,2753,2065,1631,76
11058,671,1412,62,41,40753,2919,2243,1810,77
11848,738,1539,67,41,43844,3091,2383,1936,78
12766,774,1654,76,43,47195,3351,2612,2100,79
13587,823,1773,89,46,50738,3543,2742,2221,80
14637,883,1912,99,51,54634,3896,2972,2388,81
15669,959,2066,109,53,58736,4102,3174,2600,82
16621,1015,2213,108,63,62929,4193,3172,2554,83
17617,1086,2384,118,68,67453,4524,3432,2817,84
18744,1127,2540,139,74,72285,4832,3740,2972,85
20033,1178,2718,155,79,77435,5150,3926,3175,86
20996,1248,2905,165,89,82586,5151,3961,3196,87
22210,1336,3109,170,100,88138,5552,4282,3454,88
23518,1432,3346,180,108,94105,5967,4543,3655,89
24798,1525,3591,189,119,100282,6177,4694,3791,90
26259,1610,3825,204,128,106766,6484,4956,4013,91
27475,1721,4105,225,134,113460,6694,5158,4132,92
28743,1866,4406,230,147,120474,7014,5392,4370,93
30044,1963,4683,246,156,127703,7229,5498,4423,94
31423,2083,4991,251,170,135197,7494,5702,4572,95
32824,2178,5291,273,182,143073,7876,6004,4855,96
34172,2271,5621,296,195,151110,8037,6177,4990,97
35563,2350,5944,316,207,159557,8447,6442,5175,98
36752,2430,6260,338,219,168085,8528,6461,5187,99
38068,2495,6603,357,241,176883,8798,6790,5528,100
39047,2559,6967,371,252,185644,8761,6765,5430,101
39974,2687,7373,392,273,194512,8868,6739,5429,102
