Day,num_positive,num_hospitalised,num_cumulative_hospitalizations,num_critical,num_fatalities
1,6,1,1,0,0
2,5,1,1,0,0
3,10,2,2,0,0
4,11,2,2,0,0
5,9,2,2,0,0
6,9,2,2,0,0
7,7,2,2,0,0
8,18,4,4,0,0
9,16,5,6,0,0
10,16,7,8,0,0
11,31,7,9,0,0
12,24,7,9,0,0
13,27,8,10,0,0
14,30,8,10,0,0
15,40,10,12,0,0
16,39,11,15,1,0
17,35,11,17,2,0
18,45,10,18,3,0
19,46,10,19,4,0
20,58,14,23,4,0
21,51,14,24,5,0
22,56,18,28,5,0
23,51,18,30,6,0
24,59,19,34,7,0
25,54,20,37,6,0
26,78,23,41,5,0
27,76,22,42,4,1
28,76,23,46,4,1
29,77,24,48,3,1
30,84,26,54,3,1
31,102,27,57,3,2
32,118,34,68,1,4
33,95,35,72,3,4
34,139,33,74,5,4
35,117,40,83,5,4
36,125,48,94,5,4
37,163,58,106,7,4
38,161,58,112,8,4
39,188,66,124,7,5
40,192,63,131,13,5
41,199,65,137,13,5
42,227,76,150,11,7
43,272,76,159,15,7
44,239,74,168,18,7
45,302,76,182,18,8
46,319,92,204,19,8
47,344,97,221,25,8
48,388,116,247,21,11
49,388,138,275,21,13
50,444,155,305,24,13
51,479,182,341,20,14
52,542,204,372,18,15
53,575,225,407,20,15
54,596,231,435,22,15
55,591,254,476,19,16
56,710,262,509,23,17
57,733,265,541,30,18
58,827,282,588,33,20
59,870,298,639,40,20
60,959,317,689,45,20
61,991,333,740,44,22
62,1077,364,799,43,24
63,1210,404,880,45,25
64,1279,439,949,45,30
65,1303,485,1028,45,34
66,1473,518,1106,46,37
67,1550,555,1197,55,38
68,1699,608,1297,57,39
69,1799,671,1412,62,41
70,1884,738,1539,67,41
71,2035,774,1654,76,43
72,2147,823,1773,89,46
73,2431,883,1912,99,51
74,2506,959,2066,109,53
75,2611,1015,2213,108,63
76,2763,1086,2384,118,68
77,2948,1127,2540,139,74
78,3127,1178,2718,155,79
79,3195,1248,2905,165,89
80,3387,1336,3109,170,100
81,3740,1432,3346,180,108
82,3808,1525,3591,189,119
83,3991,1610,3825,204,128
84,4132,1721,4105,225,134
85,4357,1866,4406,230,147
86,4387,1963,4683,246,156
87,4576,2083,4991,251,170
88,4816,2178,5291,273,182
89,4939,2271,5621,296,195
90,5225,2350,5944,316,207
91,5180,2430,6260,338,219
92,5427,2495,6603,357,241
93,5378,2559,6967,371,252
94,5517,2687,7373,392,273
95,5462,2795,7787,413,286
96,5635,2898,8193,431,312
97,5605,2947,8574,453,335
98,5614,3035,8983,477,354
99,5438,3152,9412,483,380
100,5573,3246,9856,501,402
101,5391,3297,10269,526,424
102,5342,3334,10712,567,464
103,5309,3353,11145,615,483
104,5217,3413,11606,648,513
105,5032,3507,12086,658,548
106,5032,3547,12533,673,584
107,4854,3574,12990,725,616
108,4825,3560,13421,751,654
109,4601,3565,13835,761,693
110,4265,3550,14266,751,747
111,4230,3513,14661,745,806
112,4084,3469,15080,758,855
113,3869,3373,15464,782,899
114,3690,3320,15857,799,933
115,3626,3236,16226,777,981
116,3566,3148,16572,764,1043
117,3181,3086,16923,785,1083
118,3066,2996,17268,814,1131
119,2874,2911,17577,829,1171
120,2698,2804,17888,815,1220
121,2563,2719,18191,802,1273
122,2480,2567,18427,788,1328
123,2223,2471,18697,792,1372
124,2073,2382,18960,786,1414
125,1990,2290,19216,764,1467
126,1891,2162,19432,726,1524
127,1808,2074,19655,698,1569
128,1671,1968,19857,675,1617
129,1574,1875,20067,676,1664
130,1426,1839,20269,652,1702
131,1388,1758,20456,630,1755
132,1183,1631,20592,613,1793
133,1170,1528,20747,599,1834
134,1048,1472,20904,562,1879
135,1035,1383,21040,548,1919
136,869,1308,21166,522,1956
137,875,1206,21274,485,2006
138,837,1116,21388,476,2035
139,736,1046,21503,452,2067
140,711,1009,21601,425,2098
141,646,952,21699,399,2132
142,633,876,21782,398,2163
143,593,828,21869,372,2193
144,542,788,21958,362,2215
145,487,747,22021,326,2247
146,458,690,22079,305,2277
147,382,626,22130,298,2303
148,400,583,22186,278,2323
149,364,540,22240,258,2345
150,338,506,22289,237,2371
151,327,464,22333,216,2396
152,267,408,22366,202,2413
153,282,389,22410,194,2425
154,231,364,22443,177,2444
155,226,349,22479,151,2462
156,213,336,22524,143,2470
157,185,308,22549,141,2483
158,205,281,22570,125,2497
159,158,265,22598,114,2507
160,159,249,22616,99,2518
161,144,236,22646,96,2527
162,144,226,22669,89,2530
163,121,211,22691,87,2536
164,129,181,22705,87,2540
165,119,171,22720,73,2555
166,104,160,22730,72,2562
167,91,143,22741,70,2565
168,79,133,22749,65,2567
169,80,111,22758,57,2573
170,75,102,22772,59,2578
171,67,86,22777,53,2586
172,75,78,22783,44,2592
173,70,73,22793,43,2597
174,57,69,22799,40,2600
175,62,74,22816,39,2602
176,42,72,22821,37,2605
177,49,69,22827,35,2606
178,47,61,22833,26,2613
179,37,60,22838,21,2615
180,46,61,22844,21,2617
181,34,53,22846,19,2619
182,37,51,22850,20,2622
183,35,40,22856,23,2624
184,25,37,22858,24,2624
185,27,32,22859,22,2625
186,22,31,22864,21,2627
187,21,29,22867,24,2627
188,11,27,22871,22,2629
189,20,28,22874,20,2630
190,22,24,22874,16,2633
191,14,21,22877,12,2634
192,12,21,22879,10,2634
193,14,22,22881,10,2634
194,20,18,22882,8,2635
195,8,17,22884,6,2637
196,9,14,22885,8,2637
197,7,12,22886,7,2637
198,12,14,22889,6,2637
199,11,12,22889,3,2638
200,10,10,22889,4,2638
201,9,12,22893,5,2638
202,6,12,22894,5,2638
203,5,12,22896,4,2638
204,11,12,22897,3,2640
205,3,11,22897,3,2640
206,6,8,22897,4,2640
207,6,8,22897,4,2640
208,5,9,22898,3,2640
209,3,6,22899,2,2640
210,4,6,22900,2,2640
211,2,5,22901,2,2640
212,0,4,22901,1,2641
213,3,5,22902,1,2641
214,3,6,22903,0,2642
215,3,6,22903,0,2642
216,1,5,22903,0,2642
217,1,4,22903,0,2642
218,2,4,22904,0,2642
219,1,3,22904,0,2642
220,5,4,22905,0,2642
221,1,3,22905,0,2642
222,1,3,22906,1,2642
223,3,3,22906,1,2642
224,0,3,22906,1,2642
225,2,4,22907,1,2642
226,1,5,22909,2,2642
227,1,5,22909,2,2642
228,1,4,22909,3,2642
229,0,4,22909,3,2642
230,0,3,22909,3,2643
231,0,3,22909,3,2643
232,1,3,22909,3,2643
233,0,2,22909,3,2643
234,0,0,22909,2,2644
235,0,0,22909,2,2644
236,1,0,22909,1,2644
237,0,0,22909,1,2644
238,0,0,22909,0,2645
239,0,0,22909,0,2645
240,0,0,22909,0,2645
241,0,1,22910,0,2645
242,0,1,22910,0,2645
243,1,1,22910,0,2645
244,0,1,22910,0,2645
245,0,1,22910,0,2645
246,0,1,22910,0,2645
247,0,1,22910,0,2645
248,0,1,22910,0,2645
249,0,0,22910,0,2645
250,0,0,22910,0,2645
251,0,0,22910,0,2645
252,0,0,22910,0,2645
253,0,0,22910,0,2645
254,0,0,22910,0,2645
255,0,0,22910,0,2645
256,0,0,22910,0,2645
257,0,0,22910,0,2645
258,0,0,22910,0,2645
259,0,0,22910,0,2645
260,0,0,22910,0,2645
261,0,0,22910,0,2645
262,0,0,22910,0,2645
263,0,0,22910,0,2645
264,0,0,22910,0,2645
265,0,0,22910,0,2645
266,0,0,22910,0,2645
267,0,0,22910,0,2645
268,0,0,22910,0,2645
269,0,0,22910,0,2645
270,0,0,22910,0,2645
271,0,0,22910,0,2645
272,0,0,22910,0,2645
273,0,0,22910,0,2645
274,0,0,22910,0,2645
275,0,0,22910,0,2645
276,0,0,22910,0,2645
277,0,0,22910,0,2645
278,0,0,22910,0,2645
279,0,0,22910,0,2645
280,0,0,22910,0,2645
281,0,0,22910,0,2645
282,0,0,22910,0,2645
283,0,0,22910,0,2645
284,0,0,22910,0,2645
285,0,0,22910,0,2645
286,0,0,22910,0,2645
287,0,0,22910,0,2645
288,0,0,22910,0,2645
289,0,0,22910,0,2645
290,0,0,22910,0,2645
291,0,0,22910,0,2645
292,0,0,22910,0,2645
293,0,0,22910,0,2645
294,0,0,22910,0,2645
295,0,0,22910,0,2645
296,0,0,22910,0,2645
297,0,0,22910,0,2645
298,0,0,22910,0,2645
299,0,0,22910,0,2645
300,0,0,22910,0,2645
301,0,0,22910,0,2645
302,0,0,22910,0,2645
303,0,0,22910,0,2645
304,0,0,22910,0,2645
305,0,0,22910,0,2645
306,0,0,22910,0,2645
307,0,0,22910,0,2645
308,0,0,22910,0,2645
309,0,0,22910,0,2645
310,0,0,22910,0,2645
311,0,0,22910,0,2645
312,0,0,22910,0,2645
313,0,0,22910,0,2645
314,0,0,22910,0,2645
315,0,0,22910,0,2645
316,0,0,22910,0,2645
317,0,0,22910,0,2645
318,0,0,22910,0,2645
319,0,0,22910,0,2645
320,0,0,22910,0,2645
321,0,0,22910,0,2645
322,0,0,22910,0,2645
323,0,0,22910,0,2645
324,0,0,22910,0,2645
325,0,0,22910,0,2645
326,0,0,22910,0,2645
327,0,0,22910,0,2645
328,0,0,22910,0,2645
