Time,susceptible_lambda_C
0,0
0.25,0
0.5,0.228474
0.75,0.340306
1,0.922781
1.25,1.05776
1.5,1.47594
1.75,1.81439
2,1.82734
2.25,1.91862
2.5,2.70411
2.75,2.73378
3,2.79564
3.25,2.30758
3.5,2.61758
3.75,2.57033
4,2.25362
4.25,2.5303
4.5,2.552
4.75,2.58377
5,2.79439
5.25,2.57016
5.5,2.61667
5.75,2.5332
6,2.67069
6.25,2.61244
6.5,2.69731
6.75,2.71116
7,2.65018
7.25,3.95313
7.5,2.61569
7.75,3.33801
8,3.97772
8.25,3.94146
8.5,4.02416
8.75,3.96586
9,3.67893
9.25,3.31204
9.5,2.70282
9.75,2.90354
10,2.75433
10.25,3.044
10.5,3.87646
10.75,4.06855
11,4.31258
11.25,4.2888
11.5,4.53473
11.75,4.66535
12,5.0573
12.25,4.80739
12.5,5.20563
12.75,5.96772
13,5.87073
13.25,6.78282
13.5,7.2731
13.75,7.28677
14,6.77442
14.25,6.5528
14.5,9.2596
14.75,9.99561
15,10.1682
15.25,10.5575
15.5,11.4636
15.75,9.17856
16,9.25203
16.25,11.5662
16.5,12.8411
16.75,12.6565
17,13.4467
17.25,13.4315
17.5,13.7078
17.75,14.6248
18,14.9319
18.25,15.6164
18.5,15.4426
18.75,15.5076
19,15.5203
19.25,15.8465
19.5,16.6402
19.75,16.4195
20,16.2213
20.25,16.9086
20.5,16.5069
20.75,16.1977
21,17.4762
21.25,18.6001
21.5,18.3231
21.75,19.1839
22,18.7233
22.25,18.8483
22.5,18.2136
22.75,18.4767
23,18.3668
23.25,17.9556
23.5,17.8718
23.75,18.7463
24,19.3625
24.25,19.0066
24.5,19.3267
24.75,21.1314
25,23.4052
25.25,25.374
25.5,25.1305
25.75,23.1742
26,23.3487
26.25,26.6033
26.5,27.6764
26.75,28.4447
27,31.6493
27.25,32.7689
27.5,32.8012
27.75,36.3096
28,35.3536
28.25,36.5455
28.5,37.0235
28.75,36.6438
29,37.0277
29.25,39.3315
29.5,38.7787
29.75,37.2188
30,37.0209
30.25,38.1854
30.5,39.7447
30.75,39.5628
31,40.41
31.25,39.9305
31.5,41.1867
31.75,38.8912
32,40.4067
32.25,41.5251
32.5,43.1676
32.75,41.398
33,42.2577
33.25,42.369
33.5,42.0507
33.75,42.5536
34,41.7134
34.25,41.4102
34.5,40.9279
34.75,41.5849
35,44.8038
35.25,44.3085
35.5,45.1
35.75,41.2964
36,44.0514
36.25,44.2529
36.5,43.2832
36.75,41.8799
37,41.6585
37.25,45.4816
37.5,46.55
37.75,47.4044
38,46.8486
38.25,49.8201
38.5,53.8612
38.75,54.8557
39,55.7204
39.25,55.189
39.5,54.3152
39.75,53.4043
40,54.0295
40.25,53.3475
40.5,55.3298
40.75,58.756
41,60.3341
41.25,62.4173
41.5,61.9967
41.75,64.0217
42,64.6875
42.25,66.7048
42.5,65.2002
42.75,64.8192
43,67.4004
43.25,66.5071
43.5,72.0409
43.75,73.2515
44,75.5628
44.25,80.3758
44.5,79.3351
44.75,80.8496
45,84.1001
45.25,87.5298
45.5,89.9884
45.75,90.3071
46,93.5139
46.25,97.0345
46.5,100.296
46.75,105.049
47,106.384
47.25,115.885
47.5,119.61
47.75,122.929
48,123.137
48.25,126.385
48.5,130.054
48.75,126.592
49,127.207
49.25,127.499
49.5,128.791
49.75,136.225
50,135.361
50.25,136.065
50.5,138.274
50.75,142.827
51,143.243
51.25,150.133
51.5,153.746
51.75,164.422
52,171.289
52.25,170.474
52.5,178.195
52.75,176.62
53,187.712
53.25,193.007
53.5,193.199
53.75,195.548
54,196.423
54.25,200.38
54.5,210.371
54.75,214.528
55,212.015
55.25,210.894
55.5,214.226
55.75,221.647
56,226.238
56.25,233.193
56.5,231.311
56.75,236.698
57,240.859
57.25,240.73
57.5,240.356
57.75,236.954
58,236.651
58.25,233.034
58.5,240.008
58.75,248.673
59,248.001
59.25,252.495
59.5,262.035
59.75,263.282
60,267.991
60.25,278.751
60.5,284.272
60.75,288.89
61,300.179
61.25,308.104
61.5,315.811
61.75,327.475
62,328.903
62.25,336.716
62.5,345.313
62.75,355.222
63,354.066
63.25,360.733
63.5,362.134
