Time,total_fraction_lambda_C
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
1.25,6.07721e-06
1.5,1
1.75,-nan
2,1.08923e-05
2.25,5.90997e-06
2.5,1.34971e-05
2.75,2.58915e-05
3,1.5707e-05
3.25,2.02842e-05
3.5,6.26172e-06
3.75,1.62237e-05
4,0.00281883
4.25,4.32459e-07
4.5,1.19893e-05
4.75,6.75061e-06
5,2.57997e-05
5.25,9.94458e-05
5.5,6.33122e-06
5.75,1.3455e-05
6,1.36068e-05
6.25,0.000201984
6.5,9.16585e-06
6.75,8.87918e-05
7,1.24151e-05
7.25,8.81216e-06
7.5,2.62971e-05
7.75,1.80558e-05
8,0.000147492
8.25,3.69882e-05
8.5,1.93134e-05
8.75,0.000474449
9,1.57105e-05
9.25,1.65407e-05
9.5,0.000326866
9.75,0.000315831
10,1.24439e-05
10.25,4.44255e-05
10.5,1.45452e-05
10.75,2.4186e-05
11,1.93169e-05
11.25,1.90528e-05
11.5,9.37735e-05
11.75,2.8287e-05
12,2.42653e-05
12.25,5.17644e-05
12.5,1.21315e-05
12.75,8.24925e-06
13,2.09041e-05
13.25,0.000102422
13.5,0.000379641
13.75,5.34999e-05
14,1.98058e-05
14.25,0.00012752
14.5,3.21838e-05
14.75,1.03448e-05
15,2.05978e-05
15.25,4.00228e-05
15.5,7.43877e-05
15.75,0.000163272
16,4.64829e-05
16.25,3.37156e-05
16.5,6.73627e-05
16.75,4.73226e-05
17,0.000461549
17.25,5.88513e-05
17.5,8.35901e-05
17.75,7.91297e-05
18,2.87737e-05
18.25,8.28001e-05
18.5,8.94275e-05
18.75,0.000155468
19,5.12804e-05
19.25,0.000204013
19.5,0.000113616
19.75,0.000214564
20,8.90718e-05
20.25,0.000216942
20.5,9.71587e-05
20.75,6.36413e-05
21,5.87968e-05
21.25,9.90806e-05
21.5,0.000129064
21.75,2.71061e-05
22,6.79045e-05
22.25,0.00011596
22.5,7.33427e-05
22.75,0.000155628
23,0.000153316
23.25,8.62172e-05
23.5,0.000102073
23.75,0.000113163
24,0.000142042
24.25,0.000129166
24.5,0.000195845
24.75,0.000222872
25,0.000135912
25.25,6.76537e-05
25.5,0.000100808
25.75,0.00013775
26,0.00019636
26.25,0.000220709
26.5,0.000187902
26.75,0.000102439
27,0.000319926
27.25,0.000127589
27.5,0.00019991
27.75,9.60213e-05
28,7.02708e-05
28.25,0.000151414
28.5,0.000161972
28.75,0.000166521
29,0.000237428
29.25,0.000161971
29.5,0.000142178
29.75,0.000172915
30,0.000191851
30.25,0.000188648
30.5,0.000120517
30.75,4.69894e-05
31,0.000292036
31.25,0.000518539
31.5,0.000251333
31.75,0.000631874
32,0.000172974
32.25,0.000264558
32.5,0.000262866
32.75,0.000280075
33,0.000212413
33.25,0.000135859
33.5,0.00018761
33.75,0.000318539
34,0.000273675
34.25,0.000106483
34.5,0.000331964
34.75,0.000157302
35,0.000246458
35.25,0.000118344
35.5,0.000185533
35.75,0.000241041
36,0.000129346
36.25,0.000178396
36.5,0.000158459
36.75,0.000222828
37,0.000248072
37.25,0.000403832
37.5,0.000164506
37.75,0.000208495
38,0.000369555
38.25,0.000302646
38.5,0.000185807
38.75,0.000250415
39,0.000362164
39.25,0.000284681
39.5,0.000265509
39.75,0.000273315
40,0.00026083
40.25,0.000342574
40.5,0.000240868
40.75,0.000280755
41,0.000180755
41.25,0.000217574
41.5,0.000336594
41.75,0.000408702
42,0.00019774
42.25,0.000335133
42.5,0.000272194
42.75,0.000321274
43,0.000767467
43.25,0.000348536
43.5,0.00035087
43.75,0.000182166
44,0.000465381
44.25,0.00034034
44.5,0.000418292
44.75,0.000396992
45,0.000385126
45.25,0.000456835
45.5,0.000273728
45.75,0.000373167
46,0.000398914
46.25,0.000452562
46.5,0.000421302
46.75,0.000603867
47,0.000492487
47.25,0.000489416
47.5,0.000328213
47.75,0.000445101
48,0.000512362
48.25,0.000668566
48.5,0.000493855
48.75,0.000880076
49,0.000628667
49.25,0.000666199
49.5,0.000914998
49.75,0.00057299
50,0.00062678
50.25,0.000717244
50.5,0.000641618
50.75,0.0009332
51,0.000668792
51.25,0.000725341
51.5,0.000530242
51.75,0.000991926
52,0.000509022
52.25,0.000630233
52.5,0.000873224
52.75,0.000988935
53,0.00103342
53.25,0.000631935
53.5,0.000807671
53.75,0.00103174
54,0.00106163
54.25,0.00127425
54.5,0.000910903
54.75,0.00082833
55,0.0010047
55.25,0.00108027
55.5,0.00102535
55.75,0.000617069
56,0.000853608
56.25,0.000901471
56.5,0.000994275
56.75,0.00112201
57,0.00112682
57.25,0.00120322
57.5,0.00111559
57.75,0.000981806
58,0.000959729
58.25,0.00121344
58.5,0.00111604
58.75,0.000787916
59,0.00102503
59.25,0.00123981
59.5,0.00106363
59.75,0.000894022
60,0.00111136
60.25,0.00118446
60.5,0.00111896
60.75,0.00139207
61,0.00123218
61.25,0.00136456
61.5,0.00123964
61.75,0.00129311
62,0.00152396
62.25,0.00138811
62.5,0.00130341
62.75,0.00117414
63,0.00125024
63.25,0.00207472
63.5,0.00170404
63.75,0.00183246
64,0.00171874
64.25,0.00183688
64.5,0.00186961
64.75,0.00178954
65,0.00212165
65.25,0.00180351
65.5,0.00198905
65.75,0.00193905
66,0.00178586
66.25,0.00207215
66.5,0.00239439
66.75,0.00185875
67,0.00253594
67.25,0.00199087
67.5,0.00199573
67.75,0.00268612
68,0.0027308
68.25,0.00227881
68.5,0.00237946
68.75,0.00261569
69,0.00284352
69.25,0.00289665
69.5,0.0024702
69.75,0.00277945
70,0.00286041
70.25,0.00248817
70.5,0.00248199
70.75,0.00272283
71,0.00264136
71.25,0.00332205
71.5,0.00302598
71.75,0.00313277
72,0.00317734
72.25,0.00302344
72.5,0.00347329
72.75,0.00330496
73,0.00357366
73.25,0.00363655
73.5,0.00333409
73.75,0.00368865
74,0.00327748
74.25,0.00387305
74.5,0.00294066
