Time,total_fraction_lambda_H
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
1.25,0.999994
1.5,0
1.75,-nan
2,0.941083
2.25,0.883669
2.5,0.872447
2.75,0.988661
3,0.990335
3.25,0.994109
3.5,0.998346
3.75,0.964567
4,0
4.25,1
4.5,0.950181
4.75,0.999993
5,0.982389
5.25,0.871378
5.5,0.99634
5.75,0.990674
6,0.979435
6.25,0.550382
6.5,0.992354
6.75,0.930908
7,0.998577
7.25,0.999991
7.5,0.894288
7.75,0.968545
8,0
8.25,0.943455
8.5,0.998542
8.75,0
9,0.873974
9.25,0.97651
9.5,0
9.75,0
10,0.966806
10.25,0.832443
10.5,0.942705
10.75,0.958098
11,0.852935
11.25,0.958381
11.5,0.721596
11.75,0.928015
12,0.949747
12.25,0.737624
12.5,0.963635
12.75,0.991669
13,0.959192
13.25,0.842697
13.5,0
13.75,0.925458
14,0.963235
14.25,0.3191
14.5,0.944537
14.75,0.98194
15,0.971645
15.25,0.919343
15.5,0.862565
15.75,0.748396
16,0.898806
16.25,0.889938
16.5,0.898174
16.75,0.935475
17,0.180153
17.25,0.877467
17.5,0.831044
17.75,0.892258
18,0.934483
18.25,0.879222
18.5,0.802366
18.75,0.752888
19,0.954089
19.25,0.684675
19.5,0.805191
19.75,0.253035
20,0.629613
20.25,0.61872
20.5,0.809669
20.75,0.861145
21,0.925001
21.25,0.827863
21.5,0.679935
21.75,0.968938
22,0.92724
22.25,0.691458
22.5,0.931433
22.75,0.759767
23,0.816681
23.25,0.872234
23.5,0.91398
23.75,0.811815
24,0.71317
24.25,0.575235
24.5,0.664004
24.75,0.739371
25,0.683656
25.25,0.928641
25.5,0.885367
25.75,0.889212
26,0.81512
26.25,0.838685
26.5,0.82001
26.75,0.951486
27,0.803361
27.25,0.961587
27.5,0.878732
27.75,0.957681
28,0.970842
28.25,0.897372
28.5,0.900705
28.75,0.910634
29,0.850214
29.25,0.934486
29.5,0.901945
29.75,0.863336
30,0.814638
30.25,0.913546
30.5,0.908274
30.75,0.978745
31,0.873644
31.25,0.624358
31.5,0.893568
31.75,0.586453
32,0.960018
32.25,0.791166
32.5,0.900394
32.75,0.901733
33,0.928986
33.25,0.971742
33.5,0.931661
33.75,0.883579
34,0.884491
34.25,0.968876
34.5,0.921632
34.75,0.951707
35,0.953945
35.25,0.952081
35.5,0.938511
35.75,0.927199
36,0.91564
36.25,0.911748
36.5,0.954198
36.75,0.917115
37,0.918767
37.25,0.833512
37.5,0.91603
37.75,0.934001
38,0.9034
38.25,0.849139
38.5,0.94469
38.75,0.895192
39,0.823274
39.25,0.867181
39.5,0.894397
39.75,0.885485
40,0.886746
40.25,0.875426
40.5,0.899412
40.75,0.896239
41,0.924488
41.25,0.914971
41.5,0.902845
41.75,0.875051
42,0.877544
42.25,0.843264
42.5,0.906287
42.75,0.876125
43,0.729776
43.25,0.875834
43.5,0.886963
43.75,0.949733
44,0.914858
44.25,0.910833
44.5,0.931135
44.75,0.921826
45,0.89653
45.25,0.923619
45.5,0.944102
45.75,0.946471
46,0.921331
46.25,0.930776
46.5,0.934879
46.75,0.893204
47,0.933017
47.25,0.848597
47.5,0.945528
47.75,0.894739
48,0.878559
48.25,0.892596
48.5,0.872482
48.75,0.810589
49,0.858495
49.25,0.87096
49.5,0.872376
49.75,0.940019
50,0.909324
50.25,0.892597
50.5,0.913747
50.75,0.88215
51,0.929422
51.25,0.903056
51.5,0.939651
51.75,0.881019
52,0.937608
52.25,0.912666
52.5,0.90427
52.75,0.87562
53,0.922326
53.25,0.956943
53.5,0.905408
53.75,0.898284
54,0.906822
54.25,0.888121
54.5,0.911658
54.75,0.92459
55,0.92228
55.25,0.894312
55.5,0.876489
55.75,0.928864
56,0.928801
56.25,0.922665
56.5,0.899278
56.75,0.914307
57,0.897818
57.25,0.890106
57.5,0.899093
57.75,0.926206
58,0.933323
58.25,0.904867
58.5,0.89824
58.75,0.932439
59,0.927796
59.25,0.900398
59.5,0.928382
59.75,0.911872
60,0.899001
60.25,0.915489
60.5,0.913193
60.75,0.89707
61,0.918637
61.25,0.89865
61.5,0.928838
61.75,0.917257
62,0.900179
62.25,0.917597
62.5,0.922724
62.75,0.920227
63,0.913835
63.25,0.856587
63.5,0.894467
63.75,0.894236
64,0.903828
64.25,0.899401
64.5,0.904434
64.75,0.915407
65,0.882635
65.25,0.909106
65.5,0.894493
65.75,0.872052
66,0.888744
66.25,0.891043
66.5,0.880639
66.75,0.90944
67,0.884354
67.25,0.888647
67.5,0.91208
67.75,0.888827
68,0.886291
68.25,0.910057
68.5,0.906171
68.75,0.892567
69,0.895224
69.25,0.893772
69.5,0.890418
69.75,0.888962
70,0.870412
70.25,0.894915
70.5,0.904226
70.75,0.885629
71,0.901902
71.25,0.868147
71.5,0.885752
71.75,0.892434
72,0.889429
72.25,0.894971
72.5,0.885779
72.75,0.883645
73,0.870868
73.25,0.882921
73.5,0.903226
73.75,0.893558
74,0.895965
74.25,0.874686
74.5,0.900736
74.75,0.896115
75,0.903092
75.25,0.89746
75.5,0.893017
75.75,0.893892
76,0.892584
76.25,0.890982
76.5,0.891704
76.75,0.881262
77,0.874435
77.25,0.886576
77.5,0.891801
77.75,0.877593
78,0.883915
78.25,0.858776
78.5,0.882351
78.75,0.8968
79,0.891866
79.25,0.878539
79.5,0.884627
79.75,0.887572
80,0.867879
80.25,0.866565
80.5,0.873126
80.75,0.876646
81,0.891731
81.25,0.880688
81.5,0.902868
81.75,0.902133
82,0.897289
82.25,0.875511
82.5,0.884745
82.75,0.906061
83,0.882716
83.25,0.874447
83.5,0.875021
83.75,0.869034
84,0.877231
84.25,0.878105
84.5,0.884625
84.75,0.865356
85,0.881125
85.25,0.855368
85.5,0.854618
85.75,0.868816
86,0.871274
86.25,0.867326
86.5,0.877428
86.75,0.871192
87,0.887198
87.25,0.862902
87.5,0.8603
87.75,0.857218
88,0.857942
