Time,total_fraction_lambda_W
0,-nan
0.25,-nan
0.5,-nan
0.75,-nan
1,-nan
1.25,0
1.5,0
1.75,-nan
2,0.0589056
2.25,0.116325
2.5,0.12754
2.75,0.0113135
3,0.00964939
3.25,0.00587098
3.5,0.00164819
3.75,0.0354172
4,0.997181
4.25,0
4.5,0.0498067
4.75,0
5,0.017585
5.25,0.128522
5.5,0.00365369
5.75,0.00931297
6,0.0205517
6.25,0.449416
6.5,0.00763704
6.75,0.0690037
7,0.00141106
7.25,0
7.5,0.105686
7.75,0.0314369
8,0.999853
8.25,0.0565078
8.5,0.0014383
8.75,0.999526
9,0.12601
9.25,0.0234733
9.5,0.999673
9.75,0.999684
10,0.0331817
10.25,0.167513
10.5,0.0572809
10.75,0.0418781
11,0.147046
11.25,0.0415996
11.5,0.27831
11.75,0.0719563
12,0.0502283
12.25,0.262324
12.5,0.0363531
12.75,0.00832288
13,0.0407869
13.25,0.157201
13.5,0.99962
13.75,0.0744883
14,0.0367448
14.25,0.680772
14.5,0.0554309
14.75,0.0180493
15,0.0283342
15.25,0.0806172
15.5,0.137361
15.75,0.25144
16,0.101148
16.25,0.110028
16.5,0.101758
16.75,0.0644779
17,0.819386
17.25,0.122474
17.5,0.168872
17.75,0.107662
18,0.065488
18.25,0.120696
18.5,0.197545
18.75,0.246957
19,0.0458594
19.25,0.315121
19.5,0.194696
19.75,0.746751
20,0.370298
20.25,0.381063
20.5,0.190233
20.75,0.138792
21,0.0749403
21.25,0.172038
21.5,0.319936
21.75,0.0310347
22,0.0726917
22.25,0.308426
22.5,0.0684939
22.75,0.240077
23,0.183166
23.25,0.12768
23.5,0.0859181
23.75,0.188072
24,0.286688
24.25,0.424636
24.5,0.3358
24.75,0.260406
25,0.316208
25.25,0.0712916
25.5,0.114532
25.75,0.11065
26,0.184684
26.25,0.161094
26.5,0.179802
26.75,0.0484117
27,0.196319
27.25,0.0382857
27.5,0.121068
27.75,0.0422225
28,0.0290874
28.25,0.102477
28.5,0.0991326
28.75,0.0891996
29,0.149549
29.25,0.0653517
29.5,0.0979126
29.75,0.136491
30,0.18517
30.25,0.086265
30.5,0.0916054
30.75,0.0212082
31,0.126064
31.25,0.375124
31.5,0.106181
31.75,0.412915
32,0.0398092
32.25,0.20857
32.5,0.0993433
32.75,0.0979869
33,0.070802
33.25,0.0281219
33.5,0.0681511
33.75,0.116103
34,0.115235
34.25,0.031017
34.5,0.0780364
34.75,0.0481353
35,0.0458081
35.25,0.0478005
35.5,0.061303
35.75,0.0725595
36,0.084231
36.25,0.0880732
36.5,0.0456438
36.75,0.0826621
37,0.0809851
37.25,0.166084
37.5,0.0838059
37.75,0.0657905
38,0.0962306
38.25,0.150558
38.5,0.0551242
38.75,0.104558
39,0.176364
39.25,0.132534
39.5,0.105338
39.75,0.114241
40,0.112993
40.25,0.124232
40.5,0.100347
40.75,0.10348
41,0.0753311
41.25,0.0848113
41.5,0.0968186
41.75,0.12454
42,0.122258
42.25,0.156401
42.5,0.0934407
42.75,0.123554
43,0.269456
43.25,0.123818
43.5,0.112686
43.75,0.0500853
44,0.0846764
44.25,0.0888267
44.5,0.068447
44.75,0.0777766
45,0.103085
45.25,0.0759245
45.5,0.0556247
45.75,0.0531561
46,0.0782706
46.25,0.0687714
46.5,0.0646999
46.75,0.106192
47,0.0664904
47.25,0.150914
47.5,0.0541433
47.75,0.104815
48,0.120929
48.25,0.106735
48.5,0.127024
48.75,0.188531
49,0.140876
49.25,0.128374
49.5,0.126709
49.75,0.0594083
50,0.090049
50.25,0.106685
50.5,0.0856115
50.75,0.116917
51,0.0699092
51.25,0.0962183
51.5,0.0598186
51.75,0.117989
52,0.0618827
52.25,0.0867037
52.5,0.0948563
52.75,0.123391
53,0.076641
53.25,0.0424249
53.5,0.0937848
53.75,0.100684
54,0.0921167
54.25,0.110605
54.5,0.0874311
54.75,0.0745812
55,0.076715
55.25,0.104608
55.5,0.122485
55.75,0.0705187
56,0.0703456
56.25,0.0764339
56.5,0.0997274
56.75,0.0845707
57,0.101055
57.25,0.108691
57.5,0.0997912
57.75,0.0728119
58,0.0657172
58.25,0.0939199
58.5,0.100644
58.75,0.0667734
59,0.0711789
59.25,0.0983621
59.5,0.0705549
59.75,0.0872342
60,0.0998874
60.25,0.0833261
60.5,0.0856876
60.75,0.101538
61,0.0801313
61.25,0.0999856
61.5,0.0699228
61.75,0.0814495
62,0.0982971
62.25,0.0810145
62.5,0.0759725
62.75,0.0785985
63,0.0849143
63.25,0.141339
63.5,0.103829
63.75,0.103931
64,0.0944529
64.25,0.098762
64.5,0.0936962
64.75,0.0828039
65,0.115244
65.25,0.0890907
65.5,0.103518
65.75,0.126009
66,0.10947
66.25,0.106885
66.5,0.116967
66.75,0.0887008
67,0.11311
67.25,0.109362
67.5,0.0859241
67.75,0.108487
68,0.110978
68.25,0.0876641
68.5,0.0914491
68.75,0.104818
69,0.101933
69.25,0.103332
69.5,0.107111
69.75,0.108258
70,0.126728
70.25,0.102597
70.5,0.0932917
70.75,0.111648
71,0.0954567
71.25,0.128531
71.5,0.111222
71.75,0.104433
72,0.107393
72.25,0.102006
72.5,0.110747
72.75,0.11305
73,0.125558
73.25,0.113442
73.5,0.0934403
73.75,0.102753
74,0.100757
74.25,0.121441
74.5,0.0963238
74.75,0.100333
75,0.0937993
75.25,0.0988417
75.5,0.103421
75.75,0.102415
76,0.103761
76.25,0.105272
76.5,0.104282
76.75,0.114875
77,0.121334
77.25,0.10925
77.5,0.104097
77.75,0.117749
78,0.111413
78.25,0.136178
78.5,0.113054
78.75,0.099059
79,0.1037
79.25,0.116545
79.5,0.11044
79.75,0.107424
80,0.126344
80.25,0.127938
80.5,0.120969
80.75,0.11798
81,0.103024
81.25,0.113879
81.5,0.0921525
81.75,0.0929633
82,0.0973586
82.25,0.118328
82.5,0.109421
82.75,0.0888145
83,0.111269
83.25,0.118605
83.5,0.118925
